NLC,mode_label,has_lu,is_lu_only,is_tram_only,is_dlr_only,is_lo_only,is_ezl_only
1022,LO,False,False,False,False,True,False
1023,LO,False,False,False,False,True,False
1024,LO,False,False,False,False,True,False
1039,LO,False,False,False,False,True,False
1082,LO,False,False,False,False,True,False
1083,LO,False,False,False,False,True,False
1085,LO,False,False,False,False,True,False
1335,LO,False,False,False,False,True,False
1395,LO,False,False,False,False,True,False
1398,LO,False,False,False,False,True,False
1402,LO,False,False,False,False,True,False
1404,LO,False,False,False,False,True,False
1409,LO,False,False,False,False,True,False
1413,LO,False,False,False,False,True,False
1415,LO,False,False,False,False,True,False
1421,LO,False,False,False,False,True,False
1429,LO,False,False,False,False,True,False
1434,LO,False,False,False,False,True,False
1437,LO,False,False,False,False,True,False
1438,LO,False,False,False,False,True,False
1439,LO,False,False,False,False,True,False
1440,LO,False,False,False,False,True,False
1441,LO,False,False,False,False,True,False
1442,LO,False,False,False,False,True,False
1443,LO,False,False,False,False,True,False
1444,LO,False,False,False,False,True,False
1445,LO,False,False,False,False,True,False
1448,LO,False,False,False,False,True,False
1449,LO,False,False,False,False,True,False
1451,LO,False,False,False,False,True,False
1452,LO,False,False,False,False,True,False
1455,LO,False,False,False,False,True,False
1524,LO,False,False,False,False,True,False
3000,EZL,False,False,False,False,False,True
3087,EZL,False,False,False,False,False,True
3147,EZL,False,False,False,False,False,True
3149,EZL,False,False,False,False,False,True
3151,EZL,False,False,False,False,False,True
3155,EZL,False,False,False,False,False,True
3170,EZL,False,False,False,False,False,True
3171,EZL,False,False,False,False,False,True
3172,EZL,False,False,False,False,False,True
3174,EZL,False,False,False,False,False,True
3176,EZL,False,False,False,False,False,True
3186,EZL,False,False,False,False,False,True
3187,EZL,False,False,False,False,False,True
3188,EZL,False,False,False,False,False,True
3191,EZL,False,False,False,False,False,True
500,LU,True,True,False,False,False,False
501,LU,True,True,False,False,False,False
502,LU,True,True,False,False,False,False
503,LU,True,True,False,False,False,False
504,DLR,False,False,False,True,False,False
505,LU,True,True,False,False,False,False
506,LU,True,True,False,False,False,False
507,LU,True,True,False,False,False,False
508,LU,True,True,False,False,False,False
509,LU,True,True,False,False,False,False
510,LU,True,True,False,False,False,False
511,LU,True,True,False,False,False,False
512,LU,True,True,False,False,False,False
513,"DLR,LU",True,False,False,False,False,False
5131,EZL,False,False,False,False,False,True
514,"LO,LU",True,False,False,False,False,False
515,LU,True,True,False,False,False,False
5150,LO,False,False,False,False,True,False
516,LU,True,True,False,False,False,False
517,LU,True,True,False,False,False,False
518,LU,True,True,False,False,False,False
519,LU,True,True,False,False,False,False
520,LU,True,True,False,False,False,False
521,LU,True,True,False,False,False,False
522,"LO,LU",True,False,False,False,False,False
523,DLR,False,False,False,True,False,False
524,"EZL,LU",True,False,False,False,False,False
525,LU,True,True,False,False,False,False
526,LU,True,True,False,False,False,False
527,LU,True,True,False,False,False,False
528,LU,True,True,False,False,False,False
529,LU,True,True,False,False,False,False
530,LU,True,True,False,False,False,False
5301,LO,False,False,False,False,True,False
531,LU,True,True,False,False,False,False
532,LU,True,True,False,False,False,False
533,DLR,False,False,False,True,False,False
