covariance,K,BIC
spherical,2,-1414903.275267344
spherical,3,-1431992.8066884659
spherical,4,-1440144.4098126653
spherical,5,-1446813.2114386351
spherical,6,-1451208.1937570309
spherical,7,-1454214.6697283916
spherical,8,-1459007.462956183
spherical,9,-1459992.6796570816
spherical,10,-1462332.91055757
spherical,11,-1463560.5074154835
spherical,12,-1464105.4804564437
diag,2,-1480613.7022034542
diag,3,-1490429.3613145787
diag,4,-1496338.9599385909
diag,5,-1499102.3735544372
diag,6,-1501451.3942591287
diag,7,-1499670.2606578853
diag,8,-1501283.8427563764
diag,9,-1499155.4646814265
diag,10,-1498731.7011298656
diag,11,-1496826.6363085883
diag,12,-1495004.7010671045
tied,2,-1282236.545927983
tied,3,-1280318.7152791524
tied,4,-1278665.136977365
tied,5,-1277035.8948358078
tied,6,-1275073.1443218286
tied,7,-1273547.4694883192
tied,8,-1271603.4574679895
tied,9,-1270935.9838953223
tied,10,-1268955.1797958931
tied,11,-1267394.4215907396
tied,12,-1265435.7068777762
full,2,-934276.7237999192
full,3,-584161.7548831976
full,4,-227441.72541326936
full,5,129185.51971230353
full,6,486475.66597647965
full,7,845189.3343988168
full,8,1203790.6944954167
full,9,1563507.4490849692
full,10,1921217.9656020557
full,11,2281540.7432038016
full,12,2639890.109620321
