unit,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source
1395,Bushey,LO,False,,,,,,
1402,Watford Junction,LO,False,,,,,,
1442,Carpenders Park,LO,False,,,,,,
1455,Watford High Street,LO,False,,,,,,
3147,Maidenhead,EZL,False,,,,,,
3149,Reading,EZL,False,,,,,,
3151,Taplow,EZL,False,,,,,,
3155,Twyford,EZL,False,,,,,,
3170,Iver,EZL,False,,,,,,
3171,Langley,EZL,False,,,,,,
3172,Slough,EZL,False,,,,,,
3176,Burnham,EZL,False,,,,,,
6814,Cheshunt,LO,False,,,,,,
6872,Brentwood,EZL,False,,,,,,
6888,Shenfield,EZL,False,,,,,,
6949,Theobalds Grove,LO,False,,,,,,
