NLC,tot_entry,tot_exit,total_activity,ASC,Station,Fare Zone,mode_label
1022,5863.063785693941,8385.83363836065,14248.89742405459,1022,Haggerston,,LO
1023,8290.450818464222,7823.305799638158,16113.75661810238,1023,Hoxton,,LO
1024,22470.61005638676,12135.418206907305,34606.028263294065,1024,Shoreditch High Street,,LO
1039,2792.330946688078,4338.955820693617,7131.2867673816945,1039,Rotherhithe,,LO
1082,18873.737920547002,21822.843600416134,40696.58152096314,1082,Shadwell LO,,"DLR,LO"
1083,6782.507309119586,13170.941706712556,19953.449015832142,1083,Surrey Quays,,LO
1085,4159.211753206668,5760.454852141378,9919.666605348046,1085,Wapping,,LO
1335,975.5700931399997,2859.540693400001,3835.110786540001,1335,Barking Riverside,,LO
1395,2304.2838410108834,4885.971460162006,7190.25530117289,1395,Bushey,,LO
1398,782.4301137275453,2012.0464274160004,2794.4765411435455,1398,Hatch End,,LO
1402,12910.944614872538,17196.184294608513,30107.12890948105,1402,Watford Junction,,LO
1404,2302.6398687094,3237.9395174,5540.579386109401,1404,Acton Central,,LO
1409,4187.704064952499,4105.973133995041,8293.67719894754,1409,Gospel Oak,,LO
1413,5881.867922497041,3163.442295351599,9045.31021784864,1413,Hampstead Heath,,LO
1415,1291.8348403195687,1652.4015241098307,2944.236364429399,1415,Kilburn High Road,,LO
1429,12314.62393440258,15027.91313109071,27342.537065493292,1429,Dalston Kingsland,,LO
1434,445.0481181309935,1450.1741586661472,1895.2222767971407,1434,Headstone Lane,,LO
1437,3455.9835525449375,5562.075918738813,9018.05947128375,1437,Brondesbury,,LO
1438,1803.2675433910451,2400.6829261519993,4203.950469543044,1438,Brondesbury Park,,LO
1439,4294.971239142054,4187.708657880886,8482.67989702294,1439,Caledonian Road & Barnsbury,,LO
1440,10521.546667598712,7108.378326071926,17629.924993670636,1440,Camden Road,,LO
1441,4116.010668636759,7404.687245955885,11520.697914592645,1441,Canonbury,,LO
1442,1119.1339289751297,3678.08536938376,4797.219298358889,1442,Carpenders Park,,LO
1443,13518.640753706431,17229.825613606183,30748.466367312612,1443,Dalston Junction,,LO
1445,3656.668773468455,3729.6916866212764,7386.3604600897315,1445,Finchley Road & Frognal,,LO
1448,4600.415386936075,6574.600881967997,11175.016268904074,1448,Kensal Rise,,LO
1449,6125.618667383829,4644.176777977193,10769.795445361022,1449,Kentish Town West,,LO
1451,1130.929828468404,1003.2617482920085,2134.1915767604123,1451,South Hampstead,,LO
1452,1362.283229232724,1884.58165541,3246.864884642724,1452,South Acton,,LO
1455,2891.181268913796,2568.2738555476235,5459.4551244614195,1455,Watford High Street,,LO
1524,3758.9349016450096,2709.542396829711,6468.477298474721,1524,Upper Holloway,,LO
3000,3808.7412755920013,9248.70692908,13057.448204672,3000,Acton Main Line,,EZL
3087,14919.773984237992,4542.264998009066,19462.03898224706,3087,Paddington NR,,EZL
3147,6046.804778575369,17301.286138097,23348.09091667237,3147,Maidenhead,,EZL
3149,8481.301481804157,14653.13531438,23134.436796184156,3149,Reading,,EZL
3151,809.450495299473,1866.373070913401,2675.823566212874,3151,Taplow,,EZL
3155,3904.040021802097,13169.519504802596,17073.559526604695,3155,Twyford,,EZL
3170,589.2595084817114,1506.3744590575402,2095.6339675392514,3170,Iver,,EZL
3171,1738.5120122946962,4219.949573622401,5958.461585917097,3171,Langley,,EZL
