unit,cluster,max_posterior,entropy
1022,2,1.0,1.96753385727866e-12
1023,2,0.9999999999993179,2.107498052863844e-11
1024,0,1.0,9.248616313520254e-21
1039,2,0.99999996859674,5.739362891920294e-07
1082,2,1.0,1.9293168742011213e-16
1083,1,1.0,3.148762119430816e-33
1085,2,0.9999999999997726,6.087479091591017e-12
1335,6,0.9999999999997726,7.281500234831039e-12
1395,3,1.0,1.0703050581797164e-26
1398,2,1.0,5.714321939486702e-32
1402,6,1.0,7.638558319475711e-35
1404,6,0.9999985791438211,2.055161877134722e-05
1409,2,0.9999999999995453,1.4767132086945662e-11
1413,6,1.0,6.741918821198119e-43
1415,2,1.0,4.3326645456258393e-17
1429,2,1.0,2.7612617295259617e-53
1434,1,1.0,2.4931133600204632e-15
1437,6,0.9999995460603834,7.083864062841809e-06
1438,6,1.0,7.812023509472235e-23
1439,2,1.0,5.262839626888183e-35
1440,2,1.0,2.375426707066376e-35
1441,1,0.9999999975793799,5.044356841112941e-08
1442,1,0.9999014088949398,0.0010084706823483205
1443,5,1.0,9.021166924956762e-15
1445,6,1.0,5.156126983920007e-15
1448,6,1.0,5.817125939169627e-26
1449,2,1.0,2.5920436020579523e-17
1451,2,0.9999971782125407,3.887897959849883e-05
1452,6,1.0,2.1170961937263725e-16
1455,6,1.0,1.8490473780558354e-13
1524,6,1.0,6.092385050025567e-47
3000,1,1.0,2.2766731235583782e-32
3087,4,1.0,-0.0
3147,3,0.9999999822175597,3.351103397632447e-07
3149,2,1.0,3.0803087273409786e-18
3151,3,1.0,4.1493993330009987e-32
3155,3,1.0,7.668849518060174e-66
3170,4,1.0,3.1893073369256525e-304
3171,4,1.0,4.090883418909295e-68
3172,1,0.978643485014952,0.11360880795586309
3174,1,0.9999999999390639,1.4966837818450174e-09
3176,6,1.0,1.5910110786047479e-41
3186,1,1.0,6.010868547127673e-16
3187,1,0.9999938495841852,7.994918042440909e-05
3188,1,1.0,1.3678049527109488e-13
3191,1,1.0,2.847366184714609e-14
500,1,1.0,2.0640422756770473e-43
501,0,1.0,3.6258149278221974e-68
502,0,1.0,1.8121336183303166e-40
503,2,1.0,2.4681000949029017e-28
504,5,1.0,3.2472554483793814e-189
505,1,0.9999999892188498,2.0856517667804365e-07
506,3,1.0,3.5465957013792714e-54
507,2,1.0,1.0224891308252166e-16
508,1,1.0,2.0258745831617293e-39
509,1,1.0,2.313699698846873e-47
510,1,1.0,6.320419206037458e-50
511,0,0.9999951188022793,6.457881999236278e-05
512,1,1.0,3.912434481428904e-24
513,0,1.0,1.3151255109177665e-97
5131,1,1.0,2.9485338913943204e-26
514,1,1.0,1.7648012164350324e-22
515,3,0.9999999999940883,1.608764357169414e-10
5150,1,1.0,5.8333763957855104e-30
516,1,1.0,1.699370108778777e-46
517,2,1.0,5.706538626997944e-39
518,6,0.9999999992951416,1.5558755927461394e-08
519,1,1.0,5.309889192381697e-28
520,2,0.9999999983951966,3.410357187407471e-08
521,0,1.0,3.1524058226232497e-24
522,1,1.0,9.00060932144435e-36
523,5,0.9999698610887507,0.00034387528610202174
524,0,1.0,3.3947444229594986e-55
525,2,1.0,7.857152590622791e-36
526,1,1.0,1.8874368220888139e-47
