run,seed,K,adjusted_rand_index,BIC,converged,n_iter,convergence_warnings
1,10043,5,0.875761249159177,-1446005.7410245584,True,14,0
1,10043,6,0.6379272062227284,-1446253.48521,True,21,0
2,10044,5,0.8798534116241219,-1446114.0545862245,True,43,0
2,10044,6,0.6214550215817385,-1446588.4659836278,True,21,0
3,10045,5,0.8959750922298433,-1445908.7064668988,True,17,0
3,10045,6,0.6725134280804694,-1446832.4543794007,True,26,0
4,10046,5,0.8869187982515144,-1446024.9859151128,True,58,0
4,10046,6,0.4427178868842409,-1445828.196168522,True,18,0
5,10047,5,0.737252935613097,-1445781.159604088,True,36,0
5,10047,6,0.8779009367480723,-1446301.4911251431,True,22,0
6,10048,5,0.8999617540652166,-1445549.042344155,True,19,0
6,10048,6,0.6233768615074259,-1445378.8522573484,True,18,0
7,10049,5,0.8688139378886904,-1445691.3694332785,True,44,0
7,10049,6,0.751615512578733,-1447221.225848011,True,32,0
8,10050,5,1.0,-1446368.9845112688,True,61,0
8,10050,6,0.7074924138071058,-1445557.0096902782,True,11,0
9,10051,5,0.5901868435857902,-1446007.5990764978,True,36,0
9,10051,6,0.4413364289529037,-1446758.7802586511,True,24,0
10,10052,5,0.8979113354312573,-1445704.2049878857,True,36,0
10,10052,6,0.6538175723433082,-1445896.9160278388,True,15,0
11,10053,5,1.0,-1446368.9828592674,True,61,0
11,10053,6,0.278635771038482,-1445096.3992901267,True,28,0
12,10054,5,1.0,-1446368.9845112688,True,61,0
12,10054,6,0.3597738073233654,-1445648.0751892086,True,23,0
13,10055,5,0.8869187982515144,-1446024.6336319104,True,47,0
13,10055,6,0.6617248275609684,-1446058.006518814,True,30,0
14,10056,5,1.0,-1446368.9845112688,True,61,0
14,10056,6,0.9079189608910399,-1446305.5685457238,True,26,0
15,10057,5,0.8842877164509039,-1446571.616893012,True,43,0
15,10057,6,0.9032495063750823,-1446301.8014884563,True,35,0
16,10058,5,0.8979113354312573,-1445704.1439703456,True,36,0
16,10058,6,0.3584309010800048,-1446371.0700529688,True,30,0
17,10059,5,0.8934885787512674,-1446538.3366874717,True,59,0
17,10059,6,0.5049238850156473,-1446762.7033342237,True,20,0
18,10060,5,1.0,-1446368.8663254254,True,62,0
18,10060,6,0.3474697690009332,-1446281.6625611302,True,13,0
19,10061,5,0.8979113354312573,-1445704.2049878857,True,36,0
19,10061,6,0.9079189608910399,-1446305.5572225018,True,22,0
20,10062,5,0.8869187982515144,-1446024.6102955888,True,55,0
20,10062,6,0.8231339228907081,-1446064.1128517257,True,10,0
