iteration,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision,reference_size,candidate_size
1,5,0,0,0.5928571428571429,0.680327868852459,0.8217821782178217,122,101
1,5,1,2,0.6666666666666666,0.88,0.7333333333333333,25,30
1,5,2,1,0.6470588235294118,0.9166666666666666,0.6875,12,16
1,5,3,4,0.7009803921568627,0.8773006134969326,0.7771739130434783,163,184
1,5,4,3,0.7222222222222222,0.7926829268292683,0.8904109589041096,82,73
1,7,0,4,0.8181818181818182,0.9,0.9,30,30
1,7,1,1,0.6158536585365854,0.6688741721854304,0.8859649122807017,151,114
1,7,2,0,0.4409448818897638,0.835820895522388,0.4827586206896552,67,116
1,7,3,5,0.28205128205128205,0.36666666666666664,0.55,60,40
1,7,4,2,0.6296296296296297,0.8095238095238095,0.7391304347826086,21,23
1,7,5,3,0.46938775510204084,0.71875,0.575,64,80
1,7,6,6,0.09090909090909091,0.09090909090909091,1.0,11,1
2,5,0,4,0.6774193548387096,0.6885245901639344,0.9767441860465116,122,86
2,5,1,0,0.41025641025641024,0.64,0.5333333333333333,25,30
2,5,2,3,0.09803921568627451,0.4166666666666667,0.11363636363636363,12,44
2,5,3,2,0.7319587628865979,0.8711656441717791,0.8208092485549133,163,173
2,5,4,1,0.53,0.6463414634146342,0.7464788732394366,82,71
2,7,0,5,0.45,0.6,0.6428571428571429,30,28
2,7,1,0,0.42105263157894735,0.5827814569536424,0.6027397260273972,151,146
2,7,2,6,0.3287671232876712,0.3582089552238806,0.8,67,30
2,7,3,3,0.26582278481012656,0.35,0.525,60,40
2,7,4,2,0.36363636363636365,0.5714285714285714,0.5,21,24
2,7,5,1,0.4020618556701031,0.609375,0.5416666666666666,64,72
2,7,6,4,0.0,0.0,0.0,11,64
3,5,0,0,0.6774193548387096,0.6885245901639344,0.9767441860465116,122,86
3,5,1,4,0.7741935483870968,0.96,0.8,25,30
3,5,2,3,0.29411764705882354,0.8333333333333334,0.3125,12,32
3,5,3,1,0.671875,0.7914110429447853,0.8164556962025317,163,158
3,5,4,2,0.5,0.7317073170731707,0.6122448979591837,82,98
3,7,0,5,0.0,0.0,0.0,30,22
3,7,1,4,0.5490196078431373,0.7417218543046358,0.6787878787878788,151,165
3,7,2,1,0.5797101449275363,0.5970149253731343,0.9523809523809523,67,42
3,7,3,2,0.36046511627906974,0.5166666666666667,0.543859649122807,60,57
3,7,4,0,0.3225806451612903,0.47619047619047616,0.5,21,20
3,7,5,6,0.41935483870967744,0.609375,0.5735294117647058,64,68
3,7,6,3,0.36666666666666664,1.0,0.36666666666666664,11,30
4,5,0,1,0.2764227642276423,0.2786885245901639,0.9714285714285714,122,35
4,5,1,0,0.26582278481012656,0.84,0.28,25,75
4,5,2,4,0.20408163265306123,0.8333333333333334,0.2127659574468085,12,47
4,5,3,3,0.4826086956521739,0.6809815950920245,0.6235955056179775,163,178
4,5,4,2,0.39814814814814814,0.524390243902439,0.6231884057971014,82,69
4,7,0,4,0.30612244897959184,0.5,0.4411764705882353,30,34
4,7,1,0,0.30493273542600896,0.4503311258278146,0.4857142857142857,151,140
4,7,2,3,0.4117647058823529,0.417910447761194,0.9655172413793104,67,29
4,7,3,2,0.5135135135135135,0.6333333333333333,0.7307692307692307,60,52
4,7,4,1,0.13043478260869565,0.5714285714285714,0.14457831325301204,21,83
4,7,5,5,0.30120481927710846,0.390625,0.5681818181818182,64,44
4,7,6,6,0.2692307692307692,0.6363636363636364,0.3181818181818182,11,22
5,5,0,1,0.75,0.9344262295081968,0.7916666666666666,122,144
5,5,1,4,0.29411764705882354,0.4,0.5263157894736842,25,19
5,5,2,2,0.12,0.25,0.1875,12,16
5,5,3,3,0.6949152542372882,0.754601226993865,0.8978102189781022,163,137
5,5,4,0,0.6504854368932039,0.8170731707317073,0.7613636363636364,82,88
5,7,0,3,0.2631578947368421,0.6666666666666666,0.30303030303030304,30,66
5,7,1,2,0.5863874345549738,0.7417218543046358,0.7368421052631579,151,152
5,7,2,6,0.48,0.7164179104477612,0.5925925925925926,67,81
5,7,3,1,0.16363636363636364,0.3,0.2647058823529412,60,68
5,7,4,4,0.25806451612903225,0.38095238095238093,0.4444444444444444,21,18
5,7,5,5,0.0,0.0,0.0,64,1
5,7,6,0,0.2608695652173913,0.5454545454545454,0.3333333333333333,11,18
6,5,0,4,0.8625954198473282,0.9262295081967213,0.9262295081967213,122,122
6,5,1,3,0.65625,0.84,0.75,25,28
6,5,2,1,0.21739130434782608,0.4166666666666667,0.3125,12,16
6,5,3,0,0.8511904761904762,0.8773006134969326,0.9662162162162162,163,148
6,5,4,2,0.6538461538461539,0.8292682926829268,0.7555555555555555,82,90
6,7,0,4,0.0,0.0,0.0,30,1
6,7,1,0,0.88125,0.9337748344370861,0.94,151,150
6,7,2,5,0.5945945945945946,0.9850746268656716,0.6,67,110
6,7,3,2,0.44660194174757284,0.7666666666666667,0.5168539325842697,60,89
6,7,4,6,0.6071428571428571,0.8095238095238095,0.7083333333333334,21,24
6,7,5,3,0.013157894736842105,0.015625,0.07692307692307693,64,13
6,7,6,1,0.3333333333333333,0.6363636363636364,0.4117647058823529,11,17
7,5,0,1,0.7225806451612903,0.9180327868852459,0.7724137931034483,122,145
7,5,1,2,0.8888888888888888,0.96,0.9230769230769231,25,26
7,5,2,4,0.2558139534883721,0.9166666666666666,0.2619047619047619,12,42
7,5,3,0,0.6598984771573604,0.7975460122699386,0.7926829268292683,163,164
7,5,4,3,0.3132530120481928,0.3170731707317073,0.9629629629629629,82,27
7,7,0,2,0.4666666666666667,0.4666666666666667,1.0,30,14
7,7,1,3,0.8827160493827161,0.9470198675496688,0.9285714285714286,151,154
7,7,2,1,0.67,1.0,0.67,67,100
7,7,3,0,0.20588235294117646,0.23333333333333334,0.6363636363636364,60,22
7,7,4,5,0.5555555555555556,0.7142857142857143,0.7142857142857143,21,21
7,7,5,4,0.22123893805309736,0.390625,0.33783783783783783,64,74
7,7,6,6,0.5789473684210527,1.0,0.5789473684210527,11,19
8,5,0,2,0.3467741935483871,0.3524590163934426,0.9555555555555556,122,45
8,5,1,3,0.28125,0.36,0.5625,25,16
8,5,2,1,0.4375,0.5833333333333334,0.6363636363636364,12,11
8,5,3,0,0.6382113821138211,0.9631901840490797,0.6541666666666667,163,240
8,5,4,4,0.74,0.9024390243902439,0.8043478260869565,82,92
8,7,0,1,0.7878787878787878,0.8666666666666667,0.896551724137931,30,29
8,7,1,4,0.5364806866952789,0.8278145695364238,0.6038647342995169,151,207
8,7,2,0,0.4117647058823529,0.417910447761194,0.9655172413793104,67,29
8,7,3,2,0.4788732394366197,0.5666666666666667,0.7555555555555555,60,45
8,7,4,5,0.2727272727272727,0.7142857142857143,0.30612244897959184,21,49
8,7,5,3,0.4507042253521127,0.5,0.8205128205128205,64,39
8,7,6,6,0.5454545454545454,0.5454545454545454,1.0,11,6
9,5,0,3,0.7099236641221374,0.7622950819672131,0.9117647058823529,122,102
9,5,1,2,0.8275862068965517,0.96,0.8571428571428571,25,28
9,5,2,1,0.4117647058823529,0.5833333333333334,0.5833333333333334,12,12
9,5,3,0,0.8082901554404145,0.9570552147239264,0.8387096774193549,163,186
9,5,4,4,0.8372093023255814,0.8780487804878049,0.9473684210526315,82,76
9,7,0,0,0.6060606060606061,0.6666666666666666,0.8695652173913043,30,23
9,7,1,6,0.6212121212121212,0.8145695364238411,0.7235294117647059,151,170
9,7,2,5,0.5074626865671642,0.5074626865671642,1.0,67,34
9,7,3,3,0.2465753424657534,0.3,0.5806451612903226,60,31
9,7,4,2,0.296875,0.9047619047619048,0.3064516129032258,21,62
9,7,5,1,0.47,0.734375,0.5662650602409639,64,83
9,7,6,4,0.09090909090909091,0.09090909090909091,1.0,11,1
10,5,0,0,0.8108108108108109,0.9836065573770492,0.821917808219178,122,146
10,5,1,4,0.6060606060606061,0.8,0.7142857142857143,25,28
10,5,2,1,0.16666666666666666,0.25,0.3333333333333333,12,9
10,5,3,2,0.8294117647058824,0.8650306748466258,0.9527027027027027,163,148
10,5,4,3,0.7613636363636364,0.8170731707317073,0.9178082191780822,82,73
10,7,0,0,0.5,0.6666666666666666,0.6666666666666666,30,30
10,7,1,1,0.6826347305389222,0.7549668874172185,0.8769230769230769,151,130
10,7,2,3,0.4785714285714286,1.0,0.4785714285714286,67,140
10,7,3,4,0.39285714285714285,0.55,0.5789473684210527,60,57
10,7,4,5,0.4722222222222222,0.8095238095238095,0.53125,21,32
10,7,5,6,0.0,0.0,0.0,64,1
10,7,6,2,0.3157894736842105,0.5454545454545454,0.42857142857142855,11,14
11,5,0,1,0.4166666666666667,0.4918032786885246,0.7317073170731707,122,82
11,5,1,0,0.3246753246753247,1.0,0.3246753246753247,25,77
11,5,2,2,0.5,0.75,0.6,12,15
11,5,3,4,0.5511111111111111,0.7607361963190185,0.6666666666666666,163,186
11,5,4,3,0.5180722891566265,0.524390243902439,0.9772727272727273,82,44
11,7,0,0,0.6216216216216216,0.7666666666666667,0.7666666666666667,30,30
