iteration,K,sample_unique_n,model_seed,adjusted_rand_index,converged,n_iter,convergence_warnings
1,5,247,1072253590,0.5412817067489135,True,12,0
1,7,247,1072253592,0.42727081675259765,True,33,0
2,5,247,2141115628,0.5598192248744898,True,17,0
2,7,247,2141115630,0.3178338251240333,True,17,0
3,5,265,159295762,0.5080843917812359,True,22,0
3,7,265,159295764,0.3623074006534122,True,15,0
4,5,247,2129819473,0.30932392137356923,True,19,0
4,7,247,2129819475,0.290489085286743,True,14,0
5,5,250,156448778,0.5794551077883602,True,11,0
5,7,250,156448780,0.3876434234115916,True,7,0
6,5,260,581316873,0.7403178099842991,True,13,0
6,7,260,581316875,0.6451968627130487,True,15,0
7,5,265,833352969,0.5202030199140942,True,24,0
7,7,265,833352971,0.6735159728826546,True,20,0
8,5,258,82988027,0.43303619425921946,True,18,0
8,7,258,82988029,0.3571360494858344,True,11,0
9,5,256,2059401753,0.6937275253520757,True,30,0
9,7,256,2059401755,0.43360096967783646,True,11,0
10,5,266,980427915,0.7251475763685639,True,16,0
10,7,266,980427917,0.4455129842125838,True,7,0
11,5,256,1315170842,0.35667206251716166,True,22,0
11,7,256,1315170844,0.3703995872968944,True,20,0
12,5,246,1626395526,0.7351144036234976,True,14,0
12,7,246,1626395528,0.5605350980300234,True,16,0
13,5,258,1789507158,0.3736750264787299,True,16,0
13,7,258,1789507160,0.26480534559582874,True,13,0
14,5,259,1468545281,0.615843117968403,True,18,0
14,7,259,1468545283,0.35632585434967556,True,44,0
15,5,248,1957337747,0.4653906008489814,True,30,0
15,7,248,1957337749,0.7068922962937949,True,42,0
16,5,249,691662839,0.31848628653578603,True,15,0
16,7,249,691662841,0.569751774645499,True,12,0
17,5,262,101075778,0.2763557860170961,True,19,0
17,7,262,101075780,0.39202723643002546,True,27,0
18,5,254,111250643,0.6128516810771354,True,12,0
18,7,254,111250645,0.29960744059844974,True,12,0
19,5,260,1369198091,0.4932623669821166,True,24,0
19,7,260,1369198093,0.47439260665440214,True,7,0
20,5,258,1540861467,0.7083478875141799,True,34,0
20,7,258,1540861469,0.7048160072796332,True,16,0
21,5,264,328450215,0.34060551498134917,True,10,0
21,7,264,328450217,0.404216285012589,True,26,0
22,5,263,1133828115,0.3725679551141705,True,13,0
22,7,263,1133828117,0.4191648050621661,True,21,0
23,5,253,238154395,0.725761526626954,True,19,0
23,7,253,238154397,0.5271794306066747,True,15,0
24,5,250,598525559,0.6176423706462078,True,26,0
24,7,250,598525561,0.40271493321918855,True,12,0
25,5,245,1947115439,0.46198190503495706,True,27,0
25,7,245,1947115441,0.2817952384533584,True,25,0
26,5,259,791279445,0.6184113454365623,True,15,0
26,7,259,791279447,0.5839278390473296,True,12,0
27,5,252,995001156,0.627615871868979,True,43,0
27,7,252,995001158,0.5147357867649883,True,23,0
28,5,268,1787315178,0.5788338763563405,True,27,0
28,7,268,1787315180,0.3803684615536185,True,20,0
29,5,251,1238391775,0.38761892443259127,True,21,0
29,7,251,1238391777,0.4044002351648928,True,16,0
30,5,253,1741338698,0.5860026380365542,True,13,0
30,7,253,1741338700,0.7110639880066698,True,8,0
31,5,272,1411409760,0.3573477665046025,True,27,0
31,7,272,1411409762,0.7010683761946604,True,33,0
32,5,264,746620005,0.6877809450449168,True,31,0
32,7,264,746620007,0.5923486291306443,True,21,0
33,5,265,1059191545,0.34379257259326523,True,12,0
33,7,265,1059191547,0.36098604239604987,True,37,0
34,5,253,2012860702,0.6381845167820416,True,27,0
34,7,253,2012860704,0.3840274323575632,True,9,0
35,5,252,457275012,0.5109954051223417,True,12,0
