run,seed,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
1,10043,5,0,4,0.9024390243902439,0.9098360655737705,0.9910714285714286
1,10043,5,1,0,0.8333333333333334,1.0,0.8333333333333334
1,10043,5,2,3,0.625,0.8333333333333334,0.7142857142857143
1,10043,5,3,1,0.9467455621301775,0.9815950920245399,0.963855421686747
1,10043,5,4,2,0.8222222222222222,0.9024390243902439,0.9024390243902439
1,10043,7,0,5,0.8,0.9333333333333333,0.8484848484848485
1,10043,7,1,6,0.8387096774193549,0.8609271523178808,0.9701492537313433
1,10043,7,2,4,0.5373134328358209,0.5373134328358209,1.0
1,10043,7,3,1,0.8461538461538461,0.9166666666666666,0.9166666666666666
1,10043,7,4,3,0.5862068965517241,0.8095238095238095,0.68
1,10043,7,5,2,0.5277777777777778,0.890625,0.5643564356435643
1,10043,7,6,0,0.7333333333333333,1.0,0.7333333333333333
2,10044,5,0,3,0.9186991869918699,0.9262295081967213,0.9912280701754386
2,10044,5,1,0,0.8928571428571429,1.0,0.8928571428571429
2,10044,5,2,4,0.7857142857142857,0.9166666666666666,0.8461538461538461
2,10044,5,3,2,0.9186046511627907,0.9693251533742331,0.9461077844311377
2,10044,5,4,1,0.9069767441860465,0.9512195121951219,0.9512195121951219
2,10044,7,0,3,0.9032258064516129,0.9333333333333333,0.9655172413793104
2,10044,7,1,2,0.9735099337748344,0.9735099337748344,1.0
2,10044,7,2,4,1.0,1.0,1.0
2,10044,7,3,5,0.9365079365079365,0.9833333333333333,0.9516129032258065
2,10044,7,4,1,0.8260869565217391,0.9047619047619048,0.9047619047619048
2,10044,7,5,0,0.9545454545454546,0.984375,0.9692307692307692
2,10044,7,6,6,0.8461538461538461,1.0,0.8461538461538461
3,10045,5,0,0,0.9349593495934959,0.9426229508196722,0.9913793103448276
3,10045,5,1,4,0.7419354838709677,0.92,0.7931034482758621
3,10045,5,2,1,0.5625,0.75,0.6923076923076923
3,10045,5,3,3,0.9580838323353293,0.9815950920245399,0.975609756097561
3,10045,5,4,2,0.8222222222222222,0.9024390243902439,0.9024390243902439
3,10045,7,0,6,0.627906976744186,0.9,0.675
3,10045,7,1,3,0.51,0.6754966887417219,0.6754966887417219
3,10045,7,2,5,0.5,0.5074626865671642,0.9714285714285714
3,10045,7,3,4,0.1834862385321101,0.3333333333333333,0.2898550724637681
3,10045,7,4,2,0.42857142857142855,0.7142857142857143,0.5172413793103449
3,10045,7,5,0,0.5348837209302325,0.71875,0.6764705882352942
3,10045,7,6,1,0.5333333333333333,0.7272727272727273,0.6666666666666666
4,10046,5,0,3,0.9024390243902439,0.9098360655737705,0.9910714285714286
4,10046,5,1,0,0.9259259259259259,1.0,0.9259259259259259
4,10046,5,2,4,0.7857142857142857,0.9166666666666666,0.8461538461538461
4,10046,5,3,1,0.9467455621301775,0.9815950920245399,0.963855421686747
4,10046,5,4,2,0.8666666666666667,0.9512195121951219,0.9069767441860465
4,10046,7,0,6,0.9666666666666667,0.9666666666666667,1.0
4,10046,7,1,3,0.8333333333333334,0.9271523178807947,0.89171974522293
4,10046,7,2,0,0.746268656716418,0.746268656716418,1.0
4,10046,7,3,1,0.7580645161290323,0.7833333333333333,0.9591836734693877
4,10046,7,4,2,0.5483870967741935,0.8095238095238095,0.6296296296296297
4,10046,7,5,4,0.8076923076923077,0.984375,0.8181818181818182
4,10046,7,6,5,0.7333333333333333,1.0,0.7333333333333333
5,10047,5,0,1,0.8211382113821138,0.8278688524590164,0.9901960784313726
5,10047,5,1,0,0.8064516129032258,1.0,0.8064516129032258
5,10047,5,2,2,0.5,0.75,0.6
5,10047,5,3,4,0.8388888888888889,0.9263803680981595,0.8988095238095238
5,10047,5,4,3,0.7346938775510204,0.8780487804878049,0.8181818181818182
5,10047,7,0,2,0.7647058823529411,0.8666666666666667,0.8666666666666667
5,10047,7,1,5,0.8081395348837209,0.9205298013245033,0.86875
5,10047,7,2,1,0.6559139784946236,0.9104477611940298,0.7011494252873564
