k7_cluster,source_k5_cluster,count,k7_cluster_size,source_share_within_k7
0,3,1,30,0.03333333333333333
0,4,29,30,0.9666666666666667
1,0,8,151,0.052980132450331126
1,1,3,151,0.019867549668874173
1,3,140,151,0.9271523178807947
2,0,66,67,0.9850746268656716
2,2,1,67,0.014925373134328358
3,1,4,60,0.06666666666666667
3,2,1,60,0.016666666666666666
3,3,16,60,0.26666666666666666
3,4,39,60,0.65
4,1,18,21,0.8571428571428571
4,2,3,21,0.14285714285714285
5,0,48,64,0.75
5,2,1,64,0.015625
5,3,6,64,0.09375
5,4,9,64,0.140625
6,2,6,11,0.5454545454545454
6,4,5,11,0.45454545454545453
