unit,cluster,max_posterior,entropy
1022,2,0.9999998237529026,2.917130823437233e-06
1023,2,1.0,8.488003969754088e-15
1024,0,1.0,1.011070478886349e-36
1039,2,0.9999761116682516,0.0002781105493614425
1082,2,1.0,7.580851944044952e-46
1083,1,1.0,2.9072118612775797e-12
1085,2,1.0,1.1264426659535604e-17
1335,1,1.0,7.19640066833157e-64
1398,2,0.9999815625643675,0.0002194261016362684
1404,1,1.0,9.92864840394172e-34
1409,1,0.9999999995993676,9.069161706793089e-09
1413,1,0.9999999999834017,4.299304486228412e-10
1415,2,0.9999999087965575,1.569625337985798e-06
1429,2,1.0,2.237852404900797e-18
1434,1,1.0,1.8715461006181737e-41
1437,1,1.0,4.13221689634921e-29
1438,1,1.0,6.777732397850078e-35
1439,2,1.0,1.964693972772712e-12
1440,2,1.0,4.63471803469214e-22
1441,1,1.0,6.272274752395202e-14
1443,2,1.0,1.4819607836721101e-49
1445,1,1.0,1.7706217850988165e-16
1448,1,1.0,3.0859478077581674e-45
1449,0,1.0,1.1847856322125824e-19
1451,0,1.0,1.3229724804586029e-69
1452,1,1.0,1.2829406256030081e-43
1524,0,1.0,1.378252114216848e-33
3000,1,1.0,2.9777873914067304e-35
3087,0,1.0,-0.0
3174,1,1.0,2.1855955133091392e-47
3186,1,1.0,2.5917531502835735e-37
3187,1,1.0,3.377509647899224e-52
3188,1,1.0,4.144496525321967e-57
3191,1,1.0,2.8621030545790724e-59
500,1,1.0,5.252994655442901e-14
501,0,1.0,5.200220694264259e-86
502,0,0.999999979039558,3.9155560862280437e-07
503,2,1.0,1.7627737407718636e-38
504,2,1.0,6.07487204010389e-171
505,1,1.0,3.0488232965814367e-52
506,1,1.0,4.158825727314194e-63
507,0,1.0,9.467767075318415e-33
508,1,1.0,2.7201592114559427e-19
509,1,1.0,2.304634401638357e-36
510,1,1.0,3.580006557157175e-40
511,2,0.999508610302564,0.00423480984170861
512,1,0.999999999210786,1.7329982527232208e-08
513,0,1.0,5.914679538209526e-114
5131,1,1.0,3.1918924260688494e-66
514,1,1.0,1.7839465386260807e-28
515,1,1.0,7.3106336425093975e-62
5150,1,1.0,1.104842845821567e-36
516,1,1.0,8.533127850462778e-21
517,2,1.0,2.5489955419887873e-31
518,1,1.0,8.967889762972007e-63
519,1,1.0,1.1224190326682135e-27
520,2,1.0,4.5645518304148126e-38
521,0,0.8323575435562023,0.4521282594670015
522,1,1.0,2.1566813136529824e-17
523,2,1.0,9.94063427343824e-28
524,0,1.0,4.0909123751997965e-75
525,2,1.0,4.753527103238654e-43
526,1,1.0,1.0023614135510775e-29
527,1,1.0,9.958746733481085e-45
528,1,0.9999984079078272,2.2847256182728985e-05
529,1,1.0,1.728390571006337e-51
530,1,1.0,4.0670317202202015e-17
5301,1,0.9999999999788542,5.407963005413633e-10
531,1,1.0,1.7475359216112024e-77
532,1,1.0,2.5591970187881047e-65
533,0,1.0,1.2189565517001582e-136
534,1,0.9997338996716082,0.002456506268871918
5345,2,0.9983363278419566,0.012307673068261707
535,2,1.0,3.0779711307255026e-53
5356,1,1.0,2.518206551469597e-65
536,0,1.0,1.5381454162995646e-70
5362,1,1.0,4.5411324744707973e-88
537,1,1.0,5.856208539661422e-60
5372,1,1.0,1.3140371858058534e-13
5376,1,1.0,1.7651530172482122e-90
5378,1,1.0,5.053558166987595e-43
538,2,1.0,1.5938604304633839e-21
539,1,1.0,8.679005108270574e-13
5397,1,1.0,1.3255136003943206e-50
540,0,1.0,1.0788811501420817e-85
5404,1,1.0,5.791445395544398e-35
541,0,1.0,2.492139877779918e-96
5411,1,1.0,1.4060833731962877e-56
5418,1,1.0,7.731017921947941e-70
542,0,1.0,5.780744890134172e-93
5421,1,1.0,2.4037212850145265e-19
5423,0,0.9999995113684065,7.5892596095305465e-06
5424,1,1.0,6.990587781795615e-41
543,1,1.0,8.210956037844791e-44
5437,1,1.0,1.5676059817442543e-61
544,1,0.9999999999874944,3.2896316076756734e-10
545,1,1.0,1.4812835971018495e-65
546,1,1.0,1.449891138943212e-39
547,2,1.0,1.6362240990907424e-103
548,2,1.0,4.122920139441095e-49
549,1,1.0,3.711259871548691e-40
550,1,0.9999999999752163,6.288025244299879e-10
551,1,1.0,1.4686772947245784e-30
552,1,1.0,9.619283407620965e-44
553,0,1.0,1.296959382010483e-222
554,1,1.0,2.0044426943605306e-77
555,1,1.0,4.2989481384222135e-50
556,1,1.0,5.0261894782619645e-57
557,1,1.0,2.315713324868101e-67
558,1,1.0,3.1040425393570774e-23
559,2,1.0,1.5846930435332703e-54
5595,1,1.0,9.596852833677653e-14
560,1,1.0,4.4352700719385386e-27
561,1,1.0,3.722724534419662e-29
562,2,1.0,2.999556432980378e-20
563,1,1.0,2.999950846320618e-28
564,1,1.0,1.935519555382979e-72
565,1,1.0,4.790172633959938e-62
566,1,1.0,1.8051510456260204e-22
567,1,1.0,9.194750179992363e-68
568,1,1.0,3.402294353114955e-54
569,2,1.0,4.227770535213336e-16
570,2,1.0,7.560662087462897e-28
571,1,1.0,3.668862884657467e-74
572,1,1.0,1.4128795757868182e-60
573,2,1.0,6.644522747720443e-91
574,2,0.9999969491922155,4.1796390365252605e-05
575,0,0.9977341813959564,0.016061675268838508
576,1,1.0,2.3224862727021867e-67
577,0,1.0,3.7753307653117425e-39
578,1,1.0,5.354422715443384e-54
579,1,0.9999999999693046,7.724667254331675e-10
580,2,1.0,2.3720238966853867e-14
581,1,1.0,1.0486582753425838e-36
582,1,1.0,5.496681950251465e-37
583,2,1.0,4.6888730130726267e-20
584,1,1.0,2.0551077907997343e-21
585,1,0.999893918804865,0.0010768570216152422
586,0,1.0,1.6132064248369015e-80
587,1,1.0,1.1206107934987762e-55
588,0,1.0,1.4692001855676918e-30
589,1,1.0,1.4342778447232276e-51
590,0,1.0,6.383915951648712e-53
591,1,1.0,8.266185187754135e-22
592,1,1.0,5.880832299182546e-63
593,2,0.9999999999986358,4.066511230529866e-11
594,2,0.978383565711892,0.10426502168829954
595,1,1.0,7.338548376434276e-31
596,1,1.0,1.2009205892925602e-23
597,1,1.0,2.749106088162282e-39
598,1,1.0,3.5009370617393893e-43
599,1,1.0,3.030372272928256e-16
601,1,1.0,2.8423378547153164e-29
602,1,1.0,3.2571783443973617e-56
603,2,1.0,1.8945864320253047e-15
604,1,1.0,8.975460704953402e-41
605,1,0.9999999969872988,6.212197885921998e-08
606,1,1.0,5.172583336752881e-78
607,0,1.0,6.628025478186078e-79
608,1,1.0,3.32970341230317e-33
609,2,0.9992052557742813,0.00646690747378801
610,1,1.0,2.122659027808034e-37
611,1,1.0,5.261764895066686e-17
612,1,0.9999987039388302,1.88656992202867e-05
613,2,1.0,1.2273493530200443e-55
614,0,1.0,2.810306503313442e-17
615,1,1.0,2.0237828834249097e-63
616,2,1.0,1.5642379145428761e-24
617,1,1.0,2.7841372703570586e-56
618,0,1.0,1.1721119851712577e-13
619,0,1.0,1.2540644143969932e-87
620,1,0.999999999998181,5.102636767219265e-11
621,1,1.0,2.05150288500416e-47
622,2,0.9652339362079079,0.1509377521900095
623,1,1.0,7.357840339620164e-15
624,1,1.0,9.977128744894457e-48
625,2,1.0,2.012948606424799e-29
626,0,1.0,3.8862260742777416e-78
627,1,1.0,1.4266551893506756e-29
628,2,1.0,7.040495937086283e-13
629,2,1.0,1.388218698964978e-42
630,1,1.0,1.0720890366065781e-42
631,0,1.0,6.779190719666883e-138
632,1,1.0,2.6526198174179034e-18
633,1,1.0,1.2171231498531204e-20
634,0,0.9999991547216658,1.266531203622946e-05
635,2,1.0,6.845133047874919e-33
636,1,1.0,2.677185831716114e-77
637,1,1.0,3.0676085513494765e-35
638,1,0.9999999289523228,1.2404872539828103e-06
639,0,1.0,1.5063062792599127e-120
640,2,1.0,2.427025003149956e-38
641,1,1.0,5.40170985128237e-19
642,2,0.999970093178464,0.00034145841323595446
643,1,1.0,1.1509514575922989e-81
645,0,1.0,1.4404767106520354e-118
646,1,1.0,9.074130377646563e-74
647,1,1.0,2.738639116675682e-34
648,2,1.0,3.4366061189951816e-99
649,1,1.0,4.719483019268816e-39
650,1,1.0,9.337848197979415e-47
653,1,1.0,3.5928981540407235e-33
654,1,1.0,5.0156410424136385e-55
655,1,1.0,3.963625578634282e-25
656,1,1.0,4.937070895355958e-81
6562,1,1.0,5.448004950008171e-37
657,1,1.0,2.4749170886154774e-47
659,1,1.0,6.477372905948199e-41
660,1,1.0,1.706312725620442e-42
661,1,1.0,1.6188751493096397e-56
662,1,1.0,2.312183001995325e-53
663,2,0.9999988193019511,1.7296522186332608e-05
664,1,1.0,7.987485202185267e-43
665,0,0.9987195721692108,0.00980797542353998
667,1,1.0,3.573164921897876e-44
668,2,1.0,2.9757088975162434e-16
669,0,1.0,3.5332731708913313e-82
670,2,0.9999953105746859,6.22296020459453e-05
671,2,0.9999999996107363,8.821136525576868e-09
672,1,1.0,2.3318207527102106e-56
673,1,1.0,1.1142963549331917e-54
674,0,1.0,1.6742632231909673e-134
675,1,1.0,1.4314545003386352e-83
676,1,1.0,3.678232285752616e-21
677,1,1.0,3.832960232961998e-62
678,1,1.0,1.3885124136027132e-35
679,1,1.0,2.0244975838868212e-64
680,1,1.0,3.192614871268287e-29
681,2,1.0,1.1253723601987496e-32
682,1,1.0,1.0065642370334757e-15
683,1,1.0,2.0724577919592157e-52
684,1,1.0,8.824432659899614e-34
685,0,0.9999999999402007,1.4658830141109645e-09
686,1,1.0,2.1187471702096675e-64
6867,2,1.0,7.618390542580422e-15
687,1,1.0,1.8254325372407662e-54
6874,1,1.0,2.348218792455025e-62
6876,1,1.0,1.446929465480052e-29
6877,1,1.0,2.958091871287525e-79
6878,1,1.0,9.628857767175999e-60
6879,1,1.0,2.14340878082195e-56
688,1,1.0,3.0292929739708983e-29
6881,1,1.0,4.3496600476567175e-27
6883,1,1.0,1.4453771418208533e-26
6886,1,1.0,1.7344556883508694e-44
6893,1,1.0,3.2113161868082274e-36
690,1,0.99999999972556,6.315640201157075e-09
691,1,1.0,1.2819688644705662e-36
6913,1,1.0,9.119579604523088e-21
6914,1,1.0,5.00694115784168e-58
6919,1,1.0,1.0395431031220645e-80
