unit,cluster,max_posterior,entropy
1022,4,0.7912032368301366,0.512358102015101
1023,5,0.9999999998844942,2.7585802043602864e-09
1024,2,1.0,2.7022124141540357e-47
1039,4,0.9999999999993179,1.9418732118286625e-11
1082,4,0.999998542142674,2.2023601991426044e-05
1083,4,1.0,7.428614116881831e-37
1085,4,1.0,1.7533837502023925e-17
1335,3,1.0,2.4567560431863745e-39
1398,5,1.0,3.209499053994672e-34
1404,3,0.9999999811045657,3.5493972667030846e-07
1409,5,1.0,2.3709296982724857e-26
1413,5,1.0,6.737960185276164e-29
1415,5,1.0,3.240328519461206e-13
1429,5,1.0,7.078737180844464e-16
1434,3,0.9999999999729425,6.839826938935489e-10
1437,5,0.9999999999949978,1.3433734459569695e-10
1438,5,1.0,1.368407678588278e-14
1439,5,1.0,3.450142854442236e-37
1440,5,1.0,6.717897120232878e-36
1441,4,1.0,2.16262781912827e-12
1443,1,1.0,1.7019840133582033e-29
1445,5,1.0,2.1573679264273882e-29
1448,5,0.999792521582798,0.0019669741319663266
1449,5,0.9999999997303348,6.210803435652654e-09
1451,0,1.0,1.956987202532515e-28
1452,3,1.0,6.975237845851969e-36
1524,5,1.0,1.878343201977278e-45
3000,4,1.0,2.613596587718758e-20
3087,0,1.0,-0.0
3174,3,0.9999999999997726,4.43494362574646e-12
3186,3,0.8971100075885071,0.3313869270352345
3187,3,1.0,2.0865240338798163e-28
3188,4,0.9999996847039299,5.035199051903431e-06
3191,4,0.9999996064035124,6.1983336399365e-06
500,4,1.0,5.105574372058525e-37
501,2,1.0,8.842976250146521e-35
502,5,1.0,7.3988477274632895e-16
503,5,1.0,1.1424082372345068e-34
504,1,1.0,1.2160352249385985e-172
505,3,1.0,7.324285846437796e-31
507,2,1.0,3.861249849504628e-32
508,4,1.0,4.370763060933398e-31
509,4,1.0,6.141710935150596e-16
510,4,1.0,6.717470314084962e-31
511,5,1.0,2.400464422669571e-21
512,4,1.0,4.7778223100841604e-26
513,2,1.0,5.398456317005148e-74
5131,3,1.0,4.00520674011916e-17
514,4,0.9760057881409516,0.11320105457123578
515,3,1.0,1.5166165820353812e-55
5150,4,0.9999999649728586,6.363420305845344e-07
516,4,1.0,6.103492645313332e-38
517,5,0.9999999999988631,3.267841792924556e-11
518,3,1.0,3.201807754458672e-42
519,4,1.0,1.2851905239862747e-21
520,4,1.0,8.892211448340543e-19
521,5,0.9999999977201242,4.764865044588155e-08
522,4,1.0,7.366019726850449e-31
523,1,0.9999999009694469,1.6961794011844972e-06
524,2,1.0,8.076075079292599e-40
525,5,1.0,5.559145732805884e-29
526,4,1.0,2.9086403508591523e-24
527,4,1.0,6.117693053808715e-16
528,4,1.0,6.479617376607907e-20
529,4,0.9988687200722508,0.00880570167522553
530,4,1.0,1.3388769684016566e-31
5301,5,1.0,6.842468778932028e-27
532,3,1.0,6.069497847271248e-40
533,0,1.0,4.216306276124747e-143
534,4,1.0,4.579981400017753e-36
5345,4,1.0,4.536561540650143e-23
535,1,1.0,1.8160796661378665e-47
5356,3,1.0,8.317538820291401e-39
536,2,1.0,3.337200088281781e-45
5362,3,1.0,4.6013973758496665e-31
537,3,1.0,5.59260247129718e-14
5372,5,0.9999868194113413,0.00016128768510253777
5376,3,1.0,4.391696292256383e-36
5378,4,0.9999769841424281,0.0002688094655701974
538,4,1.0,2.738224775434477e-25
5397,3,1.0,5.82224335149498e-32
540,0,1.0,2.1959415789751478e-65
5404,4,1.0,2.249178800606436e-13
541,2,1.0,4.695520186470137e-69
5411,3,1.0,9.559203212588033e-27
5418,3,1.0,1.477001942530338e-17
542,2,1.0,3.989988107283248e-64
5421,3,1.0,4.902209655455686e-30
5423,5,1.0,2.4761200277345774e-32
5424,4,0.9995040178648358,0.004269772625079465
5437,3,1.0,1.3131373119613048e-21
545,3,1.0,5.883832499007069e-22
547,1,1.0,5.747951978033937e-69
548,1,0.9999999965173174,7.130759420302529e-08
549,4,1.0,1.1306543267478608e-23
550,4,1.0,2.772774839293174e-21
551,4,1.0,1.0312008642725514e-15
552,4,1.0,6.774438143599433e-17
553,2,1.0,5.90034941570831e-44
555,3,1.0,6.102779283136599e-31
556,3,1.0,1.0118550954667344e-39
558,4,1.0,3.2229233359976057e-27
559,1,0.9999999994404334,1.2480523520634645e-08
5595,5,1.0,8.966183641057212e-17
560,4,1.0,2.901242549787925e-13
561,4,0.9999992015426419,1.200926433896578e-05
562,4,1.0,5.338869682996217e-29
563,4,1.0,1.1196385581615851e-21
564,3,1.0,3.183527254034107e-38
565,3,0.5841729700275017,0.678909301011295
566,3,1.0,3.4608670542147575e-15
567,3,0.9999999816811853,3.446728580365672e-07
568,3,0.9999989495966989,1.5510607727887032e-05
569,5,0.9999999999970441,7.918974532559199e-11
570,4,0.9999999895508154,2.0247048766367504e-07
571,3,1.0,9.959946981171599e-62
573,1,1.0,3.1647531435740445e-88
574,5,1.0,7.45595947540889e-47
575,5,1.0,3.439087872399597e-21
576,3,1.0,3.452318700458758e-60
577,2,0.9999999999988631,3.5276813652056856e-11
578,4,0.9999896047919785,0.00012967149250639812
579,4,0.9999999999906777,2.436593315349008e-10
580,4,1.0,2.1721651367069523e-20
581,3,0.9999504294198032,0.0005409185467062295
582,3,0.9999904220193764,0.00012026149739330664
583,4,1.0,1.0235022837936494e-15
584,4,1.0,2.856604915626539e-23
585,4,1.0,1.5839438944126954e-16
586,2,1.0,2.9034048877425487e-46
588,2,0.9999999996286988,8.431480161331069e-09
589,3,1.0,3.7250642522291996e-24
590,2,1.0,3.4328016273129924e-59
591,3,0.9999999998958629,2.4997550584727553e-09
592,3,1.0,3.91416640860115e-42
593,5,0.9999999982358077,3.7323793900774786e-08
594,4,0.9999999997664872,5.414424404520492e-09
595,4,0.9999999998005933,4.654718296591878e-09
596,4,0.9999999999402007,1.501620942892579e-09
597,3,1.0,1.436642600617387e-14
598,3,0.9999999366768881,1.1129056012681203e-06
599,5,1.0,1.79109573659169e-20
601,4,1.0,2.0178627298669102e-13
602,4,0.919705711478986,0.27948753876875887
603,2,1.0,4.6318788022429646e-14
604,4,1.0,9.38884684099166e-19
605,5,1.0,3.3715754079783975e-34
606,3,1.0,1.3221732199421253e-38
607,2,1.0,1.562270591270001e-69
608,4,1.0,1.4342117780122058e-17
609,4,1.0,6.0880733312285e-38
610,3,1.0,4.112175943622877e-34
611,4,1.0,2.0493156826178509e-29
612,4,1.0,1.0966252467342186e-24
613,1,1.0,5.695455237905496e-33
614,2,0.9999999999997726,4.1403449187441996e-12
615,3,1.0,2.7671362340521347e-41
616,4,1.0,4.371513220600696e-37
617,4,0.9999979988792361,2.8259431134369567e-05
618,5,1.0,4.299620953356551e-29
619,0,1.0,1.126678623528027e-79
620,5,1.0,2.1622734649662152e-18
621,3,1.0,3.946033932880008e-40
622,4,1.0,2.013179109092508e-49
623,4,1.0,5.03338209959774e-32
624,3,1.0,4.3716876674231063e-32
625,5,1.0,1.618572273898634e-35
626,2,1.0,2.245141520107544e-32
627,4,0.9999999740848583,4.786132558552047e-07
628,4,1.0,1.5172816168553064e-16
629,4,1.0,7.255550482244561e-16
630,3,0.9999968501094414,4.3053149135031096e-05
631,2,1.0,6.148896286933193e-53
632,4,1.0,2.8261455992553914e-20
633,4,1.0,6.587670212629372e-26
634,2,0.9999026707634256,0.0009963946732268114
635,5,1.0,8.788154372642152e-22
637,4,0.9999994589874504,8.347726607191032e-06
638,4,1.0,3.2576191083955845e-46
639,2,1.0,1.6191571771416477e-66
640,5,1.0,5.2686126302819576e-23
641,4,0.9993866830586368,0.005149606528967688
642,4,1.0,6.461260489844787e-53
643,3,1.0,7.430855762445538e-59
645,2,1.0,3.1777345143011394e-73
647,4,1.0,6.056992545846173e-21
648,1,1.0,2.100114455575825e-99
649,3,0.9885395733249009,0.06260949257432169
650,3,0.9999999999961346,1.0808627267193407e-10
653,4,1.0,1.6496497782997523e-25
654,3,0.9998369351748551,0.001585199019391724
655,4,1.0,2.5521809876710875e-31
656,3,1.0,1.870053469380723e-32
6562,4,1.0,4.147483185706971e-13
657,3,1.0,2.945004866936542e-18
659,3,0.9999998180724271,3.0053820272645286e-06
660,3,1.0,2.0976672670424668e-21
661,3,1.0,2.075536113069218e-12
662,3,1.0,1.1813818963693939e-23
663,5,1.0,4.587803638282074e-15
664,4,0.9999999999990905,2.527268358484685e-11
665,2,0.9999999998969997,2.473749717691187e-09
667,4,0.9999999999956799,1.1825056924607e-10
668,4,1.0,2.000975261188181e-33
669,2,1.0,6.539186619779498e-66
670,5,0.9999999981375822,3.929808843208626e-08
671,4,0.9999521525209191,0.000523808755844289
672,3,1.0,4.5626611675565404e-14
673,3,1.0,1.4125902242449993e-15
674,2,1.0,3.7148429906125296e-57
675,3,1.0,2.700924811319795e-47
676,4,1.0,4.390615262014605e-13
677,3,1.0,1.6754413419802857e-26
678,4,0.9999999999920419,2.120066082095685e-10
679,3,1.0,3.394680412861035e-50
680,4,1.0,1.5335292926944197e-24
681,4,1.0,8.817783860981649e-25
682,4,0.9999997645993794,3.828081416736417e-06
683,3,1.0,5.9716989796356e-30
684,4,0.999999999998181,5.2452587424616454e-11
685,5,1.0,1.0340060896143092e-18
686,3,1.0,5.6296678595788404e-43
6867,5,1.0,2.4395275645090723e-19
6874,3,1.0,7.305451749182427e-42
6876,4,0.9999999999777174,5.665965794350771e-10
6877,3,1.0,1.8920122796350876e-65
6878,3,1.0,7.242843455954857e-38
6879,3,1.0,2.943301063093055e-59
6881,3,0.9999999992255653,1.7019118648842613e-08
6883,4,0.9999999999072315,2.2335507656567587e-09
6886,3,0.9999978538174057,3.0157768391028075e-05
6893,3,1.0,2.047734086881332e-12
690,5,0.9998849167910561,0.0011588646209717674
691,3,1.0,2.979276347024407e-17
6913,3,1.0,9.08556996763849e-27
6914,3,1.0,1.529751078864504e-75
6919,3,1.0,1.3942005365039902e-67
