iteration,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision,reference_size,candidate_size
1,6,0,4,0.0,0.0,0.0,119,1
1,6,1,3,0.42857142857142855,0.9333333333333333,0.4421052631578947,45,95
1,6,2,2,0.3148148148148148,0.6296296296296297,0.38636363636363635,27,44
1,6,3,1,0.2948717948717949,0.359375,0.6216216216216216,64,37
1,6,4,5,0.29411764705882354,0.29411764705882354,1.0,17,5
1,6,5,0,0.5185185185185185,0.875,0.56,160,250
1,7,0,0,0.35,0.4117647058823529,0.7,17,10
1,7,1,1,0.5440414507772021,0.621301775147929,0.813953488372093,169,129
1,7,2,3,0.27450980392156865,0.9032258064516129,0.2828282828282828,31,99
1,7,3,4,0.0,0.0,0.0,76,4
1,7,4,5,0.14285714285714285,0.16666666666666666,0.5,60,20
1,7,5,6,0.5757575757575758,0.6129032258064516,0.9047619047619048,31,21
1,7,6,2,0.304635761589404,0.9583333333333334,0.3087248322147651,48,149
2,6,0,0,0.9504132231404959,0.9663865546218487,0.9829059829059829,119,117
2,6,1,3,0.6056338028169014,0.9555555555555556,0.6231884057971014,45,69
2,6,2,1,0.4523809523809524,0.7037037037037037,0.5588235294117647,27,34
2,6,3,5,0.4657534246575342,0.53125,0.7906976744186046,64,43
2,6,4,2,0.36363636363636365,0.47058823529411764,0.6153846153846154,17,13
2,6,5,4,0.8809523809523809,0.925,0.9487179487179487,160,156
2,7,0,6,0.5,0.5882352941176471,0.7692307692307693,17,13
2,7,1,1,0.7582417582417582,0.8165680473372781,0.9139072847682119,169,151
2,7,2,4,0.5128205128205128,0.6451612903225806,0.7142857142857143,31,28
2,7,3,2,0.21487603305785125,0.34210526315789475,0.36619718309859156,76,71
2,7,4,3,0.2222222222222222,0.26666666666666666,0.5714285714285714,60,28
2,7,5,5,0.4166666666666667,0.6451612903225806,0.5405405405405406,31,37
2,7,6,0,0.46153846153846156,1.0,0.46153846153846156,48,104
3,6,0,1,0.7985074626865671,0.8991596638655462,0.8770491803278688,119,122
3,6,1,0,0.3333333333333333,0.35555555555555557,0.8421052631578947,45,19
3,6,2,4,0.5588235294117647,0.7037037037037037,0.7307692307692307,27,26
3,6,3,3,0.3050847457627119,0.5625,0.4,64,90
3,6,4,5,0.25,0.6470588235294118,0.2894736842105263,17,38
3,6,5,2,0.6971428571428572,0.7625,0.8905109489051095,160,137
3,7,0,0,0.3157894736842105,0.7058823529411765,0.36363636363636365,17,33
3,7,1,5,0.40609137055837563,0.47337278106508873,0.7407407407407407,169,108
3,7,2,6,0.5483870967741935,0.5483870967741935,1.0,31,17
3,7,3,4,0.3364485981308411,0.47368421052631576,0.5373134328358209,76,67
3,7,4,2,0.27631578947368424,0.35,0.5675675675675675,60,37
3,7,5,1,0.4117647058823529,0.45161290322580644,0.8235294117647058,31,17
3,7,6,3,0.16184971098265896,0.5833333333333334,0.1830065359477124,48,153
4,6,0,2,0.84375,0.907563025210084,0.9230769230769231,119,117
4,6,1,0,0.3739130434782609,0.9555555555555556,0.3805309734513274,45,113
4,6,2,1,0.4166666666666667,0.5555555555555556,0.625,27,24
4,6,3,4,0.2054794520547945,0.234375,0.625,64,24
4,6,4,3,0.25,0.4117647058823529,0.3888888888888889,17,18
4,6,5,5,0.8048780487804879,0.825,0.9705882352941176,160,136
4,7,0,0,0.5714285714285714,0.7058823529411765,0.75,17,16
4,7,1,6,0.6557377049180327,0.7100591715976331,0.8955223880597015,169,134
4,7,2,1,0.26666666666666666,0.5161290322580645,0.35555555555555557,31,45
4,7,3,3,0.2907801418439716,0.5394736842105263,0.3867924528301887,76,106
4,7,4,4,0.5555555555555556,0.8333333333333334,0.625,60,80
4,7,5,2,0.5277777777777778,0.6129032258064516,0.7916666666666666,31,24
4,7,6,5,0.22950819672131148,0.2916666666666667,0.5185185185185185,48,27
5,6,0,0,0.8095238095238095,0.8571428571428571,0.9357798165137615,119,109
5,6,1,2,0.0,0.0,0.0,45,1
5,6,2,5,0.84375,1.0,0.84375,27,32
5,6,3,4,0.43478260869565216,0.78125,0.49504950495049505,64,101
5,6,4,3,0.4074074074074074,0.6470588235294118,0.5238095238095238,17,21
5,6,5,1,0.8531073446327684,0.94375,0.8988095238095238,160,168
5,7,0,5,0.64,0.9411764705882353,0.6666666666666666,17,24
5,7,1,4,0.37305699481865284,0.4260355029585799,0.75,169,96
5,7,2,0,0.75,0.7741935483870968,0.96,31,25
5,7,3,3,0.3160621761658031,0.8026315789473685,0.34269662921348315,76,178
5,7,4,1,0.632183908045977,0.9166666666666666,0.6707317073170732,60,82
5,7,5,2,0.0,0.0,0.0,31,1
5,7,6,6,0.5102040816326531,0.5208333333333334,0.9615384615384616,48,26
6,6,0,0,0.3951612903225806,0.4117647058823529,0.9074074074074074,119,54
6,6,1,4,0.0,0.0,0.0,45,1
6,6,2,5,0.7941176470588235,1.0,0.7941176470588235,27,34
6,6,3,3,0.4152542372881356,0.765625,0.47572815533980584,64,103
6,6,4,1,0.3103448275862069,0.5294117647058824,0.42857142857142855,17,21
6,6,5,2,0.6622807017543859,0.94375,0.6894977168949772,160,219
