run,seed,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
1,10043,6,0,5,0.392,0.4117647058823529,0.8909090909090909
1,10043,6,1,1,0.5384615384615384,0.6222222222222222,0.8
1,10043,6,2,4,0.7352941176470589,0.9259259259259259,0.78125
1,10043,6,3,0,0.5652173913043478,0.8125,0.65
1,10043,6,4,3,0.6086956521739131,0.8235294117647058,0.7
1,10043,6,5,2,0.6371681415929203,0.9,0.6857142857142857
1,10043,7,0,3,0.6470588235294118,0.6470588235294118,1.0
1,10043,7,1,1,0.7608695652173914,0.8284023668639053,0.9032258064516129
1,10043,7,2,6,0.5,1.0,0.5
1,10043,7,3,2,0.6634615384615384,0.9078947368421053,0.711340206185567
1,10043,7,4,5,0.16666666666666666,0.2,0.5
1,10043,7,5,0,0.6176470588235294,0.6774193548387096,0.875
1,10043,7,6,4,0.5070422535211268,0.75,0.6101694915254238
2,10044,6,0,2,0.8174603174603174,0.865546218487395,0.9363636363636364
2,10044,6,1,1,0.5569620253164557,0.9777777777777777,0.5641025641025641
2,10044,6,2,0,0.8571428571428571,0.8888888888888888,0.96
2,10044,6,3,5,0.5,0.53125,0.8947368421052632
2,10044,6,4,3,0.8888888888888888,0.9411764705882353,0.9411764705882353
2,10044,6,5,4,0.8728323699421965,0.94375,0.9207317073170732
2,10044,7,0,6,0.8333333333333334,0.8823529411764706,0.9375
2,10044,7,1,5,0.867816091954023,0.893491124260355,0.967948717948718
2,10044,7,2,0,0.6410256410256411,0.8064516129032258,0.7575757575757576
2,10044,7,3,1,0.7553191489361702,0.9342105263157895,0.797752808988764
2,10044,7,4,4,0.7910447761194029,0.8833333333333333,0.8833333333333333
2,10044,7,5,3,0.8125,0.8387096774193549,0.9629629629629629
2,10044,7,6,2,0.8333333333333334,0.9375,0.8823529411764706
3,10045,6,0,3,0.39344262295081966,0.40336134453781514,0.9411764705882353
3,10045,6,1,1,0.2743362831858407,0.6888888888888889,0.31313131313131315
3,10045,6,2,0,0.7222222222222222,0.9629629629629629,0.7428571428571429
3,10045,6,3,4,0.34615384615384615,0.421875,0.6585365853658537
3,10045,6,4,5,0.7777777777777778,0.8235294117647058,0.9333333333333333
3,10045,6,5,2,0.6401869158878505,0.85625,0.7172774869109948
3,10045,7,0,3,0.6470588235294118,0.6470588235294118,1.0
3,10045,7,1,0,0.5675675675675675,0.7455621301775148,0.7039106145251397
3,10045,7,2,6,0.5087719298245614,0.9354838709677419,0.5272727272727272
3,10045,7,3,4,0.35514018691588783,0.5,0.5507246376811594
3,10045,7,4,2,0.08943089430894309,0.18333333333333332,0.14864864864864866
3,10045,7,5,1,0.24324324324324326,0.2903225806451613,0.6
3,10045,7,6,5,0.5714285714285714,0.5833333333333334,0.9655172413793104
4,10046,6,0,1,0.5118110236220472,0.5462184873949579,0.8904109589041096
4,10046,6,1,5,0.1452991452991453,0.37777777777777777,0.19101123595505617
4,10046,6,2,2,0.6896551724137931,0.7407407407407407,0.9090909090909091
4,10046,6,3,0,0.5384615384615384,0.765625,0.6447368421052632
4,10046,6,4,3,0.6842105263157895,0.7647058823529411,0.8666666666666667
4,10046,6,5,4,0.8218390804597702,0.89375,0.910828025477707
4,10046,7,0,3,0.8235294117647058,0.8235294117647058,1.0
4,10046,7,1,0,0.5272727272727272,0.6863905325443787,0.6946107784431138
4,10046,7,2,6,0.5283018867924528,0.9032258064516129,0.56
4,10046,7,3,1,0.4574468085106383,0.5657894736842105,0.7049180327868853
4,10046,7,4,4,0.16153846153846155,0.35,0.23076923076923078
4,10046,7,5,5,0.45714285714285713,0.5161290322580645,0.8
4,10046,7,6,2,0.6041666666666666,0.6041666666666666,1.0
5,10047,6,0,0,0.3983739837398374,0.4117647058823529,0.9245283018867925
5,10047,6,1,1,0.2647058823529412,0.4,0.43902439024390244
5,10047,6,2,4,0.8125,0.9629629629629629,0.8387096774193549
5,10047,6,3,5,0.3620689655172414,0.65625,0.44680851063829785
5,10047,6,4,2,0.7777777777777778,0.8235294117647058,0.9333333333333333
5,10047,6,5,3,0.6651162790697674,0.89375,0.7222222222222222
5,10047,7,0,0,0.47058823529411764,0.47058823529411764,1.0
5,10047,7,1,6,0.7918781725888325,0.9230769230769231,0.8478260869565217
5,10047,7,2,2,0.5254237288135594,1.0,0.5254237288135594
5,10047,7,3,1,0.5,0.6052631578947368,0.7419354838709677
5,10047,7,4,4,0.16666666666666666,0.2,0.5
5,10047,7,5,5,0.7941176470588235,0.8709677419354839,0.9
5,10047,7,6,3,0.7121212121212122,0.9791666666666666,0.7230769230769231
6,10048,6,0,4,0.5476190476190477,0.5798319327731093,0.9078947368421053
6,10048,6,1,3,0.3375,0.6,0.43548387096774194
6,10048,6,2,5,0.9285714285714286,0.9629629629629629,0.9629629629629629
6,10048,6,3,1,0.21374045801526717,0.4375,0.29473684210526313
6,10048,6,4,0,0.8333333333333334,0.8823529411764706,0.9375
6,10048,6,5,2,0.8922155688622755,0.93125,0.9551282051282052
6,10048,7,0,2,0.8333333333333334,0.8823529411764706,0.9375
6,10048,7,1,1,0.7397959183673469,0.8579881656804734,0.8430232558139535
6,10048,7,2,5,0.5918367346938775,0.9354838709677419,0.6170212765957447
6,10048,7,3,4,0.5,0.6578947368421053,0.6756756756756757
6,10048,7,4,3,0.21212121212121213,0.35,0.35
6,10048,7,5,6,0.3783783783783784,0.45161290322580644,0.7
6,10048,7,6,0,0.75,0.8125,0.9069767441860465
7,10049,6,0,0,0.6029411764705882,0.6890756302521008,0.8282828282828283
7,10049,6,1,5,0.673469387755102,0.7333333333333333,0.8918918918918919
7,10049,6,2,4,0.7058823529411765,0.8888888888888888,0.7741935483870968
7,10049,6,3,1,0.8235294117647058,0.875,0.9333333333333333
7,10049,6,4,2,0.8333333333333334,0.8823529411764706,0.9375
7,10049,6,5,3,0.7537688442211056,0.9375,0.7936507936507936
7,10049,7,0,3,0.7777777777777778,0.8235294117647058,0.9333333333333333
7,10049,7,1,1,0.75,0.8165680473372781,0.9019607843137255
7,10049,7,2,4,0.45588235294117646,1.0,0.45588235294117646
7,10049,7,3,6,0.6764705882352942,0.9078947368421053,0.7263157894736842
7,10049,7,4,5,0.0136986301369863,0.016666666666666666,0.07142857142857142
7,10049,7,5,0,0.4,0.5161290322580645,0.64
7,10049,7,6,2,0.5068493150684932,0.7708333333333334,0.5967741935483871
8,10050,6,0,4,0.4782608695652174,0.5546218487394958,0.7764705882352941
8,10050,6,1,1,0.3972602739726027,0.6444444444444445,0.5087719298245614
8,10050,6,2,2,0.48484848484848486,0.5925925925925926,0.7272727272727273
8,10050,6,3,3,0.27358490566037735,0.453125,0.4084507042253521
8,10050,6,4,5,0.8823529411764706,0.8823529411764706,1.0
8,10050,6,5,0,0.5981308411214953,0.8,0.7032967032967034
8,10050,7,0,4,0.7222222222222222,0.7647058823529411,0.9285714285714286
8,10050,7,1,6,0.6971428571428572,0.7218934911242604,0.953125
8,10050,7,2,3,0.3111111111111111,0.45161290322580644,0.5
8,10050,7,3,1,0.3288590604026846,0.6447368421052632,0.4016393442622951
8,10050,7,4,2,0.4411764705882353,0.75,0.5172413793103449
8,10050,7,5,0,0.7428571428571429,0.8387096774193549,0.8666666666666667
8,10050,7,6,5,0.42,0.4375,0.9130434782608695
9,10051,6,0,0,0.39344262295081966,0.40336134453781514,0.9411764705882353
9,10051,6,1,4,0.3333333333333333,0.5555555555555556,0.45454545454545453
9,10051,6,2,2,0.7428571428571429,0.9629629629629629,0.7647058823529411
9,10051,6,3,3,0.2644628099173554,0.5,0.3595505617977528
9,10051,6,4,1,0.8333333333333334,0.8823529411764706,0.9375
9,10051,6,5,5,0.7178217821782178,0.90625,0.7754010695187166
9,10051,7,0,0,0.7647058823529411,0.7647058823529411,1.0
9,10051,7,1,2,0.5978260869565217,0.650887573964497,0.88
9,10051,7,2,5,0.5294117647058824,0.8709677419354839,0.574468085106383
9,10051,7,3,4,0.26582278481012656,0.5526315789473685,0.3387096774193548
9,10051,7,4,6,0.34,0.5666666666666667,0.4594594594594595
9,10051,7,5,1,0.5,0.6129032258064516,0.7307692307692307
9,10051,7,6,3,0.42,0.4375,0.9130434782608695
10,10052,6,0,4,0.8,0.8403361344537815,0.9433962264150944
10,10052,6,1,5,0.5972222222222222,0.9555555555555556,0.6142857142857143
10,10052,6,2,0,0.47058823529411764,0.5925925925925926,0.6956521739130435
10,10052,6,3,2,0.43209876543209874,0.546875,0.6730769230769231
10,10052,6,4,1,0.34615384615384615,0.5294117647058824,0.5
10,10052,6,5,3,0.8352272727272727,0.91875,0.901840490797546
10,10052,7,0,3,0.7222222222222222,0.7647058823529411,0.9285714285714286
10,10052,7,1,6,0.7412935323383084,0.8816568047337278,0.8232044198895028
10,10052,7,2,5,0.35555555555555557,0.5161290322580645,0.5333333333333333
10,10052,7,3,0,0.46511627906976744,0.5263157894736842,0.8
10,10052,7,4,4,0.45454545454545453,0.75,0.5357142857142857
10,10052,7,5,1,0.8709677419354839,0.8709677419354839,1.0
10,10052,7,6,2,0.8431372549019608,0.8958333333333334,0.9347826086956522
11,10053,6,0,2,0.3951612903225806,0.4117647058823529,0.9074074074074074
11,10053,6,1,4,0.5384615384615384,0.6222222222222222,0.8
11,10053,6,2,0,0.7647058823529411,0.9629629629629629,0.7878787878787878
11,10053,6,3,5,0.5714285714285714,0.8125,0.6582278481012658
11,10053,6,4,1,0.6086956521739131,0.8235294117647058,0.7
11,10053,6,5,3,0.6415929203539823,0.90625,0.6872037914691943
11,10053,7,0,0,0.8,0.9411764705882353,0.8421052631578947
11,10053,7,1,1,0.844559585492228,0.9644970414201184,0.8716577540106952
11,10053,7,2,6,0.84375,0.8709677419354839,0.9642857142857143
11,10053,7,3,4,0.5875,0.618421052631579,0.9215686274509803
11,10053,7,4,5,0.7777777777777778,0.9333333333333333,0.8235294117647058
11,10053,7,5,3,0.96875,1.0,0.96875
11,10053,7,6,2,0.8627450980392157,0.9166666666666666,0.9361702127659575
12,10054,6,0,1,0.4365079365079365,0.46218487394957986,0.8870967741935484
12,10054,6,1,4,0.11538461538461539,0.3333333333333333,0.15
