k7_cluster,source_k6_cluster,count,k7_cluster_size,source_share_within_k7
0,2,1,17,0.058823529411764705
0,3,2,17,0.11764705882352941
0,4,14,17,0.8235294117647058
1,0,25,169,0.14792899408284024
1,1,1,169,0.005917159763313609
1,5,143,169,0.8461538461538461
2,1,25,31,0.8064516129032258
2,3,6,31,0.1935483870967742
3,0,48,76,0.631578947368421
3,1,16,76,0.21052631578947367
3,3,6,76,0.07894736842105263
3,5,6,76,0.07894736842105263
4,1,3,60,0.05
4,2,1,60,0.016666666666666666
4,3,50,60,0.8333333333333334
4,4,1,60,0.016666666666666666
4,5,5,60,0.08333333333333333
5,2,25,31,0.8064516129032258
5,5,6,31,0.1935483870967742
6,0,46,48,0.9583333333333334
6,4,2,48,0.041666666666666664
