unit,k6,k7,Station,mode_label,lon,lat,best_matched_k7_for_k6,follows_best_match
1022,5,1,Haggerston,LO,-0.07559,51.53847,1,True
1023,3,4,Hoxton,LO,-0.07578,51.531025,4,True
1024,3,4,Shoreditch High Street,LO,-0.07543,51.52348,4,True
1039,5,1,Rotherhithe,LO,-0.05209,51.50075,1,True
1082,5,1,Shadwell LO,LO,-0.056155,51.511425,1,True
1083,5,1,Surrey Quays,LO,-0.048065,51.493495,1,True
1085,5,1,Wapping,LO,-0.05599,51.50438,1,True
1335,0,3,Barking Riverside,LO,0.116295,51.51944,3,True
1395,0,6,Bushey,LO,,,3,False
1398,3,4,Hatch End,LO,-0.36885,51.6093,4,True
1402,0,3,Watford Junction,LO,,,3,True
1404,0,3,Acton Central,LO,-0.263055,51.50877,3,True
1409,3,3,Gospel Oak,LO,-0.151,51.55511,4,False
1413,1,3,Hampstead Heath,LO,-0.16573,51.55541,2,False
1415,5,4,Kilburn High Road,LO,-0.19262,51.53739,1,False
1421,1,3,West Hampstead LO,LO,-0.191654,51.547808,2,False
1429,3,4,Dalston Kingsland,LO,-0.0757,51.54822,4,True
1434,0,1,Headstone Lane,LO,-0.356925,51.60255,3,False
1437,0,3,Brondesbury,LO,-0.20193,51.54525,3,True
1438,1,3,Brondesbury Park,LO,-0.2099,51.54093,2,False
1439,3,4,Caledonian Road & Barnsbury,LO,-0.11563,51.54317,4,True
1440,3,4,Camden Road,LO,-0.1386,51.54169,4,True
1441,5,1,Canonbury,LO,-0.09195,51.54872,1,True
1442,0,3,Carpenders Park,LO,,,3,True
1443,2,5,Dalston Junction,LO,-0.075265,51.545795,5,True
1444,3,4,Euston NR,LO,-0.1336333333333333,51.52767,4,True
1445,1,3,Finchley Road & Frognal,LO,-0.1828,51.5502,2,False
1448,0,3,Kensal Rise,LO,-0.2198,51.534575,3,True
1449,3,4,Kentish Town West,LO,-0.14652,51.54643,4,True
1451,4,4,South Hampstead,LO,-0.17937,51.54147,0,False
