iteration,K,sample_unique_n,model_seed,adjusted_rand_index,converged,n_iter,convergence_warnings
1,5,247,2086981362,0.6892003069866708,True,18,0
1,6,247,2086981363,0.5316326123319243,True,17,0
2,5,248,237486808,0.6919906839868095,True,4,0
2,6,248,237486809,0.2981671075945268,True,14,0
3,5,267,1679343320,0.419380433456676,True,19,0
3,6,267,1679343321,0.6644081206954308,True,22,0
4,5,247,371394280,0.4409708993573678,True,14,0
4,6,247,371394281,0.5742649206863255,True,16,0
5,5,253,990203490,0.6642868555158961,True,35,0
5,6,253,990203491,0.2720578619466681,True,14,0
6,5,257,1775134650,0.40765230264006025,True,24,0
6,6,257,1775134651,0.38750033873848644,True,14,0
7,5,267,2025898177,0.5484998549297023,True,12,0
7,6,267,2025898178,0.4681012530049179,True,7,0
8,5,261,457574941,0.42320754283047946,True,19,0
8,6,261,457574942,0.4291455515878578,True,31,0
9,5,246,1014806251,0.32656419784545604,True,27,0
9,6,246,1014806252,0.5763886069315859,True,18,0
10,5,258,802553304,0.6227697230438068,True,16,0
10,6,258,802553305,0.7225787340754992,True,29,0
11,5,251,971629485,0.6283987025803109,True,15,0
11,6,251,971629486,0.5211876662877221,True,8,0
12,5,246,208165347,0.6086820845217449,True,21,0
12,6,246,208165348,0.5436173289286268,True,21,0
13,5,256,907301288,0.4765577053009651,True,22,0
13,6,256,907301289,0.22584693221964847,True,21,0
14,5,262,472432318,0.7145549021754781,True,45,0
14,6,262,472432319,0.5361734447861392,True,10,0
15,5,259,811724499,0.5651369061462714,True,22,0
15,6,259,811724500,0.2829966274297416,True,10,0
16,5,260,240782664,0.4005464751362554,True,17,0
16,6,260,240782665,0.2814808389318684,True,18,0
17,5,262,532364829,0.38208327590669766,True,8,0
17,6,262,532364830,0.2995082213840406,True,19,0
18,5,255,132740180,0.4019609883573022,True,12,0
18,6,255,132740181,0.6154713818189227,True,22,0
19,5,257,85774635,0.35084127100080326,True,23,0
19,6,257,85774636,0.2406897229212845,True,11,0
20,5,255,1764276432,0.4297239317406219,True,12,0
20,6,255,1764276433,0.27113339330740244,True,27,0
21,5,265,1778380150,0.8137173374958029,True,23,0
21,6,265,1778380151,0.3077223458641364,True,20,0
22,5,250,1958478564,0.3631356362032703,True,16,0
22,6,250,1958478565,0.4181699745809052,True,28,0
23,5,250,2136324091,0.5628746659163018,True,28,0
23,6,250,2136324092,0.48524463782292837,True,15,0
24,5,250,1408567733,0.4932614205045399,True,36,0
24,6,250,1408567734,0.6038335480643579,True,18,0
25,5,248,2105059307,0.49080779308329664,True,28,0
25,6,248,2105059308,0.33406898832029563,True,22,0
26,5,252,133442886,0.6334665881784071,True,9,0
26,6,252,133442887,0.3463583968099692,True,10,0
27,5,245,374848393,0.6788065454478714,True,13,0
27,6,245,374848394,0.5273025029626924,True,16,0
28,5,254,435766920,0.6138335702021761,True,16,0
28,6,254,435766921,0.5530207435346194,True,28,0
29,5,250,1103202170,0.3216702308724839,True,15,0
29,6,250,1103202171,0.28026396446412105,True,19,0
30,5,247,1904401257,0.6726309157329146,True,10,0
30,6,247,1904401258,0.6758633769474709,True,23,0
31,5,263,297217752,0.3277453273267108,True,13,0
31,6,263,297217753,0.5391007809053713,True,11,0
32,5,263,572531400,0.6979808012029158,True,18,0
32,6,263,572531401,0.5663702146758919,True,13,0
33,5,265,1536802085,0.31436420252687997,True,12,0
33,6,265,1536802086,0.5084514212947694,True,19,0
34,5,245,93243873,0.35006057834848275,True,10,0
34,6,245,93243874,0.49461222379649666,True,12,0
35,5,250,1519991933,0.6832946589963499,True,18,0
35,6,250,1519991934,0.5914981557525141,True,17,0
36,5,247,1972165256,0.4610069707906381,True,41,0
36,6,247,1972165257,0.4601957510470922,True,11,0
37,5,254,989682610,0.3675186925841163,True,22,0
37,6,254,989682611,0.5874173000761667,True,38,0
38,5,256,1135163905,0.2315322539721235,True,31,0
38,6,256,1135163906,0.5889934620328864,True,12,0
39,5,248,1669078668,0.6483789785410193,True,18,0
39,6,248,1669078669,0.5805298796216681,True,10,0
40,5,261,2124006315,0.4224047767643378,True,22,0
40,6,261,2124006316,0.6207387290348062,True,11,0
41,5,259,1273903566,0.3630815310989455,True,43,0
41,6,259,1273903567,0.6500058471273036,True,19,0
42,5,258,1182515584,0.294627704052199,True,27,0
42,6,258,1182515585,0.5814000607391598,True,10,0
43,5,244,273655479,0.3632235377498494,True,35,0
43,6,244,273655480,0.6093898742395145,True,52,0
44,5,245,1285291805,0.44307913182436365,True,30,0
44,6,245,1285291806,0.4533248517011683,True,10,0
45,5,251,911602283,0.31108611883314796,True,33,0
45,6,251,911602284,0.5971364172972907,True,15,0
46,5,257,1860132319,0.7586538061290853,True,14,0
46,6,257,1860132320,0.5807071801500657,True,23,0
47,5,258,1267839668,0.516834675833392,True,8,0
47,6,258,1267839669,0.3965552723707557,True,28,0
48,5,261,822038631,0.4825794441047196,True,29,0
48,6,261,822038632,0.672852076050111,True,22,0
49,5,271,1710886511,0.5191250143891234,True,33,0
49,6,271,1710886512,0.27599741350862617,True,35,0
50,5,243,499423598,0.7376000890764456,True,14,0
50,6,243,499423599,0.7009269182776645,True,9,0
51,5,259,1230460232,0.32498520435098927,True,47,0
51,6,259,1230460233,0.23254237250320378,True,29,0
52,5,255,1324038966,0.6022697900366781,True,23,0
52,6,255,1324038967,0.46986222605541916,True,19,0
53,5,254,1205413678,0.32043120002683095,True,12,0
53,6,254,1205413679,0.5352275380481161,True,37,0
54,5,258,50812374,0.540057656969078,True,24,0
54,6,258,50812375,0.3032352652923248,True,29,0
55,5,248,776925982,0.33860420909657063,True,12,0
55,6,248,776925983,0.40410359361739884,True,30,0
56,5,261,1258762910,0.6438749392320823,True,14,0
56,6,261,1258762911,0.5988900497228589,True,18,0
57,5,260,264233363,0.3364486825605208,True,21,0
57,6,260,264233364,0.2542814853432688,True,18,0
58,5,256,1867786905,0.3759774450375566,True,39,0
58,6,256,1867786906,0.5039991999590183,True,7,0
59,5,264,1433614133,0.6998046723625434,True,15,0
59,6,264,1433614134,0.7603065972246755,True,21,0
60,5,255,736120653,0.8770253730704182,True,19,0
60,6,255,736120654,0.25986142667058953,True,31,0
61,5,256,889939007,0.5059865518458473,True,37,0
61,6,256,889939008,0.3524886595272523,True,14,0
62,5,260,514795164,0.37907445056243705,True,15,0
62,6,260,514795165,0.4191411842819132,True,23,0
63,5,257,268193535,0.6684035316806044,True,27,0
63,6,257,268193536,0.40499331996495785,True,21,0
64,5,254,130060447,0.7466443867691109,True,19,0
64,6,254,130060448,0.3913218362871215,True,16,0
65,5,259,266996019,0.4480860810080735,True,19,0
65,6,259,266996020,0.28411787774235314,True,20,0
66,5,264,968690395,0.5942151738624726,True,24,0
66,6,264,968690396,0.32597454398597064,True,5,0
67,5,261,1953270335,0.4963225982394953,True,7,0
67,6,261,1953270336,0.4841653085905151,True,17,0
68,5,252,1734959938,0.4446472513387151,True,26,0
68,6,252,1734959939,0.25155972935079923,True,20,0
69,5,259,702323281,0.3215980404077296,True,14,0
69,6,259,702323282,0.4528155829977358,True,21,0
70,5,257,1701981989,0.6624132100675241,True,18,0
70,6,257,1701981990,0.5343413707881292,True,20,0
71,5,243,648850217,0.33442405575753187,True,10,0
71,6,243,648850218,0.5895266628967819,True,14,0
72,5,263,1889828240,0.7243330538228476,True,20,0
72,6,263,1889828241,0.48679075186942844,True,33,0
73,5,247,1756761227,0.42687440999170156,True,16,0
73,6,247,1756761228,0.6105207113645235,True,16,0
74,5,255,1045319818,0.3799279684466256,True,11,0
74,6,255,1045319819,0.6172151078200843,True,26,0
75,5,260,2033058444,0.4515512411098171,True,10,0
75,6,260,2033058445,0.3779452179151777,True,17,0
76,5,247,1243237780,0.5870391451849614,True,23,0
76,6,247,1243237781,0.4118224786521784,True,14,0
77,5,258,1398194789,0.5491510564564982,True,27,0
77,6,258,1398194790,0.5074583069497703,True,12,0
78,5,242,569824945,0.8249802368025148,True,21,0
78,6,242,569824946,0.2748098171512884,True,19,0
79,5,261,1398226643,0.35913368305260474,True,18,0
79,6,261,1398226644,0.48838550240538015,True,35,0
80,5,247,2061154190,0.5684958424537608,True,16,0
80,6,247,2061154191,0.32640590380330453,True,15,0
81,5,261,672286944,0.5311655504288714,True,26,0
81,6,261,672286945,0.45794345881042575,True,25,0
82,5,243,1092717887,0.18810574787790077,True,14,0
82,6,243,1092717888,0.6270051580759053,True,29,0
83,5,260,2130330093,0.49167216524507895,True,20,0
83,6,260,2130330094,0.5471205620173133,True,9,0
84,5,253,845143352,0.3185548780672875,True,12,0
84,6,253,845143353,0.5018703815451249,True,19,0
85,5,255,321504028,0.6271398762548163,True,35,0
85,6,255,321504029,0.3028806780582853,True,22,0
86,5,252,948942779,0.5774901341719497,True,8,0
86,6,252,948942780,0.720422151955596,True,10,0
87,5,258,1707953527,0.2586207239307985,True,25,0
87,6,258,1707953528,0.2735773650619229,True,45,0
88,5,256,579113273,0.6056861899076561,True,18,0
88,6,256,579113274,0.578751934050767,True,9,0
89,5,257,2097193036,0.5086947737311872,True,13,0
89,6,257,2097193037,0.49790719685925827,True,20,0
90,5,249,1820231253,0.5534862582816973,True,15,0
90,6,249,1820231254,0.2451699543210834,True,21,0
91,5,253,171687386,0.6749601492630662,True,10,0
91,6,253,171687387,0.5580803465430492,True,21,0
92,5,252,2138398986,0.4934037457552869,True,21,0
92,6,252,2138398987,0.5702391192890913,True,10,0
93,5,255,336720497,0.30325988057621195,True,77,0
93,6,255,336720498,0.4149690280006005,True,22,0
94,5,256,737566369,0.7699184714546772,True,23,0
94,6,256,737566370,0.4717469771592673,True,9,0
95,5,252,1209467227,0.42774108443247905,True,25,0
95,6,252,1209467228,0.7127665517734451,True,22,0
96,5,258,281375880,0.5646851629741352,True,39,0
96,6,258,281375881,0.6625814471432171,True,30,0
97,5,257,617068394,0.38878573787837584,True,17,0
97,6,257,617068395,0.6187640993514445,True,18,0
98,5,254,386793066,0.32997803030072126,True,7,0
98,6,254,386793067,0.369534020409807,True,9,0
99,5,249,1819200120,0.5131520747789707,True,13,0
99,6,249,1819200121,0.3370151429319909,True,5,0
100,5,255,1553608972,0.4354652623901789,True,13,0
100,6,255,1553608973,0.4678464887691196,True,10,0
101,5,254,1302214841,0.8490343125989928,True,11,0
101,6,254,1302214842,0.5703876445274537,True,14,0
102,5,254,1934753683,0.33217917190480023,True,24,0
102,6,254,1934753684,0.5348232272214936,True,14,0
103,5,246,2122843840,0.42954291997872723,True,14,0
103,6,246,2122843841,0.47709537937335167,True,13,0
104,5,259,2023017663,0.6908071791969291,True,32,0
104,6,259,2023017664,0.4080026411888622,True,18,0
105,5,258,140730200,0.5616365145940903,True,13,0
105,6,258,140730201,0.36990648190630165,True,18,0
106,5,255,1673133302,0.6416561823825583,True,40,0
106,6,255,1673133303,0.4759431473717594,True,17,0
107,5,253,401817037,0.4245152218510567,True,11,0
107,6,253,401817038,0.43632374089541315,True,14,0
108,5,257,1873406106,0.5029869252400453,True,30,0
108,6,257,1873406107,0.410906651492392,True,12,0
109,5,259,508219295,0.40175401252167653,True,37,0
109,6,259,508219296,0.5412891297697239,True,22,0
110,5,258,739867380,0.3396631199265147,True,17,0
110,6,258,739867381,0.6724865370156184,True,14,0
111,5,264,905481911,0.3339627581268352,True,6,0
111,6,264,905481912,0.3035634056560371,True,14,0
112,5,256,26706445,0.341708052117488,True,32,0
112,6,256,26706446,0.22451719757770505,True,14,0
113,5,266,1540791440,0.5161597214126059,True,13,0
113,6,266,1540791441,0.30002967532893454,True,17,0
114,5,258,1601902615,0.3450249999939271,True,19,0
114,6,258,1601902616,0.2792682576491364,True,8,0
115,5,252,376474738,0.4267958988387051,True,14,0
115,6,252,376474739,0.28359690404248966,True,13,0
116,5,244,154588320,0.2419767980052786,True,17,0
116,6,244,154588321,0.35747787395603553,True,31,0
117,5,248,433952219,0.6511292509553326,True,16,0
117,6,248,433952220,0.42015046007344753,True,21,0
118,5,243,996676595,0.5049629551241078,True,16,0
118,6,243,996676596,0.3378653513886715,True,16,0
119,5,254,1737905082,0.2777623652432358,True,5,0
119,6,254,1737905083,0.6253262548114741,True,7,0
120,5,262,546393723,0.3793290108602343,True,34,0
120,6,262,546393724,0.6043263596404452,True,15,0
121,5,251,494545179,0.31324047012887873,True,12,0
121,6,251,494545180,0.474900143106171,True,14,0
122,5,262,1379643433,0.41682876105956007,True,10,0
122,6,262,1379643434,0.3715410135372797,True,27,0
123,5,261,1000915117,0.5919014117444891,True,13,0
123,6,261,1000915118,0.4534448764678113,True,11,0
124,5,263,762615134,0.408123825966646,True,22,0
124,6,263,762615135,0.3033137998133591,True,13,0
125,5,266,2071706430,0.38346586831631846,True,23,0
125,6,266,2071706431,0.2262448915546453,True,11,0
126,5,249,90010112,0.5858411274595969,True,20,0
126,6,249,90010113,0.2793552157294475,True,21,0
127,5,252,557370662,0.3223673639136932,True,11,0
127,6,252,557370663,0.33215979803175033,True,20,0
128,5,262,34580457,0.5663336106538622,True,18,0
128,6,262,34580458,0.6119392891153939,True,18,0
129,5,249,453157469,0.6994147061649935,True,24,0
129,6,249,453157470,0.5893686847806869,True,18,0
130,5,253,1110117948,0.3616335562179407,True,17,0
130,6,253,1110117949,0.3026919747500819,True,22,0
131,5,245,1079743390,0.30841235682649965,True,41,0
131,6,245,1079743391,0.29088731983500776,True,30,0
132,5,248,1402603246,0.48003197618032434,True,7,0
132,6,248,1402603247,0.616158055046791,True,28,0
133,5,261,1480761121,0.8069076899869334,True,17,0
133,6,261,1480761122,0.6233335975967651,True,19,0
134,5,244,1760202551,0.28523940930939956,True,19,0
134,6,244,1760202552,0.5844128526340936,True,9,0
135,5,258,169266453,0.4214189313158119,True,4,0
135,6,258,169266454,0.34726737282594483,True,23,0
136,5,263,70941898,0.7177061180385196,True,19,0
136,6,263,70941899,0.5570303771589699,True,9,0
137,5,237,1522522151,0.29796160574675645,True,35,0
137,6,237,1522522152,0.4763547424472214,True,20,0
138,5,260,1405686013,0.36885563200233046,True,17,0
138,6,260,1405686014,0.19606924333814899,True,28,0
139,5,250,192180198,0.6334478959493187,True,13,0
139,6,250,192180199,0.570992607188615,True,10,0
