unit,k6,k7,Station,mode_label,lon,lat,best_matched_k7_for_k6,follows_best_match
1022,0,2,Haggerston,LO,-0.07559,51.53847,2,True
1023,5,2,Hoxton,LO,-0.07578,51.531025,0,False
1024,5,0,Shoreditch High Street,LO,-0.07543,51.52348,0,True
1039,3,2,Rotherhithe,LO,-0.05209,51.50075,1,False
1082,1,2,Shadwell LO,"DLR,LO",-0.056155,51.511425,5,False
1083,3,1,Surrey Quays,LO,-0.048065,51.493495,1,True
1085,3,2,Wapping,LO,-0.05599,51.50438,1,False
1335,2,6,Barking Riverside,LO,0.116295,51.51944,3,False
1395,2,3,Bushey,LO,,,3,True
1398,0,2,Hatch End,LO,-0.36885,51.6093,2,True
1402,0,6,Watford Junction,LO,,,2,False
1404,0,6,Acton Central,LO,-0.263055,51.50877,2,False
1409,0,2,Gospel Oak,LO,-0.151,51.55511,2,True
1413,0,6,Hampstead Heath,LO,-0.16573,51.55541,2,False
1415,0,2,Kilburn High Road,LO,-0.19262,51.53739,2,True
1429,0,2,Dalston Kingsland,LO,-0.0757,51.54822,2,True
1434,3,1,Headstone Lane,LO,-0.356925,51.60255,1,True
1437,0,6,Brondesbury,LO,-0.20193,51.54525,2,False
1438,0,6,Brondesbury Park,LO,-0.2099,51.54093,2,False
1439,0,2,Caledonian Road & Barnsbury,LO,-0.11563,51.54317,2,True
1440,0,2,Camden Road,LO,-0.1386,51.54169,2,True
1441,3,1,Canonbury,LO,-0.09195,51.54872,1,True
1442,2,1,Carpenders Park,LO,,,3,False
1443,1,5,Dalston Junction,LO,-0.075265,51.545795,5,True
1445,0,6,Finchley Road & Frognal,LO,-0.1828,51.5502,2,False
1448,0,6,Kensal Rise,LO,-0.2198,51.534575,2,False
1449,5,2,Kentish Town West,LO,-0.14652,51.54643,0,False
1451,0,2,South Hampstead,LO,-0.17937,51.54147,2,True
1452,2,6,South Acton,LO,-0.2704649999999999,51.499345,3,False
1455,2,6,Watford High Street,LO,,,3,False
1524,0,6,Upper Holloway,LO,-0.12948,51.56386,2,False
3000,3,1,Acton Main Line,EZL,-0.2670249999999999,51.51706,1,True
3087,4,4,Paddington NR,EZL,-0.1762744444444444,51.51671888888889,4,True
3147,2,3,Maidenhead,EZL,,,3,True
