covariance,K,BIC
spherical,2,-1782615.8971031548
spherical,3,-1802765.5700040688
spherical,4,-1813535.2486539418
spherical,5,-1820239.410553281
spherical,6,-1825910.8012550666
spherical,7,-1830094.3055222887
spherical,8,-1831807.867955902
spherical,9,-1836665.9226714734
spherical,10,-1838007.133818321
spherical,11,-1841306.5583397476
spherical,12,-1841027.848814102
diag,2,-1886125.7935299212
diag,3,-1895086.8120460962
diag,4,-1897390.0644282084
diag,5,-1899403.7747211354
diag,6,-1898223.3206526013
diag,7,-1897934.0863003617
diag,8,-1897153.6161180574
diag,9,-1895271.0247402098
diag,10,-1893674.628776862
diag,11,-1891315.2704790425
diag,12,-1888077.515348519
tied,2,-1458297.6564542607
tied,3,-1455843.4715509599
tied,4,-1454094.2698560585
tied,5,-1452058.521149253
tied,6,-1449787.8418587851
tied,7,-1447308.7388508623
tied,8,-1445136.2216375216
tied,9,-1442899.6886452585
tied,10,-1440436.5021673222
tied,11,-1438109.881851203
tied,12,-1435541.7450207889
full,2,-886003.4775442509
full,3,-309766.89598183054
full,4,271311.75541164936
full,5,852436.2808592373
full,6,1434251.1355351862
full,7,2017324.390590946
full,8,2600727.14334736
full,9,3182856.5949123995
full,10,3765391.004210487
full,11,4349044.05059491
full,12,4932938.052565324
