unit,cluster,max_posterior,entropy
1022,2,1.0,1.771202094888929e-29
1023,4,0.9999977244809513,3.189826902006542e-05
1024,0,1.0,2.567636717327651e-22
1039,2,1.0,1.1486110830965092e-25
1082,2,0.9999999967653821,6.646636218851877e-08
1083,2,0.9954865081384205,0.028879234774162422
1085,2,1.0,5.2588768354891995e-43
1335,7,0.9995635190585314,0.0038133365108589516
1398,4,0.9990784662491943,0.0073621425785708305
1404,7,0.9999999999954525,1.2307999486105248e-10
1409,7,0.9999999990363904,2.096994095884042e-08
1413,7,1.0,8.956216652148338e-45
1415,2,0.9999999999222382,1.8923284225221074e-09
1429,4,1.0,1.7952203572582936e-30
1434,1,0.9999999999422471,1.4232548061253493e-09
1437,7,1.0,6.331194285254537e-27
1438,7,1.0,9.677534187361502e-20
1439,2,0.9999995820445257,6.556839122811248e-06
1440,2,0.9992422241513681,0.0062022012910204136
1441,2,0.9999998821772421,1.9975738258444423e-06
1443,4,1.0,2.0158956894534693e-69
1445,7,1.0,2.0286202300479765e-35
1448,7,1.0,4.5210273807154264e-27
1449,4,0.9993557369819985,0.005377715790142271
1451,4,1.0,3.5158204874808043e-25
1452,3,0.9999939108232719,7.929809798402883e-05
1524,7,1.0,5.486236251943661e-56
3000,1,1.0,8.628811004660032e-23
3174,1,1.0,1.9294969998282325e-12
3186,1,1.0,8.743123763589252e-17
3187,1,0.9999791645929328,0.00024541705697402245
3188,1,1.0,1.0145499313342144e-24
3191,1,1.0,1.3223460160444258e-25
500,1,0.9999954348758885,6.070274348090187e-05
501,5,1.0,2.3783748536564653e-39
502,5,1.0,2.066078747571761e-50
503,2,1.0,4.6665688364088355e-27
504,6,1.0,3.113690564958597e-233
505,1,1.0,8.926844181589782e-15
506,3,1.0,1.9964156603970365e-50
507,0,0.9998552819091183,0.0014241201617755527
508,1,0.9999998676798983,2.228013019711304e-06
509,1,1.0,3.1018058896631276e-28
510,1,1.0,3.1651967278928566e-28
511,5,0.9999369008373353,0.0006733167776604327
512,1,0.9999999980186658,4.168622040644993e-08
513,5,1.0,4.330995484202868e-78
5131,1,1.0,6.851976445646149e-34
514,1,1.0,2.1110977278443814e-18
515,3,0.99999999845204,3.2948214459858886e-08
5150,1,1.0,3.3348692221602556e-24
516,1,0.9999999959586603,8.214449429171088e-08
517,2,1.0,1.9860458447005994e-36
518,7,0.9586302928273522,0.17227298522651216
519,1,0.9999999982669578,3.6693208067925686e-08
520,2,1.0,7.648027970793908e-31
521,5,1.0,4.3397961590664516e-43
522,1,0.9999999999863576,3.5317507121499894e-10
523,6,1.0,8.465450580397164e-23
524,0,0.9999999999990905,2.9722529950124785e-11
525,2,1.0,1.2671163299813338e-20
526,1,1.0,5.9879200187845995e-21
527,1,1.0,4.2676302967986306e-38
528,2,1.0,3.4375638391605803e-19
529,1,1.0,2.9610059128484833e-43
530,1,0.9998293217416143,0.0016514222291287197
5301,7,0.9999999999563443,1.0841549039698963e-09
531,1,0.9999999999995453,7.74292614527667e-12
532,1,1.0,3.2515924784611675e-16
533,7,1.0,6.304896106122003e-104
534,2,1.0,9.247833246389367e-15
5345,2,1.0,9.491275727169414e-18
535,4,1.0,6.318149769889817e-79
5356,3,1.0,3.0501423685002646e-16
536,5,1.0,1.1457574351205588e-88
5362,1,1.0,9.469062724811238e-21
537,1,1.0,1.2189328056312877e-27
5372,7,1.0,5.2866202346687055e-21
5376,1,1.0,3.409595925446745e-17
5378,1,0.9999999999986358,4.0609013584060554e-11
538,6,0.9999999999754436,6.245218748488483e-10
539,3,1.0,8.430006700530597e-37
5397,1,1.0,2.0280313296426618e-13
540,4,1.0,6.895591896016541e-74
5404,1,1.0,5.789239158815084e-46
541,5,1.0,2.743281898693763e-96
5411,7,1.0,4.9694137872889124e-18
5418,1,1.0,1.4281353778840663e-27
542,0,1.0,3.035382287568575e-59
5421,5,0.9999999998826752,2.8041756844649252e-09
5423,4,0.9999999049769076,1.6314660524783642e-06
5424,1,1.0,7.550764604566543e-27
543,3,1.0,6.974991542033976e-72
5437,1,1.0,5.255913846654241e-29
544,3,1.0,5.869635791994692e-56
545,1,1.0,1.1214749316386644e-15
546,3,1.0,9.478332263304486e-42
547,4,1.0,9.48545319503134e-76
548,4,1.0,5.443268952216998e-23
549,1,1.0,1.893280349719948e-39
550,1,0.9988607038518601,0.008860049526063219
551,1,1.0,2.598200424784697e-21
552,1,1.0,1.4704729411117333e-38
553,0,1.0,4.322418599718461e-155
554,3,1.0,3.135978753476758e-46
555,7,0.9969058894507639,0.020967877968283647
556,1,0.9849934821798877,0.07790978238747617
557,3,0.997110913967478,0.019776860376216437
558,1,1.0,3.852174249692909e-12
559,6,1.0,2.110132883425569e-28
5595,7,0.9969609629462222,0.020649827449640324
560,1,1.0,5.897332817863897e-15
561,1,1.0,7.317438356515778e-20
562,2,1.0,1.401741211148077e-44
563,1,1.0,6.147555280349398e-16
564,1,0.9993312252338873,0.005557336910948657
565,1,1.0,1.2906472760069283e-42
566,1,0.9999999914798536,1.6683095138408879e-07
567,1,1.0,9.85681850884739e-35
568,1,1.0,1.5733441633171568e-38
569,2,1.0,2.4049813401245197e-26
570,2,1.0,3.4198211849975e-42
571,3,1.0,1.5242462580540537e-22
572,1,0.9999999981723704,3.860376981100422e-08
573,6,1.0,3.398821242871015e-138
574,7,1.0,2.785424131561878e-18
575,7,0.9999989365611525,1.5689978465410076e-05
576,3,0.9999999999809006,4.876753870760281e-10
577,5,1.0,8.714033490972337e-65
578,1,1.0,2.3309912683694403e-42
579,2,0.9999942441401921,7.520197404720912e-05
580,2,1.0,3.8946310305148333e-23
581,7,0.947758023957074,0.20506442772065903
582,1,1.0,5.1439640088984e-31
583,2,1.0,4.450819710780746e-44
584,1,0.9999999998640305,3.22948360401959e-09
585,2,0.9999999999990905,2.1206574213588755e-11
586,5,1.0,1.6797621275750573e-36
587,3,1.0,2.6125277940869873e-68
588,5,1.0,1.3184266548233925e-44
589,1,1.0,1.4958517507422541e-15
590,0,1.0,2.910602535467228e-16
591,5,1.0,9.878401711438121e-49
592,1,0.999999999994543,1.4789534884118964e-10
593,4,1.0,2.6185176466719463e-22
594,2,1.0,1.3466767622607752e-18
595,1,1.0,6.868386391060177e-18
596,1,0.9999998885218764,1.8961988271718393e-06
597,1,0.9997473732987271,0.002345252738156605
598,1,1.0,3.0700041100859133e-25
599,7,1.0,2.5413801877147902e-46
601,1,1.0,1.2189999469194973e-19
602,1,1.0,7.446654259681976e-40
603,4,1.0,1.4401776075190834e-44
