K,BIC,silhouette,calinski_harabasz,davies_bouldin,ARI,ARI_sd,sizes
2,-1886125.7982855956,0.30118860387067525,65.75436316190763,2.0048201090116953,0.8203418405007975,0.11985880712822136,"[333, 70]"
3,-1895086.8120460962,0.15343592454477067,61.96039145476767,2.02937804541095,0.585625025894148,0.18965456280780446,"[247, 99, 57]"
4,-1898039.239428613,0.11552564762170262,51.79523694440703,2.1043625984856313,0.4882925551001846,0.1769007562674794,"[158, 147, 80, 18]"
5,-1899714.2933389144,0.10405473997554655,44.842920768929865,2.1786378879731774,0.5238228014372123,0.15219613155347853,"[167, 90, 89, 31, 26]"
6,-1898930.0050494967,0.10787266668839006,43.42501630907491,2.073253303738224,0.48300526484642026,0.11588864900732593,"[158, 71, 69, 63, 28, 14]"
7,-1897934.0863003617,0.12166027736536414,46.640028329136605,1.935045795317565,0.4586310457242857,0.11230884352590517,"[155, 83, 53, 37, 28, 27, 20]"
8,-1897153.6161180574,0.10828208650469422,43.0825803671034,2.008208463771224,0.49142729626573256,0.14004422682963763,"[147, 75, 53, 34, 27, 24, 23, 20]"
9,-1895781.392728824,0.09868454717959986,38.65987225767785,2.1769499369550207,0.4426759065727966,0.06904757308037522,"[111, 106, 57, 33, 26, 24, 21, 14, 11]"
10,-1893674.628776862,0.1005556051513691,37.614246174099286,1.9704398805048196,0.5066616427132191,0.08697625020571242,"[107, 73, 57, 52, 29, 21, 19, 18, 15, 12]"
11,-1891315.2704790425,0.10296080092633016,38.150663010896196,1.8574845500504422,0.4233826307711298,0.073188492935758,"[110, 68, 58, 44, 26, 25, 22, 20, 13, 13, 4]"
12,-1888528.2512673817,0.07885251318691167,34.76089400333426,2.058911096473555,0.4157245573363175,0.05257301720284173,"[87, 87, 46, 44, 27, 22, 22, 20, 16, 14, 14, 4]"
