lsoa21cd,cluster,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,lnc_grp,imd_score,imd_decile,income_score,employment_score,population_2022,n_source_lsoa11,imd_decile_int,cluster_type,cluster_display
E01000001,1,2639.39277,7.878682961589385,0.320382331728521,0.1124153757532646,0.0603358476275586,0.1882062253014808,0.5947770645526193,1,8.742,8,0.013,0.014,1795,1,8,High activity / full-night,C1: High activity / full-night
E01000005,1,12380.10901,9.423927123001912,-0.0272503311342005,0.1544194019984643,0.0886642734012565,0.3008541196971855,0.8320712320605262,1,19.884,5,0.211,0.104,1737,1,5,High activity / full-night,C1: High activity / full-night
E01000008,0,422.68066,6.048980011086831,-0.427029142994146,0.1014654420195142,0.0833722555463029,0.1694363037722237,0.7226510358413684,4,40.726,2,0.51,0.192,1761,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01000009,1,31483.76693,10.35725911832279,0.1101123235255762,0.1749424734418207,0.1130136329591993,0.3238136265809915,0.8435401156707157,2,39.153,2,0.403,0.176,1859,1,2,High activity / full-night,C1: High activity / full-night
E01000011,3,440.40113,6.089954053855608,-0.1504033152685144,0.0403988291310696,0.0195757899167969,0.0658914411444778,0.9209520651246086,4,36.767,2,0.421,0.148,1719,1,2,Medium activity / continuing,C3: Medium activity / continuing
E01000013,2,7928.70168,8.978370694753558,0.1427430423892553,0.1019046462598148,0.0760602560594763,0.1603142748251162,0.62736593339491,4,31.914,3,0.387,0.178,1869,1,3,Partial-night transition,C2: Partial-night transition
E01000017,2,1630.97699,7.397547436159951,-0.2423387039936106,0.1151156093256717,0.0918488555745964,0.1798982385513435,0.7040244883285122,5,31.808,3,0.4,0.191,1724,1,3,Partial-night transition,C2: Partial-night transition
E01000019,0,211.85787,5.360624665985739,-0.0723401495540383,0.1519321892549943,0.1334373842236779,0.2517870622497326,0.6244638361767207,5,30.661,3,0.414,0.184,1646,1,3,Low activity / early-stop,C0: Low activity / early-stop
E01000021,0,529.83531,6.274451822476142,-0.1330695570289568,0.0433440157093342,0.0319960555290284,0.0649527374813932,0.7123112782739375,5,37.877,2,0.458,0.189,1696,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01000024,1,2780.44804,7.930726948772826,-0.2188300702788893,0.1658489902943843,0.1243095591169544,0.2797755995042123,0.7822902396376608,5,29.683,3,0.371,0.171,1506,1,3,High activity / full-night,C1: High activity / full-night
E01000027,2,1813.19829,7.503398935616184,-0.252216700469092,0.0793942067968749,0.055171891872896,0.1250851221304679,0.7498000848723412,7,33.245,3,0.402,0.207,2093,1,3,Partial-night transition,C2: Partial-night transition
E01000029,2,1086.15141,6.991316169049366,-0.3192754958537502,0.1580350938365029,0.1235047146879825,0.2643308845966121,0.6829424848806501,5,19.077,5,0.196,0.106,1938,1,5,Partial-night transition,C2: Partial-night transition
E01000030,2,586.74213,6.376288297283743,-0.4218128157935412,0.1171968510255093,0.0841396372883604,0.1989987831336636,0.7027540002484461,6,34.554,2,0.419,0.204,2545,1,2,Partial-night transition,C2: Partial-night transition
E01000031,0,326.12029,5.790327962580816,-0.1976459361053555,0.0777053767491743,0.057361349703203,0.1160921005668843,0.6139837837826759,5,21.003,5,0.246,0.119,1820,1,5,Low activity / early-stop,C0: Low activity / early-stop
E01000032,3,1031.2933,6.939538111089153,0.040278667572067,0.0927339390258813,0.0591179929123945,0.1292799357757693,0.7385013059290311,4,26.712,3,0.321,0.137,2073,1,3,Medium activity / continuing,C3: Medium activity / continuing
E01000034,2,935.89282,6.842568889356425,-0.2030345953503522,0.13211560913567,0.1027658701345737,0.2039847100120775,0.5433045497679931,6,28.583,3,0.337,0.187,1644,1,3,Partial-night transition,C2: Partial-night transition
E01000035,2,1559.36796,7.352676944225077,-0.1097453355396631,0.0764693151704874,0.0586127920699358,0.113170037640366,0.7352094295705613,5,29.504,3,0.339,0.166,1862,1,3,Partial-night transition,C2: Partial-night transition
E01000036,0,1377.68542,7.228885729942148,-0.0008640724382494,0.1067776488481673,0.0998842827268942,0.1661042031510294,0.6214403761033528,5,25.385,4,0.304,0.146,1436,1,4,Low activity / early-stop,C0: Low activity / early-stop
E01000038,2,119.95133,4.795388233275032,-0.1830885076472265,0.1109603369966802,0.0788468122862831,0.1598549926040655,0.7064278204098973,5,17.612,5,0.227,0.126,1653,1,5,Partial-night transition,C2: Partial-night transition
E01000040,0,917.44285,6.822679681706853,-0.2781823521759421,0.0728679612032509,0.0557642582314527,0.113447768203375,0.8222119327469158,5,37.802,2,0.46,0.204,1842,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01000041,0,457.29978,6.127523511480051,-0.3572667364939471,0.0872633264769993,0.0609384942192624,0.1404178879697105,0.9215949737500636,5,26.175,4,0.368,0.14,1797,1,4,Low activity / early-stop,C0: Low activity / early-stop
E01000042,0,501.4594,6.219514840649156,-0.2171566431898574,0.0657785655229516,0.0461794115336156,0.1014960267342911,0.7826699989968017,5,39.355,2,0.51,0.217,1899,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01000043,0,232.72266,5.454135198761297,-0.0710885652475784,0.051056437735801,0.0242146596296209,0.0730083816543705,0.7356465513579638,6,27.454,3,0.301,0.131,1568,1,3,Low activity / early-stop,C0: Low activity / early-stop
E01000045,0,1363.51447,7.218553944709241,-0.0699740502203837,0.097583159495183,0.078318567458987,0.1500576694855888,0.7251197046503596,5,34.446,2,0.392,0.196,1688,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01000049,0,172.56324999999998,5.156542086267621,0.1984155374913257,0.0951918789197584,0.0920605053509365,0.1337226279273718,0.8249869277482634,5,36.991,2,0.329,0.183,1707,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01000050,1,2528.45067,7.8357574316639855,-0.1071560435070698,0.0925635974539301,0.0702188546158189,0.1468758980395401,0.740709887545181,4,30.806,3,0.388,0.146,1861,1,3,High activity / full-night,C1: High activity / full-night
E01000052,3,1066.69421,6.97325665829796,-0.328817918679806,0.1333910587177556,0.091949978804141,0.2271072420135405,0.7129743014528708,4,34.895,2,0.411,0.169,2444,1,2,Medium activity / continuing,C3: Medium activity / continuing
E01000057,0,383.26941,5.951343895131205,-0.0321468650472262,0.0700046215532828,0.0587898209773641,0.1004680924313205,0.8775157753060464,4,28.873,3,0.348,0.162,1610,1,3,Low activity / early-stop,C0: Low activity / early-stop
E01000058,0,332.64933,5.810090531255288,-0.1770521227263556,0.097398212105222,0.072494659766788,0.1512074493147759,0.7573483303748828,5,29.526,3,0.376,0.171,2164,1,3,Low activity / early-stop,C0: Low activity / early-stop
E01000060,1,4320.63502,8.37138908648571,-0.152854688475862,0.142166079096401,0.1080409888451999,0.2252440380076483,0.7603715947671719,5,32.786,3,0.407,0.186,2180,1,3,High activity / full-night,C1: High activity / full-night
E01000061,1,1594.3102,7.374823479068246,-0.0964642263469179,0.1675627490810759,0.1330208512747394,0.2711409303060925,0.7564434774041242,6,55.406,1,0.69,0.29,1960,1,1,High activity / full-night,C1: High activity / full-night
E01000062,2,262.85855,5.575413164102094,-0.3762372195996668,0.1517147150054659,0.108391756707172,0.2425881505181857,0.5908270179332188,4,26.18,4,0.356,0.15,2208,1,4,Partial-night transition,C2: Partial-night transition
E01000063,3,300.84599000000003,5.709916920410114,0.4988068812218504,0.4058822256530658,0.3183486008904423,0.9418806861530828,0.9082569567463452,5,25.377,4,0.326,0.147,1739,1,4,Medium activity / continuing,C3: Medium activity / continuing
E01000064,2,846.65155,6.742469643327201,-0.1172176322124491,0.0953948882512528,0.0730122917745795,0.1458375958558593,0.7260532323201898,3,31.351,3,0.385,0.178,2291,1,3,Partial-night transition,C2: Partial-night transition
E01000065,0,387.33546,5.961869553711546,-0.3022100274526891,0.1310530928410221,0.1210117452195056,0.1968047016469768,0.5042993976725827,5,35.962,2,0.471,0.213,1967,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01000067,1,932.78253,6.839243573858939,-0.1607772070945625,0.1015659030406583,0.059534509077909,0.1593469759296483,0.88066975519355,3,24.431,4,0.31,0.133,2237,1,4,High activity / full-night,C1: High activity / full-night
E01000068,3,356.51837,5.879186745429303,-0.0121024058311497,0.1203655228200443,0.0733462065362859,0.1930864791247572,0.9576064040777188,5,23.118,4,0.269,0.127,1760,1,4,Medium activity / continuing,C3: Medium activity / continuing
