,imd_education,imd_health,deprived_1plus_share,private_rented_share,social_rented_share,no_car_household_share,age_20_34_share,accom_food_share,transport_storage_share,admin_support_share,wholesale_retail_share,health_social_share,manufacturing_share,asian_share,black_share,dependent_children_share,unemployed_share,log1p_poi_count,shannon_group,population_density
imd_education,1.0,0.6152593442668914,0.890345739544565,-0.08986422044530509,0.5262534327429805,0.1252216124296237,0.039046565478067646,0.5682164414489647,0.7479429894763333,0.7094475718299906,0.7291193485829177,0.3616050395162652,0.03788331299880194,0.2918113928053159,0.5694009350629623,0.4800925138951226,0.5873665076074698,-0.10484618563308848,-0.023591876953583096,0.138785133813425
imd_health,0.6152593442668914,1.0,0.6705621096457755,-0.026328816444411103,0.8151642164371873,0.5506609524834839,0.37767308161799173,0.48732213467364033,0.3289694566078388,0.4157267502979039,0.2816930501999448,0.3675249682601249,-0.20115364442141737,-0.016318855884042825,0.7082300432931178,0.029184952247834125,0.6387813583313262,-0.05965559347039131,0.06126278164043068,0.3552338216928186
deprived_1plus_share,0.890345739544565,0.6705621096457755,1.0,-0.09014633438038606,0.6261633955516731,0.23473759918496087,0.06435813831553909,0.6215837721724202,0.6994531153034335,0.6889660650151006,0.6861435128536415,0.3999889531774201,-0.020827877102508288,0.27800924718997694,0.6051581422373696,0.41154350438552545,0.6790336013304514,-0.11384783056687148,0.0050745668652398684,0.20868871103474038
private_rented_share,-0.08986422044530509,-0.026328816444411103,-0.09014633438038606,1.0,-0.1301808573490686,0.5405844904128896,0.6248571837157608,0.32650326201208574,-0.25585417718257775,-0.008130151908172019,-0.12354060791605903,-0.3721709376693086,-0.02980039336764901,0.22034925043598938,-0.08243930070979828,-0.3267666656439218,0.11773168324180117,0.3851374898626239,0.08097014300329848,0.3535502929264117
social_rented_share,0.5262534327429805,0.8151642164371873,0.6261633955516731,-0.1301808573490686,1.0,0.5953595027795769,0.3706500883322552,0.45537385144717274,0.2468200860437548,0.3600815265959974,0.19186996053154012,0.3824960403313715,-0.2554364826155409,-0.10445633046284317,0.6961329631242347,-0.009798856578314022,0.6407746537008507,-0.09016570806633048,0.109284750072416,0.3726912633160808
no_car_household_share,0.1252216124296237,0.5506609524834839,0.23473759918496087,0.5405844904128896,0.5953595027795769,1.0,0.8155573020234655,0.48054362783194315,-0.24331625603644869,0.08155648984360261,-0.1738898832951134,-0.06262674812276083,-0.3269267960418205,-0.06158823209066339,0.406956795664652,-0.4960370513766672,0.46824000325066456,0.21801986868124745,0.15210732539416164,0.6332678864345368
age_20_34_share,0.039046565478067646,0.37767308161799173,0.06435813831553909,0.6248571837157608,0.3706500883322552,0.8155573020234655,1.0,0.41395343334290075,-0.23583193625958748,0.025631094691783023,-0.15783034643357838,-0.18684740951347775,-0.22696911967339337,0.07416091701599947,0.25414696807447623,-0.49947700923379473,0.33939334190607,0.2425665128561964,0.11973418544862137,0.5460383886620801
accom_food_share,0.5682164414489647,0.48732213467364033,0.6215837721724202,0.32650326201208574,0.45537385144717274,0.48054362783194315,0.41395343334290075,1.0,0.3486901518151048,0.5199635084031847,0.3911873894089258,0.11958828217288563,-0.13975006176360738,0.3050364326907772,0.4501011309440917,0.11312099857206152,0.6036416981586342,0.09375479924556045,0.08655487358072869,0.3465292950242146
transport_storage_share,0.7479429894763333,0.3289694566078388,0.6994531153034335,-0.25585417718257775,0.2468200860437548,-0.24331625603644869,-0.23583193625958748,0.3486901518151048,1.0,0.6051835798185973,0.7331364891830243,0.34052293049943666,0.18026980706702736,0.4234419094689342,0.37298889790988377,0.634743619692813,0.39638225232271934,-0.17330832117390133,-0.0850024447708027,-0.07976507086618047
admin_support_share,0.7094475718299906,0.4157267502979039,0.6889660650151006,-0.008130151908172019,0.3600815265959974,0.08155648984360261,0.025631094691783023,0.5199635084031847,0.6051835798185973,1.0,0.5357271507601823,0.34373786868825135,-0.03418608894725471,0.21782855919886496,0.5512534308059942,0.44128108644630104,0.5343523425134102,-0.10622358169603513,-0.04240557586291916,0.12321152906312016
