cluster_name,variable,n,median,mean,vs_overall_median
C0 outer arrival-oriented,imd_education,75,12.603666666666667,14.567154777128495,0.646466666666667
C1 central departure-oriented,imd_education,26,9.801166666666667,11.162530311543659,-2.1560333333333332
"C2 central interchange, direction-balanced",imd_education,90,11.0845625,12.006312098096469,-0.8726374999999997
"C3 late-night, extended-duration persistent",imd_education,31,15.194090909090914,16.12005466209301,3.2368909090909135
C4 inner-middle ring mixed,imd_education,167,12.32092857142857,13.34734236032985,0.3637285714285703
C0 outer arrival-oriented,imd_health,75,-0.5568571428571428,-0.5051492988449211,-0.46496825396825403
C1 central departure-oriented,imd_health,26,-0.023475000000000003,-0.095602416041726,0.0684138888888888
"C2 central interchange, direction-balanced",imd_health,90,0.0439487179487179,-0.11108484009456188,0.1358376068376067
"C3 late-night, extended-duration persistent",imd_health,31,0.2472222222222223,0.20197846024475757,0.3391111111111111
C4 inner-middle ring mixed,imd_health,167,-0.147125,-0.24006886506280914,-0.05523611111111121
C0 outer arrival-oriented,deprived_1plus_share,75,0.5049014729932759,0.5124191190199097,-0.005953184567602965
C1 central departure-oriented,deprived_1plus_share,26,0.47566799945650856,0.47115232328697587,-0.03518665810437033
"C2 central interchange, direction-balanced",deprived_1plus_share,90,0.5098115966685804,0.4990140187102693,-0.001043060892298442
"C3 late-night, extended-duration persistent",deprived_1plus_share,31,0.5418003227593012,0.5345394077149851,0.030945665198422345
C4 inner-middle ring mixed,deprived_1plus_share,167,0.5181282085540998,0.517882782836659,0.007273550993220912
C0 outer arrival-oriented,social_rented_share,75,0.1354462768852927,0.16509954753278003,-0.10412145281670279
C1 central departure-oriented,social_rented_share,26,0.2440202623330474,0.24785255098918177,0.004452532631051914
"C2 central interchange, direction-balanced",social_rented_share,90,0.2915004857763579,0.29237801993934454,0.0519327560743624
"C3 late-night, extended-duration persistent",social_rented_share,31,0.3508966845523104,0.3418890218991486,0.11132895485031488
C4 inner-middle ring mixed,social_rented_share,167,0.2189887228904259,0.2417677629177848,-0.0205790068115696
C0 outer arrival-oriented,no_car_household_share,75,0.2778335039820955,0.3010700705732278,-0.26188857720965397
C1 central departure-oriented,no_car_household_share,26,0.7492431076674972,0.6856490168884234,0.20952102647574777
"C2 central interchange, direction-balanced",no_car_household_share,90,0.6384385037580698,0.6177802171041809,0.0987164225663203
"C3 late-night, extended-duration persistent",no_car_household_share,31,0.6236910051601644,0.5966415718004681,0.08396892396841493
C4 inner-middle ring mixed,no_car_household_share,167,0.5201465346201879,0.48345448631470617,-0.019575546571561575
C0 outer arrival-oriented,age_20_34_share,75,0.211389343186462,0.21011338383810055,-0.06986264955049129
C1 central departure-oriented,age_20_34_share,26,0.3748825471648163,0.3721391314159241,0.093630554427863
"C2 central interchange, direction-balanced",age_20_34_share,90,0.32514036797329066,0.328182145449443,0.043888375236337374
"C3 late-night, extended-duration persistent",age_20_34_share,31,0.3390234788648712,0.3508946225569181,0.05777148612791794
C4 inner-middle ring mixed,age_20_34_share,167,0.2721740704627754,0.2817342126216065,-0.009077922274177863
C0 outer arrival-oriented,dependent_children_share,75,0.3433307576746309,0.3517900300658772,0.06046161846750048
C1 central departure-oriented,dependent_children_share,26,0.11770679632031206,0.15488043247813796,-0.16516234288681836
"C2 central interchange, direction-balanced",dependent_children_share,90,0.2187500677380511,0.2295860754607328,-0.0641190714690793
"C3 late-night, extended-duration persistent",dependent_children_share,31,0.2589354109822601,0.27412425589724715,-0.023933728224870332
C4 inner-middle ring mixed,dependent_children_share,167,0.2905858899473229,0.2961456307832828,0.007716750740192457
C0 outer arrival-oriented,private_rented_share,75,0.2671761744030703,0.26135779429798917,-0.0804328582607593
C1 central departure-oriented,private_rented_share,26,0.47078231771365114,0.46959384179119373,0.12317328504982156
"C2 central interchange, direction-balanced",private_rented_share,90,0.3748546639387458,0.3902000780453074,0.027245631274916193
"C3 late-night, extended-duration persistent",private_rented_share,31,0.3425846153197527,0.35698763562764796,-0.005024417344076881
C4 inner-middle ring mixed,private_rented_share,167,0.3526948265265968,0.35213243507871256,0.005085793862767196
C0 outer arrival-oriented,asian_share,75,0.1928546301803889,0.22978046410405498,0.014376128173180402
C1 central departure-oriented,asian_share,26,0.2101885336697561,0.22524709634431803,0.0317100316625476
"C2 central interchange, direction-balanced",asian_share,90,0.15384454428811628,0.19093331396951388,-0.024633957719092214
"C3 late-night, extended-duration persistent",asian_share,31,0.2648543259537365,0.2739437172035758,0.08637582394652799
C4 inner-middle ring mixed,asian_share,167,0.1666012147827212,0.2262153565210475,-0.011877287224487304
C0 outer arrival-oriented,black_share,75,0.087160212326886,0.11966029716002752,-0.0104855197655538
C1 central departure-oriented,black_share,26,0.0561458257599411,0.06664122232123847,-0.041499906332498705
"C2 central interchange, direction-balanced",black_share,90,0.11320534861533815,0.11699816776550538,0.015559616522898348
"C3 late-night, extended-duration persistent",black_share,31,0.1355702203395858,0.14655658630948942,0.03792448824714599
C4 inner-middle ring mixed,black_share,167,0.1011014902567968,0.127861552461452,0.0034557581643569896
C0 outer arrival-oriented,unemployed_share,75,0.0361996503768137,0.03787789319687354,-0.005685903098018703
C1 central departure-oriented,unemployed_share,26,0.0356515351805369,0.036180555993780436,-0.006234018294295499
"C2 central interchange, direction-balanced",unemployed_share,90,0.0418998228434345,0.040567791462024064,1.4269368602097543e-05
"C3 late-night, extended-duration persistent",unemployed_share,31,0.0487896583107883,0.0477040614936254,0.006904104835955896
C4 inner-middle ring mixed,unemployed_share,167,0.0433937306686185,0.04270046934698065,0.0015081771937860977
C0 outer arrival-oriented,accom_food_share,75,0.0452788937478,0.04628310148772772,-0.0117230820648681
C1 central departure-oriented,accom_food_share,26,0.06432154986751659,0.06490462721102987,0.007319574054848489
"C2 central interchange, direction-balanced",accom_food_share,90,0.0574219703373969,0.05768859518624401,0.00041999452472879506
"C3 late-night, extended-duration persistent",accom_food_share,31,0.0684159838126376,0.07045334271581963,0.011414007999969493
C4 inner-middle ring mixed,accom_food_share,167,0.0586063466944375,0.060734601328514035,0.0016043708817693944
C0 outer arrival-oriented,transport_storage_share,75,0.0516698127942856,0.051608390943867107,0.013861864881075395
C1 central departure-oriented,transport_storage_share,26,0.022787181256915,0.039729092771968386,-0.015020766656295204
"C2 central interchange, direction-balanced",transport_storage_share,90,0.0299328195507116,0.032174260591318574,-0.007875128362498603
"C3 late-night, extended-duration persistent",transport_storage_share,31,0.0423508167735183,0.0477488429365558,0.004542868860308094
C4 inner-middle ring mixed,transport_storage_share,167,0.0391067096081258,0.043350633739218304,0.0012987616949155997
C0 outer arrival-oriented,admin_support_share,75,0.0565822722928558,0.059490312824059706,0.004542575851834298
C1 central departure-oriented,admin_support_share,26,0.0356468203452339,0.04405278906089722,-0.0163928760957876
"C2 central interchange, direction-balanced",admin_support_share,90,0.048024460500076055,0.04950196971169228,-0.0040152359409454455
"C3 late-night, extended-duration persistent",admin_support_share,31,0.0544380562526911,0.061423213710929,0.0023983598116696023
C4 inner-middle ring mixed,admin_support_share,167,0.0552845819017353,0.05921991161471927,0.0032448854607137964
C0 outer arrival-oriented,wholesale_retail_share,75,0.1220051613432506,0.1266166375495831,0.010003544247036991
C1 central departure-oriented,wholesale_retail_share,26,0.09914110814032295,0.0985920310496558,-0.012860508955890651
"C2 central interchange, direction-balanced",wholesale_retail_share,90,0.10672260455134655,0.10822844490236731,-0.005279012544867054
"C3 late-night, extended-duration persistent",wholesale_retail_share,31,0.1115014933020557,0.11414124552310358,-0.0005001237941579112
C4 inner-middle ring mixed,wholesale_retail_share,167,0.1161974108095055,0.11949395888296888,0.004195793713291901
C0 outer arrival-oriented,health_social_share,75,0.1275645209295827,0.13190508123046704,0.007516169672133408
C1 central departure-oriented,health_social_share,26,0.0930798770403424,0.0934645535788381,-0.026968474217106894
"C2 central interchange, direction-balanced",health_social_share,90,0.11423753726289196,0.11186472848338434,-0.005810813994557337
