,imd_education,imd_health,deprived_1plus_share,private_rented_share,social_rented_share,no_car_household_share,age_20_34_share,accom_food_share,transport_storage_share,admin_support_share,wholesale_retail_share,health_social_share,manufacturing_share,asian_share,black_share,dependent_children_share,unemployed_share,log1p_poi_count,shannon_group,population_density
imd_education,1.0,0.5711545232095397,0.9261262690128961,-0.1553211237910753,0.4483266939012156,-0.02034538637784644,-0.04293610427438628,0.6400140746039632,0.7389089613272531,0.7274331848745303,0.7299745234174786,0.37767458757272,0.011383631015420293,0.3320118345728458,0.5794410889959797,0.5048693359351508,0.7150534861452608,-0.22019218963878107,-0.06251252474624838,0.17688091364239703
imd_health,0.5711545232095397,1.0,0.5951865425258328,-0.04390995107525775,0.888385577281991,0.5682757937401853,0.5202816796319238,0.5655872671314575,0.1794742368900181,0.30012727078873436,0.10596827220577626,0.25756362163371005,-0.43296103450785467,-0.054752941162080355,0.6790861863592542,-0.10959476597607196,0.7497028207716202,-0.03697786994141737,0.21037720713295383,0.5343850280788757
deprived_1plus_share,0.9261262690128961,0.5951865425258328,1.0,-0.22689978103226946,0.48837734127387805,-0.027738834551848016,-0.1026171954394532,0.6595419760181306,0.7036358102448195,0.6914548765628284,0.741832540345737,0.4710627651092525,0.05796681908038446,0.2548434964790046,0.5855025055608344,0.499886551026861,0.7569244136278209,-0.25808336018794625,-0.060950129543845426,0.19646161520758512
private_rented_share,-0.1553211237910753,-0.04390995107525775,-0.22689978103226946,1.0,-0.06724619079528239,0.5501775736353148,0.5723681112366672,0.30119978659769076,-0.4292678779986256,-0.2567118879234231,-0.2787811278805387,-0.5819887472481234,-0.20373295029100222,0.15554985649163586,-0.2192464093349036,-0.5045184901440057,-0.0843603710199338,0.4718320917220209,0.03659335871953722,0.27149898813301315
social_rented_share,0.4483266939012156,0.888385577281991,0.48837734127387805,-0.06724619079528239,1.0,0.6398263180823801,0.5540758149010181,0.5260670676080451,0.040496288801740325,0.20753986156575077,-0.011882888041866647,0.24095420269835274,-0.4836875054660388,-0.18300410026809838,0.6871613476800246,-0.2463018998472873,0.6946534648621111,-0.0034818566361670793,0.29009381506369963,0.618730313341375
no_car_household_share,-0.02034538637784644,0.5682757937401853,-0.027738834551848016,0.5501775736353148,0.6398263180823801,1.0,0.8925847182500358,0.3657405302725283,-0.49760126263712495,-0.31236528571507205,-0.4611090192647161,-0.2844189200677065,-0.6088939917709232,-0.12784628999433062,0.18702058125423396,-0.7695187786081513,0.23283704589067025,0.4145708957497618,0.2934828100851958,0.6360298037485661
age_20_34_share,-0.04293610427438628,0.5202816796319238,-0.1026171954394532,0.5723681112366672,0.5540758149010181,0.8925847182500358,1.0,0.349469113848338,-0.43612313158307286,-0.21167172821010138,-0.4550094805831012,-0.3072887244767841,-0.609224451403373,-0.0425940245314802,0.20228369826935783,-0.7195239668855392,0.20871532747611812,0.33993772329559985,0.1971657531289186,0.6075939664309279
accom_food_share,0.6400140746039632,0.5655872671314575,0.6595419760181306,0.30119978659769076,0.5260670676080451,0.3657405302725283,0.349469113848338,1.0,0.34549177428689726,0.4719259150684088,0.4295628657149456,0.07031695787954594,-0.21749686919567837,0.3040715847730888,0.4338111373254461,0.06937185556243475,0.7120332767345614,0.06943959069456757,0.10323938100283184,0.36221331709507837
transport_storage_share,0.7389089613272531,0.1794742368900181,0.7036358102448195,-0.4292678779986256,0.040496288801740325,-0.49760126263712495,-0.43612313158307286,0.34549177428689726,1.0,0.7307946585817879,0.8324588011022388,0.42627620921009957,0.3320990873320614,0.4818696716951845,0.33406859412360823,0.7796162468714891,0.4705431219241109,-0.31489167729857326,-0.2119991299187469,-0.19391864577194126
admin_support_share,0.7274331848745303,0.30012727078873436,0.6914548765628284,-0.2567118879234231,0.20753986156575077,-0.31236528571507205,-0.21167172821010138,0.4719259150684088,0.7307946585817879,1.0,0.6606289659997606,0.46460483775777534,0.14205197695793256,0.175417187448079,0.6516021787910967,0.6303004777088567,0.6432516004663538,-0.3423633722423157,-0.14774909286690346,-0.02960049856389705
