mode,metric,n,n_clusters,kruskal_H,kruskal_p,epsilon_squared,p_bh
rail,log_total_activity,403,5,90.78631735446493,8.963045741350297e-19,0.218056073754937,8.963045741350297e-19
rail,direction_balance,403,5,256.4900086715634,2.6020524757765888e-54,0.6343970067124708,1.0408209903106355e-53
rail,post_2300_share,403,5,168.16838253551077,2.585524112403455e-35,0.41248337320480094,5.17104822480691e-35
rail,weekend_common_ratio,403,5,115.4730543496571,4.94598857460923e-24,0.2800830511297917,6.594651432812307e-24
bus,log_total_activity,3383,4,2033.5134427354733,0.0,0.6009214095103502,0.0
bus,direction_balance,3383,4,207.6475069902699,9.388512408247089e-45,0.0605645181977715,9.388512408247089e-45
bus,post_2300_share,3383,4,1592.3574106608103,0.0,0.4703632467182037,0.0
bus,deep_night_share,3383,4,1939.7153204864999,0.0,0.5731622730057709,0.0
bus,post_midnight_persistence,3383,4,1928.9675734584844,0.0,0.5699815251430851,0.0
bus,weekend_ratio,3383,4,260.4881872470269,3.5253371206644883e-56,0.07620248216840096,4.230404544797386e-56
