NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2
500,E01001202,1,342.9848155084575,1231702.4429543177
500,E01001231,5,232367.14252641096,1231702.4429543177
500,E01001232,5,1056.5045089920684,1231702.4429543177
500,E01001351,2,106136.62926765755,1231702.4429543177
500,E01001353,2,200381.42462247514,1231702.4429543177
500,E01001354,4,84033.93427162491,1231702.4429543177
500,E01001356,2,32723.20021776009,1231702.4429543177
500,E01001358,2,118648.70203047694,1231702.4429543177
500,E01002562,5,180355.0162671951,1231702.4429543177
500,E01002691,4,275656.9044262163,1231702.4429543177
501,E01000001,1,104883.69882723488,506176.4778921934
501,E01000002,1,21278.675562081997,506176.4778921934
501,E01000003,1,41995.90703347424,506176.4778921934
501,E01002703,1,25828.143662160954,506176.4778921934
501,E01002704,1,10737.37375181898,506176.4778921934
501,E01002706,1,40307.835499168024,506176.4778921934
501,E01002724,1,1728.9817115404253,506176.4778921934
501,E01032740,1,64144.642588073606,506176.4778921934
501,E01033489,1,43605.15004321496,506176.4778921934
501,E01033490,1,151666.06921342536,506176.4778921934
502,E01000005,1,147838.36112763043,290636.5934303945
502,E01004307,1,44227.461783696715,290636.5934303945
502,E01004310,1,20267.71623179638,290636.5934303945
502,E01032739,1,67347.65272089285,290636.5934303945
502,E01032767,2,10955.401566378088,290636.5934303945
503,E01004306,1,44722.75859409632,525377.6255496411
503,E01004307,1,49504.700132680075,525377.6255496411
503,E01004308,2,1435.0955946870358,525377.6255496411
503,E01004309,1,86597.74209721948,525377.6255496411
503,E01004310,1,53359.07815460159,525377.6255496411
503,E01004319,2,45937.768334869346,525377.6255496411
503,E01004321,1,18370.85942136297,525377.6255496411
503,E01032767,2,62003.285146904665,525377.6255496411
503,E01035686,1,11430.391003040797,525377.6255496411
503,E01035687,2,89320.38094167343,525377.6255496411
503,E01035688,2,9690.100835874342,525377.6255496411
503,E01035689,1,53005.46529263105,525377.6255496411
504,E01001846,4,3253.4587454320304,1034454.6119466705
504,E01001849,2,3151.0175364872266,1034454.6119466705
504,E01034213,4,227754.72187028726,1034454.6119466705
504,E01034214,3,15801.198661998684,1034454.6119466705
504,E01034215,2,24614.284424066023,1034454.6119466705
504,E01034216,2,58880.420463600625,1034454.6119466705
504,E01034217,1,373134.2989416714,1034454.6119466705
504,E01034218,4,141461.19306157122,1034454.6119466705
504,E01034219,1,69642.84645255607,1034454.6119466705
504,E01034220,1,86323.81917295938,1034454.6119466705
504,E01034222,4,30434.245310932427,1034454.6119466705
504,E01035657,3,3.107305108089614,1034454.6119466705
505,E01000471,4,78166.08542488539,1805377.1462870128
505,E01000472,4,368006.14122637146,1805377.1462870128
505,E01000473,2,202879.10977541193,1805377.1462870128
505,E01000474,5,27514.541794754732,1805377.1462870128
505,E01000475,4,289016.84336863365,1805377.1462870128
505,E01000476,5,136663.281147395,1805377.1462870128
505,E01000477,6,11538.248287197204,1805377.1462870128
505,E01000478,4,152151.45921724578,1805377.1462870128
505,E01000631,4,84477.61516213289,1805377.1462870128
505,E01000632,4,201907.5515179343,1805377.1462870128
505,E01001308,5,8973.38957153555,1805377.1462870128
505,E01001341,3,39781.071744479515,1805377.1462870128
505,E01001342,4,101970.31622353767,1805377.1462870128
505,E01001345,5,102331.49182549778,1805377.1462870128
507,E01002694,2,36874.21329048786,1744083.0416587521
507,E01002695,1,116357.10253750382,1744083.0416587521
507,E01002696,1,160201.16066859348,1744083.0416587521
507,E01002697,2,40719.282864603665,1744083.0416587521
507,E01002700,4,13167.531370554047,1744083.0416587521
507,E01002702,1,49202.53788884917,1744083.0416587521
507,E01002703,1,40271.224723111445,1744083.0416587521
507,E01002707,2,121934.75755351016,1744083.0416587521
507,E01002723,1,82919.35214718946,1744083.0416587521
507,E01002725,1,23398.316366479256,1744083.0416587521
507,E01002726,1,85393.6694106965,1744083.0416587521
507,E01002727,1,142004.86772720038,1744083.0416587521
507,E01002728,2,62474.8849839344,1744083.0416587521
507,E01002729,2,80798.69933828454,1744083.0416587521
507,E01002793,1,473.8950865934878,1744083.0416587521
507,E01002794,2,143416.1291029368,1744083.0416587521
507,E01002799,2,13399.67919189516,1744083.0416587521
507,E01002800,2,60647.59825168367,1744083.0416587521
507,E01002801,2,106494.05261349656,1744083.0416587521
507,E01002802,1,110745.90906993637,1744083.0416587521
507,E01033489,1,617.1084900439099,1744083.0416587521
507,E01035646,1,11177.478365220613,1744083.0416587521
507,E01035647,1,36227.48226533944,1744083.0416587521
507,E01035649,1,27275.24323780988,1744083.0416587521
507,E01035655,1,132826.33356359927,1744083.0416587521
507,E01035656,1,45064.531549198764,1744083.0416587521
508,E01000907,2,63111.48600432528,1065454.8432195575
508,E01000908,2,125730.04059287807,1065454.8432195575
508,E01000911,3,730.4329336228052,1065454.8432195575
508,E01000913,5,78831.182606349,1065454.8432195575
508,E01002006,2,10209.803466576835,1065454.8432195575
508,E01002009,2,33726.49467040499,1065454.8432195575
508,E01002753,4,3.245408116418736,1065454.8432195575
508,E01002754,2,134827.6138270084,1065454.8432195575
508,E01002757,2,12093.041312268891,1065454.8432195575
508,E01002759,1,58514.90713072293,1065454.8432195575
508,E01002760,2,1241.6175943826634,1065454.8432195575
508,E01002769,2,40528.73590130065,1065454.8432195575
508,E01002770,2,287283.50955918967,1065454.8432195575
508,E01002771,3,91865.81315800735,1065454.8432195575
508,E01002772,2,30130.5473387277,1065454.8432195575
508,E01002773,3,38913.83526921328,1065454.8432195575
508,E01002774,2,57712.53644646263,1065454.8432195575
509,E01000122,5,12580.800699778985,1866175.687405239
509,E01000123,6,101553.75103300829,1866175.687405239
509,E01000124,5,119426.30594018138,1866175.687405239
509,E01000160,4,38581.12711009824,1866175.687405239
509,E01001390,4,11402.468470127495,1866175.687405239
509,E01001392,5,104076.38207685323,1866175.687405239
509,E01001527,4,4890.372404214288,1866175.687405239
509,E01001528,5,204930.58521221176,1866175.687405239
509,E01001529,5,186510.5541748264,1866175.687405239
509,E01001530,5,184794.78214108833,1866175.687405239
509,E01001533,6,216889.59050369082,1866175.687405239
509,E01001534,5,369981.53470742813,1866175.687405239
509,E01001535,5,262129.51930466125,1866175.687405239
509,E01001973,4,48427.91362707054,1866175.687405239
510,E01001720,3,8558.402595582333,1076994.451276804
510,E01002730,3,113047.77560374272,1076994.451276804
510,E01002732,2,124694.97269114193,1076994.451276804
510,E01002733,2,2040.1309491015447,1076994.451276804
510,E01002737,3,3020.4061840833033,1076994.451276804
510,E01002741,2,8055.691764218337,1076994.451276804
510,E01002742,2,62383.33581826605,1076994.451276804
510,E01002743,2,12378.587942055237,1076994.451276804
510,E01002744,1,13360.585702565391,1076994.451276804
510,E01002745,2,63153.49169766115,1076994.451276804
510,E01002747,3,64186.91328225612,1076994.451276804
510,E01002748,2,71755.47046738325,1076994.451276804
510,E01002749,2,76891.4698185126,1076994.451276804
510,E01002751,2,47270.94256060509,1076994.451276804
510,E01002752,3,89577.63093708189,1076994.451276804
510,E01033493,2,30382.828119207006,1076994.451276804
510,E01033494,2,134948.81300831394,1076994.451276804
510,E01035651,3,65193.46474279669,1076994.451276804
510,E01035652,2,9045.159728679397,1076994.451276804
510,E01035653,2,77048.37766355014,1076994.451276804
511,E01004657,1,5259.788501370012,826930.1649370403
511,E01004659,1,4784.6043564715865,826930.1649370403
511,E01004660,1,34327.254555843654,826930.1649370403
511,E01004662,1,47471.5716294591,826930.1649370403
511,E01004712,1,120057.87728243505,826930.1649370403
511,E01004714,1,24628.513455015913,826930.1649370403
511,E01004716,1,5869.0652103761295,826930.1649370403
511,E01004717,1,68660.5422287754,826930.1649370403
511,E01004727,4,515870.94771729346,826930.1649370403
512,E01003157,5,119552.74906062055,1550139.7748050394
512,E01003158,5,12179.90832304935,1550139.7748050394
512,E01003161,3,71.68194420608793,1550139.7748050394
512,E01004472,3,30298.19942824275,1550139.7748050394
512,E01004473,3,76980.63596107751,1550139.7748050394
512,E01004474,2,163424.44367551865,1550139.7748050394
512,E01004475,3,77894.62686820205,1550139.7748050394
512,E01004479,4,1961.3954266238002,1550139.7748050394
512,E01004484,6,152857.65876761367,1550139.7748050394
512,E01004485,3,130219.66136048324,1550139.7748050394
512,E01004486,6,17474.626098456174,1550139.7748050394
512,E01004487,3,39996.57740814105,1550139.7748050394
512,E01004542,4,87875.3334100855,1550139.7748050394
512,E01004543,4,150354.72443356726,1550139.7748050394
512,E01004544,2,92337.26372656466,1550139.7748050394
512,E01004545,2,181512.9729911634,1550139.7748050394
512,E01004546,3,28441.1218295332,1550139.7748050394
512,E01004547,2,7554.390923090861,1550139.7748050394
512,E01004548,2,46314.93069281896,1550139.7748050394
512,E01004550,4,132836.8724759806,1550139.7748050394
513,E01032739,1,270882.80513192236,270882.80513192236
514,E01000006,4,113066.38659019896,1986932.0038579472
514,E01000007,1,210688.7907975006,1986932.0038579472
514,E01000008,4,122424.25003094344,1986932.0038579472
514,E01000009,2,139096.19285066568,1986932.0038579472
514,E01000011,4,93778.13318318417,1986932.0038579472
514,E01000012,4,128049.43883665567,1986932.0038579472
514,E01000044,4,78760.61387099024,1986932.0038579472
514,E01000050,4,108441.26088757216,1986932.0038579472
514,E01000051,3,33475.045612285896,1986932.0038579472
514,E01000068,5,272931.3068105577,1986932.0038579472
514,E01000070,4,810.2292526567726,1986932.0038579472
514,E01003732,5,6820.532468540669,1986932.0038579472
514,E01003734,3,55435.9061231758,1986932.0038579472
514,E01003735,3,74528.87807215628,1986932.0038579472
514,E01003736,4,44187.36849561246,1986932.0038579472
514,E01033587,4,134391.4438295839,1986932.0038579472
514,E01034473,2,136896.15522980288,1986932.0038579472
514,E01034474,1,175899.15043297817,1986932.0038579472
514,E01034479,3,57250.92048288568,1986932.0038579472
515,E01003638,5,266727.3042507487,1622174.0786462468
515,E01003639,5,767121.160340219,1622174.0786462468
515,E01003640,7,131324.20772543,1622174.0786462468
515,E01003641,6,18391.814122864,1622174.0786462468
515,E01003642,5,65193.2188335566,1622174.0786462468
515,E01003643,3,47221.45440291036,1622174.0786462468
515,E01003648,5,29311.24960861224,1622174.0786462468
515,E01003650,5,14679.341287667849,1622174.0786462468
515,E01003701,6,184996.95958685837,1622174.0786462468
515,E01003705,3,15219.879560096757,1622174.0786462468
515,E01003711,4,81987.48892728295,1622174.0786462468
516,E01001866,2,1550.9100170848128,844102.3733596635
516,E01001867,2,52290.19626725953,844102.3733596635
516,E01001869,2,15058.230643086279,844102.3733596635
516,E01001871,2,125492.19162296024,844102.3733596635
516,E01001872,3,19117.445234369745,844102.3733596635
516,E01001886,2,90002.92279499571,844102.3733596635
516,E01001887,2,24474.19821744467,844102.3733596635
516,E01001889,2,174114.811551431,844102.3733596635
516,E01001890,1,61475.19131525419,844102.3733596635
516,E01001891,1,70250.21553917343,844102.3733596635
516,E01001892,3,87588.82952578965,844102.3733596635
516,E01001900,2,7854.415427864429,844102.3733596635
516,E01001908,2,962.7586953994952,844102.3733596635
516,E01001910,2,67203.71582973513,844102.3733596635
516,E01001913,1,46597.06735742127,844102.3733596635
516,E01001914,3,69.27332039392837,844102.3733596635
517,E01002886,1,7863.338299102949,430477.2164614973
517,E01004653,1,11398.044951349613,430477.2164614973
517,E01004654,2,93281.98925203916,430477.2164614973
517,E01004693,3,62697.20018241334,430477.2164614973
517,E01004694,3,6928.297347885096,430477.2164614973
517,E01004695,3,14373.359221563682,430477.2164614973
517,E01004697,2,43367.92391126219,430477.2164614973
517,E01004698,3,80390.82907116742,430477.2164614973
517,E01004699,2,84544.45775232415,430477.2164614973
