NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit,easting,northing,lon,lat,coord_source,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason,imd_score,imd_covered_area_m2,total_catchment_area_m2,imd_coverage_ratio
500,20020.017376020103,9.904537869561045,-0.4042366511243259,0.1748834720400288,0.0478428670795634,0.0856030654478587,0.0439520951913644,0.0754671459637347,0.8606663913080502,high,4,Acton Town,LU,5963.59629824346,14056.421077776648,519477.6064,179592.1471,-0.2800217640856027,51.50264555083834,underground_stations_csv,1231702.4429543123,True,0.1,0.4,0.0,0.2,0.3,0.0,0.0,1231702.4429543177,1.0000000000000044,True,2.0,0.6577149651308424,,26.0409,1231702.4445581383,1231702.4429543123,1.0000000013021213
501,17385.19949178,9.763432037850183,0.2714045770053398,0.0810999149136391,0.0196241072362688,0.0030242846023453,0.0015360510867089,0.0289725246312853,0.5786905917405434,medium,2,Barbican,LU,11051.811102999998,6333.388388780002,532004.2025,181856.329700001,-0.0987999629121527,51.520208600153815,underground_stations_csv,506176.4778921927,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,506176.4778921934,1.000000000000001,True,1.0,-0.0,,14.531400000000001,506176.4785440002,506176.4778921927,1.000000001287708
502,25375.977887714907,10.14159765962032,-0.0347998518544436,0.1050819505156647,0.0252125253540988,0.0011259831342128,0.0006462421717327,0.0379643771206456,0.718626561852749,high,2,Aldgate,LU,12246.448808280393,13129.529079434513,533613.1509,181262.295499999,-0.0758489668880275,51.51449244157986,underground_stations_csv,290636.5934304191,True,0.8,0.2,0.0,0.0,0.0,0.0,0.0,290636.5934303945,0.9999999999999152,True,1.0,0.2571559759740807,,17.865000000000002,290636.593802341,290636.5934304191,1.0000000012796804
503,51676.2732564,10.852773374997954,-0.0244787692085233,0.1258288250729206,0.0357460228481148,0.0055808327194924,0.0033319312816095,0.0567115139724642,0.9715872266803496,high,2,Aldgate East,LU,25205.65084489999,26470.6224115,533936.1921,181374.788000001,-0.07115364166807,51.51542691621208,underground_stations_csv,525377.6255496435,True,0.5833333333333333,0.4166666666666666,0.0,0.0,0.0,0.0,0.0,525377.6255496411,0.9999999999999952,True,1.0,0.3490362935417423,,28.114333333333335,525377.626222553,525377.6255496435,1.000000001280811
504,17004.30055732119,9.7412803719291,-0.1406607616488786,0.2667176403321278,0.1423957912181667,0.0074236059799021,0.0063382406714273,0.2679403579262617,0.8338349816284116,medium,3,Stratford International DLR,DLR,7306.23134481097,9698.069212510216,538214.2,184786.0,-0.008202,51.54505,naptan_rse_tmu,1034454.611946668,True,0.25,0.25,0.1666666666666666,0.3333333333333333,0.0,0.0,0.0,1034454.6119466705,1.0000000000000024,True,4.0,0.6978625686528158,,21.100666666666665,1034454.613269493,1034454.611946668,1.0000000012787655
505,9844.40784943342,9.194760417277964,-0.445756849584725,0.1249462443180076,0.0418735033586676,0.0126601953871513,0.0078973250371204,0.0618501173884954,0.6830609290046609,medium,0,Alperton,LU,2728.0978102214176,7116.310039212001,517996.164,183795.164000001,-0.299949349972513,51.540730963558445,underground_stations_csv,1805377.1462870107,True,0.0,0.0714285714285714,0.0714285714285714,0.5,0.2857142857142857,0.0714285714285714,0.0,1805377.1462870128,1.000000000000001,True,4.0,0.6526602230462952,,25.675285714285714,1805377.1486498213,1805377.1462870107,1.0000000013087629
507,57649.7526291,10.962158580756826,0.1010869824159205,0.1256461478282857,0.0333334412160701,0.0016221041040503,0.0010401452267417,0.0541395500013579,0.9995170764451784,high,1,Angel,LU,31738.6960797,25911.0565494,531560.5615,183099.9257,-0.1047264384023203,51.53148758749647,underground_stations_csv,1744083.0416587647,True,0.6153846153846154,0.3461538461538461,0.0,0.0384615384615384,0.0,0.0,0.0,1744083.041658752,0.9999999999999928,True,1.0,0.4066530798668687,,22.981615384615388,1744083.0439039688,1744083.0416587647,1.0000000012873262
508,29411.10724528071,10.28916167961984,-0.3228278045251127,0.1471867270725261,0.0385168401682111,0.0535156528883775,0.0255376330749552,0.0594346891371752,0.7869622795228649,high,4,Archway,LU,9958.19203231706,19452.91521296366,529363.5176,186721.2423,-0.1350520245238837,51.56453819250787,underground_stations_csv,1065454.843219534,True,0.0588235294117647,0.6470588235294118,0.1764705882352941,0.0588235294117647,0.0588235294117647,0.0,0.0,1065454.8432195575,1.000000000000022,True,2.0,0.5589987254020228,,23.581470588235295,1065454.8445976279,1065454.843219534,1.0000000012934325
509,12838.801213037006,9.460305095273409,-0.5136177944530995,0.1645031480994017,0.0473234208235082,0.0706297407645615,0.0357158069306186,0.0728189197409532,0.8076543921912906,medium,4,Arnos Grove,LU,3122.28222528758,9716.51898774942,529355.1742,192497.914799999,-0.1330451742909319,51.61645247794506,underground_stations_csv,1866175.6874052533,True,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.1428571428571428,0.0,1866175.687405239,0.9999999999999925,True,5.0,0.4911325898456826,,18.656928571428573,1866175.6898265174,1866175.6874052533,1.000000001297447
510,9476.03758149126,9.15662705500958,-0.4114243059201732,0.1591433835651731,0.0416753791554409,0.0589532698304804,0.0281155675435195,0.0658047065624402,0.7795247513301725,medium,4,Arsenal,LU,2788.682698326369,6687.3548831648895,531305.0253,186112.096899999,-0.1072853032769284,51.55861585603557,underground_stations_csv,1076994.4512768188,True,0.05,0.65,0.3,0.0,0.0,0.0,0.0,1076994.451276804,0.9999999999999865,True,2.0,0.4064870882242834,,24.179650000000002,1076994.4526635292,1076994.4512768188,1.0000000012875743
511,75030.76102672385,11.225666783232269,0.3622115629022567,0.1172525856390728,0.0309190431703475,0.0285076311505231,0.0136539997478299,0.045736296897985,0.7351039335757854,high,2,Baker Street,LU,51103.88512197959,23926.87590474425,527954.6729,182063.567500001,-0.1570581597729946,51.5230020037108,underground_stations_csv,826930.1649370067,True,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,826930.1649370403,1.0000000000000406,True,1.0,0.1792642358191001,,11.538,826930.1660052012,826930.1649370067,1.0000000012917591
512,45341.09165817992,10.721991055731888,-0.2734990845390407,0.1570646322691073,0.0422643080748414,0.0675715701991157,0.0342980506863984,0.0639307447376751,0.8330448818161511,high,4,Balham LU,LU,16470.17229883347,28870.91935934644,528480.3274,173244.480799999,-0.1526912294756308,51.44362737290878,underground_stations_csv,1550139.7748050364,True,0.0,0.25,0.35,0.2,0.1,0.1,0.0,1550139.7748050394,1.000000000000002,True,3.0,0.7690056684614182,,10.018550000000001,1550139.7767946348,1550139.7748050364,1.0000000012834962
513,123963.74310258112,11.727752474339892,0.4748658002295345,0.1046785428325625,0.0316963767675859,0.019706374035511,0.0079869830706521,0.0445810634212127,0.3688743472512699,high,1,Bank and Monument,"DLR,LU",91414.94258521836,32548.80051736275,532710.1551,181119.8978,-0.088908087271181,51.513425435909184,underground_stations_csv,270882.8051319224,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,270882.8051319224,1.0,True,1.0,-0.0,,9.682,270882.8054792592,270882.80513192236,1.00000000128224
514,69390.79412222424,11.147523899190189,-0.457024645922826,0.1338571657874689,0.0434653215271612,0.0171419569191642,0.0128497330856328,0.0668130160098733,0.7932289796292948,high,4,Barking,"LO,LU",18838.745504105504,50552.048618118766,544358.8052,184382.179,0.080182080144555,51.539885097485445,underground_stations_csv,1986932.0038579528,True,0.1052631578947368,0.1052631578947368,0.2105263157894736,0.4736842105263157,0.1052631578947368,0.0,0.0,1986932.0038579472,0.9999999999999972,True,4.0,0.7158132983668966,,34.76363157894737,1986932.0063780213,1986932.0038579528,1.0000000012683214
515,4761.8924933707785,8.468610429345366,-0.6985312262106093,0.1483273423941771,0.0511553079372187,0.0618815726544248,0.0320571746112488,0.0745695305382272,0.6336395767575607,low,0,Barkingside,LU,717.7809454466961,4044.111547924081,544798.7557,189493.9487,0.0886252042343672,51.58570377518845,underground_stations_csv,1622174.0786462568,True,0.0,0.0,0.1818181818181818,0.0909090909090909,0.4545454545454546,0.1818181818181818,0.0909090909090909,1622174.0786462468,0.9999999999999938,True,5.0,0.7267956672158284,,16.23,1622174.0807103144,1622174.0786462568,1.000000001272402
516,20384.784287502065,9.922593088268572,-0.2735829559955752,0.1646991827852925,0.0425489722815002,0.089181449875139,0.0423661674967574,0.0663516325465069,0.703028114888279,high,4,Barons Court,LU,7403.927372397547,12980.856915104529,524045.7583,178327.6646,-0.2146840501234848,51.49029837209941,underground_stations_csv,844102.373359655,True,0.1875,0.625,0.1875,0.0,0.0,0.0,0.0,844102.3733596635,1.00000000000001,True,2.0,0.47355394662766,,18.41525,844102.3744530217,844102.373359655,1.000000001295301
517,16717.59432058,9.72427681136882,-0.2099597253714326,0.1211060855046372,0.0298721246737787,0.0012841002358597,0.0007907265407036,0.0477249651912303,1.1123525396319067,medium,2,Bayswater,LU,6603.786404080001,10113.8079165,525842.957,180822.646199999,-0.1879225224209527,51.51232394663448,underground_stations_csv,430477.2164615136,True,0.1818181818181818,0.3636363636363636,0.4545454545454546,0.0,0.0,0.0,0.0,430477.2164614973,0.9999999999999624,True,3.0,0.5325008378841799,,17.075909090909093,430477.21701897954,430477.21646151354,1.0000000012949954
518,10009.019917568412,9.21134186207436,-0.5727960930760533,0.1085945941106958,0.036935153862339,0.0174814660784152,0.0104952695310628,0.0531999838179498,0.6324132281232546,medium,0,Becontree,LU,2137.946206632412,7871.073710935999,547627.5438,184527.341,0.1273417848283317,51.54034470776378,underground_stations_csv,1958219.6117049828,True,0.0,0.0,0.0526315789473684,0.1052631578947368,0.6842105263157894,0.1578947368421052,0.0,1958219.6117049772,0.9999999999999972,True,5.0,0.4846296065930034,,30.15805263157895,1958219.6141797202,1958219.6117049828,1.000000001263769
519,18062.861970411297,9.801668645218273,-0.1482884650867335,0.1216838528751292,0.0294420515839886,0.0386573994264136,0.0177816955214756,0.0434058010603529,0.7395206590769943,medium,4,Belsize Park,LU,7692.173946872739,10370.688023538569,527353.7983,185088.897399999,-0.1646209868164118,51.55032570077621,underground_stations_csv,872100.2273330617,True,0.0666666666666666,0.6666666666666666,0.1333333333333333,0.1333333333333333,0.0,0.0,0.0,872100.2273330718,1.0000000000000115,True,2.0,0.5078108178683977,,15.928666666666667,872100.2284638106,872100.2273330617,1.0000000012965813
520,53180.23618422369,10.88146090981123,-0.1420617351112874,0.1766628986651576,0.0458645153422457,0.0801606473291784,0.0408623149785054,0.074853865959854,0.9197338984095031,high,4,Bethnal Green LU,"LO,LU",22812.6797791324,30367.55640509129,535043.5417,182718.410700001,-0.0546903019258305,51.527237667207054,underground_stations_csv,878428.8796823147,True,0.2631578947368421,0.5263157894736842,0.1578947368421052,0.0526315789473684,0.0,0.0,0.0,878428.8796823177,1.0000000000000036,True,2.0,0.5835576209475304,,36.90852631578947,878428.8808052237,878428.8796823147,1.0000000012783152
521,35737.95363923861,10.483996511262976,0.1567037406670216,0.0869331796761019,0.0206139438274949,0.0013067617286917,0.0006593832194925,0.0289865633325088,0.5376192094244548,high,2,Blackfriars LU,LU,20669.112329145944,15068.84131009266,531693.8776,180893.0855,-0.103629638137254,51.51162476747557,underground_stations_csv,526642.6124917677,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,344568.4163832788,0.654273710881428,True,1.0,-0.0,,12.057,344568.38116056565,526642.6124917677,0.6542736439998041
522,40149.850876836455,10.600398911599578,-0.4642687087069171,0.1636144376935991,0.0433954661120258,0.066153868739834,0.0320719484954741,0.0681077367116161,0.8140081796458517,high,4,Blackhorse Road,"LO,LU",10754.765727736152,29395.085149100323,535760.6278,189370.2981,-0.041793873795219,51.586840594392974,underground_stations_csv,1565022.7332747476,True,0.0,0.1111111111111111,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,1565022.733274744,0.9999999999999978,True,4.0,0.5152952539994248,,21.695666666666668,1565022.7352864998,1565022.7332747476,1.000000001285446
523,5855.107481398567,8.675240409536677,-0.319928789510899,0.1541799468550381,0.0626034275549423,0.0151835046811138,0.0109139651721705,0.1018148474177267,0.8755031251920741,low,3,King George V,DLR,1990.9450162092585,3864.162465189309,543247.0,180125.0,0.06243,51.501915,naptan_rse_tmu,1118450.869910721,True,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.0,0.0,705340.1271205873,0.6306402418703382,True,3.0,0.683310763089587,,31.907,705339.2630230942,1118450.869910721,0.630639469286118
524,153076.6295053877,11.938700454087806,0.5007499363919709,0.0903143386808287,0.0214489649850881,0.0217945834456787,0.0101792877623332,0.0305088873261799,0.7375944902654422,high,1,Bond Street,"EZL,LU",114864.87099665396,38211.75850873378,528490.674,181117.635,-0.1496811425789451,51.51437958002913,underground_stations_csv,569193.8607293953,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,569193.8607293689,0.9999999999999536,True,1.0,-0.0,,13.846857142857143,569193.861463353,569193.8607293953,1.0000000012894688
525,17856.60961822,9.790185005507835,0.0011946318162342,0.1328512618699716,0.0401691602757868,0.003356876578052,0.001960427268807,0.0645172161712182,0.8829796394422516,medium,2,Borough,LU,8938.970846100001,8917.638772120004,532439.9633,179751.461100001,-0.0933129512735988,51.5011913652754,underground_stations_csv,833716.7040598297,True,0.6470588235294118,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,0.0,833716.704059846,1.0000000000000195,True,1.0,0.4490959742891121,,19.859176470588235,833716.7051291127,833716.7040598297,1.0000000012825496
526,4990.382503890156,8.515468205260753,-0.4939778316027345,0.1679348849437619,0.0437164419360081,0.0760490642305755,0.0359034540844731,0.0684007006861509,0.8362006842500928,low,4,Boston Manor,LU,1262.6220878751355,3727.76041601502,516333.5188,178693.009,-0.3255952087308763,51.495219674970095,underground_stations_csv,1750049.5930790636,True,0.0,0.0,0.0,0.0,0.75,0.125,0.125,1750049.593079072,1.0000000000000049,True,5.0,0.3780348954528651,,16.052125,1750049.5953645618,1750049.5930790636,1.000000001305962
