NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit
500,20020.017376020103,9.904537869561043,-0.40423665112432594,0.17488347204002888,0.04784286707956341,0.08560306544785874,0.04395209519136442,0.07546714596373474,0.8606663913080502,high,4,Acton Town,LU,5963.59629824346,14056.421077776648
501,17385.19949178,9.763432037850185,0.2714045770053398,0.08109991491363912,0.019624107236268867,0.0030242846023453736,0.0015360510867089183,0.02897252463128534,0.5786905917405434,medium,2,Barbican,LU,11051.811102999998,6333.388388780002
502,25375.977887714907,10.14159765962032,-0.03479985185444364,0.10508195051566473,0.02521252535409883,0.0011259831342128304,0.0006462421717327846,0.03796437712064563,0.718626561852749,high,2,Aldgate,LU,12246.448808280393,13129.529079434513
503,51676.2732564,10.852773374997954,-0.02447876920852331,0.1258288250729206,0.03574602284811482,0.005580832719492419,0.0033319312816095076,0.05671151397246426,0.9715872266803496,high,2,Aldgate East,LU,25205.65084489999,26470.6224115
504,17004.30055732119,9.741280371929099,-0.14066076164887864,0.26671764033212786,0.14239579121816673,0.0074236059799021375,0.006338240671427356,0.26794035792626175,0.8338349816284116,medium,3,Stratford International DLR,DLR,7306.23134481097,9698.069212510216
505,9844.40784943342,9.194760417277964,-0.44575684958472506,0.1249462443180076,0.0418735033586676,0.012660195387151305,0.007897325037120487,0.06185011738849549,0.6830609290046609,medium,0,Alperton,LU,2728.0978102214176,7116.310039212001
506,6726.80084282051,8.814003599969194,-0.6804064652314571,0.1473900473356061,0.0611649913468232,0.019646867797510723,0.012713393161829324,0.0908015876210264,0.632739216497464,low,0,Amersham,LU,1074.9210295205105,5651.8798133
507,57649.7526291,10.962158580756826,0.10108698241592057,0.1256461478282857,0.033333441216070195,0.0016221041040503739,0.0010401452267417323,0.054139550001357985,0.9995170764451783,high,1,Angel,LU,31738.6960797,25911.0565494
508,29411.10724528071,10.28916167961984,-0.3228278045251127,0.1471867270725261,0.0385168401682111,0.05351565288837751,0.025537633074955282,0.05943468913717522,0.7869622795228649,high,4,Archway,LU,9958.19203231706,19452.91521296366
509,12838.801213037006,9.460305095273407,-0.5136177944530995,0.16450314809940175,0.047323420823508204,0.07062974076456159,0.03571580693061869,0.0728189197409532,0.8076543921912906,medium,4,Arnos Grove,LU,3122.28222528758,9716.51898774942
510,9476.03758149126,9.15662705500958,-0.41142430592017326,0.15914338356517319,0.041675379155440916,0.058953269830480444,0.028115567543519505,0.06580470656244028,0.7795247513301725,medium,4,Arsenal,LU,2788.682698326369,6687.3548831648895
511,75030.76102672385,11.225666783232267,0.3622115629022567,0.11725258563907281,0.03091904317034757,0.028507631150523134,0.013653999747829972,0.04573629689798503,0.7351039335757854,high,2,Baker Street,LU,51103.88512197959,23926.87590474425
512,45341.09165817992,10.721991055731888,-0.2734990845390407,0.15706463226910733,0.042264308074841446,0.06757157019911571,0.0342980506863984,0.06393074473767515,0.8330448818161511,high,4,Balham LU,LU,16470.17229883347,28870.919359346437
513,123963.74310258111,11.727752474339892,0.4748658002295345,0.10467854283256253,0.03169637676758598,0.01970637403551109,0.007986983070652131,0.04458106342121279,0.36887434725126994,high,1,Bank and Monument,"DLR,LU",91414.94258521836,32548.80051736275
514,69390.79412222424,11.147523899190187,-0.45702464592282604,0.1338571657874689,0.04346532152716125,0.01714195691916427,0.012849733085632836,0.06681301600987334,0.7932289796292948,high,4,Barking,"LO,LU",18838.745504105504,50552.048618118766
515,4761.8924933707785,8.468610429345366,-0.6985312262106093,0.14832734239417716,0.051155307937218765,0.06188157265442488,0.03205717461124888,0.07456953053822724,0.6336395767575607,low,0,Barkingside,LU,717.7809454466961,4044.111547924081
516,20384.784287502065,9.922593088268572,-0.2735829559955752,0.16469918278529258,0.042548972281500244,0.08918144987513901,0.042366167496757465,0.06635163254650699,0.703028114888279,high,4,Barons Court,LU,7403.927372397547,12980.856915104529
517,16717.59432058,9.72427681136882,-0.20995972537143268,0.12110608550463728,0.029872124673778734,0.0012841002358597387,0.0007907265407036973,0.047724965191230304,1.1123525396319067,medium,2,Bayswater,LU,6603.786404080001,10113.8079165
518,10009.019917568412,9.211341862074361,-0.5727960930760533,0.10859459411069584,0.03693515386233905,0.017481466078415202,0.010495269531062858,0.0531999838179498,0.6324132281232546,medium,0,Becontree,LU,2137.9462066324118,7871.073710935999
519,18062.861970411297,9.801668645218271,-0.14828846508673357,0.12168385287512921,0.029442051583988653,0.03865739942641367,0.01778169552147562,0.04340580106035293,0.7395206590769943,medium,4,Belsize Park,LU,7692.173946872739,10370.688023538569
520,53180.23618422369,10.88146090981123,-0.14206173511128742,0.17666289866515764,0.045864515342245775,0.08016064732917846,0.04086231497850547,0.07485386595985405,0.9197338984095031,high,4,Bethnal Green LU,"LO,LU",22812.6797791324,30367.55640509129
521,35737.95363923861,10.483996511262976,0.15670374066702164,0.08693317967610194,0.02061394382749495,0.0013067617286917196,0.0006593832194925638,0.028986563332508826,0.5376192094244548,high,2,Blackfriars LU,LU,20669.112329145944,15068.84131009266
