MSOA11CD,od_destination_total,bus_alighting_total,std_residual
E02000001,33281,16323.25127,-0.2609277248604451
E02000002,1113,982.14119,0.3717308342115535
E02000003,1420,1492.19227,0.6387864141286892
E02000004,836,302.89402,-0.9272654310904472
E02000005,1250,916.51401,0.11214440101906534
E02000007,1805,1640.79991,0.4449832801484626
E02000008,2023,1864.6259,0.47214232201448886
E02000009,1361,1567.23628,0.7679866888169803
E02000010,384,472.168,0.7822537959821139
E02000011,774,642.24674,0.26030431085480166
E02000012,698,663.21168,0.44889548269362894
E02000013,889,580.05443,-0.07714944293603127
E02000014,1814,1648.89496,0.44522139933934984
E02000015,1017,609.4040200000001,-0.1913921035829116
E02000016,5041,2138.05878,-0.5893150006711707
E02000017,659,5249.80689,3.5098775446643335
E02000018,1105,684.09491,-0.13924733393825234
E02000019,1897,662.2385899999999,-0.9307704702873265
E02000020,1639,2274.85448,1.0489195502031408
E02000021,1439,1402.93817,0.531579077616119
E02000022,934,185.83668,-1.7815101956445984
E02000023,583,1661.20128,2.019711082659369
E02000024,1705,1764.71069,0.6284736928450748
E02000025,813,484.22102,-0.21399568003497985
E02000026,144,58.37274,-0.8645403439588011
E02000027,1115,297.89017,-1.347941320648526
E02000028,592,661.15484,0.6712179078732424
E02000029,1556,827.95403,-0.3360068093738892
E02000030,390,306.71084,0.1403617287347741
E02000031,851,1213.65445,1.0464644603330089
E02000032,719,86.07016,-2.522320459359059
E02000033,1228,561.3443,-0.5694238361057593
E02000034,1131,636.56232,-0.27499349734368583
E02000035,596,429.85403,0.04218844454641989
E02000036,1515,777.32921,-0.39008637868042884
E02000037,816,677.4771,0.2644245814821924
E02000038,1180,1202.30766,0.5826233987544912
E02000039,1511,1313.19662,0.36902862392717467
E02000040,698,675.99269,0.47638328724050455
E02000041,3204,3702.09353,0.8270102700458297
E02000042,2138,3324.24338,1.229448123831889
E02000043,312,143.07644,-0.6471593325786827
E02000044,1159,849.98655,0.10773866180364432
E02000045,1354,1559.17287,0.7676581329410367
E02000046,1903,1273.1601,0.006502993649500519
E02000047,2590,1949.07296,0.19540475075174282
E02000048,900,452.02698,-0.45304367439179666
E02000049,1808,898.74574,-0.4246993326397158
E02000050,1754,964.705,-0.28087595697362855
E02000051,1457,1424.10532,0.5360294561972958
E02000052,2998,579.96542,-1.7526715623444995
E02000053,3180,1414.89991,-0.5491636653153833
E02000054,995,849.9617,0.3179041357165789
E02000055,3195,2506.88499,0.2688198480499572
E02000056,639,1158.45471,1.3739625552408896
E02000057,622,1069.51271,1.2959838188214654
E02000058,1225,1226.2488,0.5594655144901893
E02000059,2392,2116.02936,0.4235075720447932
E02000060,1131,749.35447,-0.040067561999284365
E02000061,2594,4844.12972,1.5058376831824847
E02000062,3943,6466.261,1.3450280727983497
E02000063,1027,597.72124,-0.23274329342022979
E02000064,674,1820.45724,1.9519599716612974
E02000065,1778,1329.41543,0.16245790298469087
E02000066,2188,1649.91685,0.18773435034931973
E02000067,2094,980.25225,-0.5020529372775692
E02000068,2407,1654.26418,0.06003123957952677
E02000069,666,644.22391,0.4716903049946648
E02000070,929,1037.18124,0.6992508316294191
E02000071,609,223.96862,-0.9246753964041052
E02000072,1771,814.12415,-0.538649598475251
E02000073,1280,822.26816,-0.07685084060024318
E02000074,1001,155.76892,-2.130002535635647
E02000075,480,272.59026,-0.314824891990815
E02000077,378,223.90354,-0.2687660261733649
E02000078,672,435.41853,-0.10455512906918561
E02000079,2985,3714.23142,0.9293361125979486
E02000080,2048,1672.29621,0.2982993629066482
E02000081,811,283.60104,-0.9800422934217223
E02000082,673,234.97211,-0.9933968042601624
E02000083,1757,507.42548,-1.2084625077065534
E02000084,562,256.57471,-0.6189024802016
E02000085,638,483.27869,0.11701067966925495
E02000086,339,108.69673,-1.1544462595668492
E02000087,552,405.94536,0.06543210525432365
E02000088,518,176.68475999999998,-1.0421690221042603
E02000089,717,164.50668,-1.5921606281981477
E02000090,3619,1500.02258,-0.6432487913231517
E02000091,909,886.34783,0.502822009304143
E02000092,737,565.44487,0.14439263690032444
E02000093,2022,1278.38025,-0.07120553057635838
E02000094,2932,1945.78101,0.021989463992274274
E02000095,2612,2563.71887,0.5788827274738794
E02000096,1297,903.15623,0.04013180146081351
E02000097,1708,1811.76315,0.6639792915380549
E02000098,1642,804.39207,-0.4517358785994466
E02000099,1805,265.76071,-2.1757846223455406
E02000100,1188,1137.32696,0.4932499492548493
E02000101,3245,2976.61688,0.4950147189095161
E02000102,1151,862.38459,0.1381422874855846
E02000103,1877,1849.11794,0.563352010850871
E02000104,1468,826.28646,-0.25867854909669563
E02000105,3068,2607.90968,0.3816947908263473
E02000106,2371,1983.67428,0.3425557487465168
E02000107,1105,1366.44611,0.8575214961097353
E02000108,640,243.25928,-0.8743869552761491
E02000109,4523,986.9083,-1.5539638576312538
E02000110,718,150.06503,-1.7257548743691902
E02000111,2154,6233.4638,2.125667860596328
E02000112,4804,3311.03288,0.10760717693869071
E02000113,2779,1452.71782,-0.3253274599228576
E02000114,838,1715.09961,1.5660863063844814
E02000115,473,274.47131,-0.2847260878670476
E02000116,2093,3750.46642,1.432705648515775
E02000117,2510,1499.03655,-0.13974560760268806
E02000118,1833,214.87867,-2.502222937027697
