hour,n,r_squared,slope
18,979,0.36505831427956825,1.073825118979513
19,979,0.32414096383346125,1.0237863778933955
20,978,0.2978087249677456,0.9157531326069631
21,975,0.2947822950172455,0.8432596703940473
22,952,0.24545923093466304,0.769690484999668
23,874,0.19396085925930584,0.6642732131038512
0,660,0.14697781575299462,0.5888386957908149
1,339,0.1854395627925527,0.6971707690308971
2,220,0.20996217122941796,0.7043833135218294
3,213,0.2269486646205675,0.681812189887478
4,350,0.3288760704066993,0.8255713294776506
5,674,0.3671763722358309,0.8213700526215126
