MSOA11CD,rail_entry_total,rail_exit_total,bus_alighting_total,bus_boarding_total,origin_total,destination_total,od_origin_total,od_destination_total,dominant_lnwc,dominant_lnwc_purity,fitted_log,residual_log,std_residual,direction,mismatch_quartile
E02000001,153279.0456047835,64037.68043099912,16323.25127,22980.31571,176259.36131478348,80360.93170099912,44997,33281,1,1.0,11.08385362344921,0.9958638830989894,1.1083553872105714,origin,Q4_most_positive
E02000002,0.0,0.0,982.14119,446.25909,446.25909,982.14119,810,1113,4,0.25,6.381108907040228,-0.2779708606544675,-0.3093700917591302,origin,Q2
E02000003,0.0,0.0,1492.19227,1525.38394,1525.38394,1492.19227,1500,1420,4,0.5,7.10198093584248,0.2286758433077214,0.25450677261868326,origin,Q3
E02000004,0.0,0.0,302.89402,206.08176,206.08176,302.89402,598,836,6,0.5,6.026296989902971,-0.6931832987746169,-0.771484393158651,origin,Q1_most_negative
E02000005,0.0,0.0,916.51401,630.48957,630.48957,916.51401,1048,1250,5,0.6666666666666666,6.682428620277301,-0.23434719485434563,-0.260818752745832,origin,Q2
E02000007,0.0,0.0,1640.79991,1173.44701,1173.44701,1640.79991,1690,1805,6,0.4,7.241547289872866,-0.17299460386279808,-0.1925358519409544,origin,Q2
E02000008,0.0,0.0,1864.6259,1066.71728,1066.71728,1864.6259,1516,2023,4,0.5714285714285714,7.114396919376752,-0.14111865400202106,-0.15705923575852532,origin,Q2
E02000009,0.0,0.0,1567.23628,973.03285,973.03285,1567.23628,1262,1361,5,0.42857142857142855,6.899822418637317,-0.018377388664137406,-0.020453274864607695,origin,Q3
E02000010,0.0,0.0,472.168,292.52103,292.52103,472.168,391,384,5,0.6,5.529805366909166,0.15214392226225737,0.16932990414911697,origin,Q3
E02000011,692.9193934554526,1698.7201278922,642.24674,632.32679,1325.2461834554524,2340.9668678922,1272,774,5,0.5,6.909057257324825,0.2810505549030555,0.31279766431127654,origin,Q3
E02000012,541.554163492362,1428.9978069464305,663.21168,514.40182,1055.955983492362,2092.2094869464304,446,698,4,0.4,5.683550121749283,1.2795982203894978,1.424139990517946,origin,Q4_most_positive
E02000013,687.2120209258818,1930.0301066728,580.05443,708.5465,1395.7585209258818,2510.0845366728,956,889,4,0.4,6.574946065396691,0.6669634234615511,0.742302754434298,origin,Q4_most_positive
E02000014,1263.100631606123,3133.104608378,1648.89496,2404.43482,3667.535451606123,4781.999568378,1617,1814,5,0.5,7.189873195349477,1.0176746065458353,1.1326298219415962,origin,Q4_most_positive
E02000015,0.0,0.0,609.4040200000001,437.65512,437.65512,609.4040200000001,997,1017,5,0.75,6.624068184003752,-0.5403546833214836,-0.6013924537559487,origin,Q2
E02000016,4987.582760284724,11943.68275365608,2138.05878,2936.62693,7924.209690284724,14081.74153365608,6680,5041,1,0.4,8.85040074775239,0.1274033099849703,0.14179462411156046,origin,Q3
E02000017,0.0,0.0,5249.80689,6744.17595,6744.17595,5249.80689,743,659,4,0.6,6.280139526966704,2.53644332732454,2.8229567051333837,origin,Q4_most_positive
E02000018,0.0,0.0,684.09491,468.70418,468.70418,684.09491,792,1105,5,0.8,6.354826648413188,-0.20272355612241366,-0.22562294843303146,origin,Q2
E02000019,0.0,0.0,662.2385899999999,684.52859,684.52859,662.2385899999999,2461,1897,5,0.8,7.681427359502438,-1.1512371545864024,-1.2812794237221827,origin,Q1_most_negative
E02000020,0.0,0.0,2274.85448,1453.14683,1453.14683,2274.85448,1432,1639,5,0.375,7.047693054381197,0.23448158210758763,0.2609683202104534,origin,Q3
E02000021,0.0,0.0,1402.93817,875.385,875.385,1402.93817,1153,1439,5,0.6,6.794135597299469,-0.018330105197016167,-0.020400650317820502,origin,Q3
E02000022,0.0,0.0,185.83668,146.77616,146.77616,185.83668,675,934,3,0.5,6.16790430115349,-1.1722056047022535,-1.3046164430094356,origin,Q1_most_negative
E02000023,282.1488546,754.2264260000001,1661.20128,854.89209,1137.0409446,2415.427706,490,583,5,0.5,5.79348740314962,1.2435761903270217,1.3840489582437714,origin,Q4_most_positive
E02000024,677.5503569230981,2654.252948494,1764.71069,1977.88868,2655.4390369230982,4418.963638494,1981,1705,4,0.5,7.427481595287988,0.4572602016941367,0.5089117262969481,origin,Q3
E02000025,0.0,0.0,484.22102,340.04962,340.04962,484.22102,569,813,4,0.4,5.968187252531098,-0.13615927263711836,-0.15153964904963044,origin,Q2
E02000026,0.0,0.0,58.37274,32.21359,32.21359,58.37274,115,144,5,0.5,4.1039465986942,-0.6009874691780364,-0.6688742411630488,origin,Q1_most_negative
