MSOA11CD,hour,od_origin,od_destination
E02000001,0,1024.0,859.0
E02000001,1,695.0,623.0
E02000001,2,566.0,709.0
E02000001,3,520.0,873.0
E02000001,4,518.0,2242.0
E02000001,5,1156.0,3746.0
E02000001,18,17457.0,9622.0
E02000001,19,8484.0,4978.0
E02000001,20,5321.0,3504.0
E02000001,21,3913.0,2510.0
E02000001,22,3164.0,2100.0
E02000001,23,2179.0,1515.0
E02000002,0,12.0,12.0
E02000002,4,0.0,16.0
E02000002,5,53.0,23.0
E02000002,18,249.0,399.0
E02000002,19,256.0,235.0
E02000002,20,102.0,169.0
E02000002,21,90.0,145.0
E02000002,22,33.0,99.0
E02000002,23,15.0,15.0
E02000003,0,0.0,27.0
E02000003,5,22.0,12.0
E02000003,18,615.0,484.0
E02000003,19,394.0,411.0
E02000003,20,261.0,291.0
E02000003,21,154.0,122.0
E02000003,22,35.0,37.0
E02000003,23,19.0,36.0
E02000004,4,29.0,29.0
E02000004,5,94.0,30.0
E02000004,18,219.0,232.0
E02000004,19,150.0,186.0
E02000004,20,52.0,139.0
E02000004,21,24.0,137.0
E02000004,22,16.0,55.0
E02000004,23,14.0,28.0
E02000005,0,21.0,11.0
E02000005,3,13.0,0.0
E02000005,5,129.0,10.0
E02000005,18,289.0,449.0
E02000005,19,252.0,368.0
E02000005,20,135.0,193.0
E02000005,21,111.0,89.0
E02000005,22,48.0,119.0
E02000005,23,50.0,11.0
E02000007,2,11.0,0.0
E02000007,3,38.0,10.0
E02000007,4,46.0,10.0
E02000007,5,102.0,72.0
E02000007,18,539.0,663.0
E02000007,19,443.0,460.0
E02000007,20,265.0,236.0
E02000007,21,177.0,209.0
E02000007,22,57.0,103.0
E02000007,23,12.0,42.0
E02000008,0,12.0,38.0
E02000008,1,0.0,23.0
E02000008,4,99.0,34.0
E02000008,5,271.0,48.0
E02000008,18,420.0,617.0
E02000008,19,348.0,507.0
E02000008,20,164.0,242.0
E02000008,21,100.0,194.0
E02000008,22,70.0,204.0
E02000008,23,32.0,116.0
E02000009,0,13.0,41.0
E02000009,4,72.0,10.0
E02000009,5,86.0,22.0
E02000009,18,383.0,503.0
E02000009,19,328.0,320.0
E02000009,20,205.0,269.0
E02000009,21,128.0,107.0
E02000009,22,47.0,59.0
E02000009,23,0.0,30.0
E02000010,3,18.0,0.0
E02000010,4,50.0,0.0
E02000010,5,60.0,11.0
E02000010,18,99.0,155.0
E02000010,19,95.0,120.0
E02000010,20,28.0,47.0
E02000010,21,41.0,29.0
E02000010,23,0.0,22.0
E02000011,1,10.0,10.0
E02000011,5,69.0,14.0
E02000011,18,392.0,244.0
E02000011,19,311.0,251.0
E02000011,20,223.0,139.0
E02000011,21,81.0,51.0
E02000011,22,130.0,51.0
E02000011,23,56.0,14.0
E02000012,0,12.0,0.0
E02000012,4,0.0,26.0
E02000012,5,0.0,25.0
E02000012,18,168.0,284.0
E02000012,19,203.0,188.0
E02000012,20,48.0,123.0
E02000012,21,15.0,42.0
E02000012,23,0.0,10.0
E02000013,0,17.0,0.0
E02000013,4,20.0,0.0
E02000013,5,42.0,40.0
E02000013,18,304.0,321.0
E02000013,19,225.0,237.0
E02000013,20,156.0,140.0
E02000013,21,132.0,81.0
E02000013,22,47.0,70.0
E02000013,23,13.0,0.0
E02000014,4,0.0,11.0
E02000014,5,84.0,46.0
E02000014,18,583.0,625.0
E02000014,19,423.0,442.0
E02000014,20,229.0,256.0
E02000014,21,159.0,190.0
E02000014,22,89.0,221.0
E02000014,23,50.0,23.0
E02000015,0,17.0,17.0
E02000015,4,0.0,13.0
E02000015,5,35.0,26.0
E02000015,18,359.0,336.0
E02000015,19,299.0,207.0
E02000015,20,119.0,190.0
E02000015,21,65.0,94.0
E02000015,22,86.0,117.0
E02000015,23,17.0,17.0
E02000016,0,212.0,47.0
E02000016,1,40.0,16.0
E02000016,3,10.0,10.0
E02000016,4,98.0,132.0
E02000016,5,144.0,447.0
