MSOA11CD,od_origin_total,rail_entry_total,std_residual
E02000001,44997,153279.0456047835,1.682039127604267
E02000011,1272,692.9193934554526,-0.5471910026592839
E02000012,446,541.554163492362,0.12288402232122683
E02000013,956,687.2120209258818,-0.3062939841297597
E02000014,1617,1263.100631606123,-0.1630207837317223
E02000016,6680,4987.582760284724,-0.04240939415343949
E02000023,490,282.1488546,-0.6026088519476535
E02000024,1981,677.5503569230981,-0.9558243785710461
E02000031,855,309.257650227,-0.9973253376457143
E02000035,578,695.8307524400001,0.14466694166701533
E02000040,575,236.11966371,-0.9175419353698286
E02000041,3944,769.3539771200001,-1.431125941040689
E02000043,326,216.9699119552,-0.5066686146627342
E02000046,2285,1275.6399958491108,-0.4549465407274836
E02000047,2729,673.0560175740001,-1.2419065992954064
E02000053,3236,1312.4787040380002,-0.7304363168507318
E02000055,3209,1380.16231944,-0.6734020241007082
E02000056,605,1141.769716616,0.5943937118891386
E02000060,1242,482.7812669552031,-0.8833367495209533
E02000061,3505,1543.4028416,-0.6398504189013179
E02000093,2284,765.4443808000001,-0.9594720937125766
E02000095,3352,884.0226905313001,-1.1518771575624078
E02000099,1464,470.48650770917743,-1.0522561992276132
E02000100,1685,1860.4053580317536,0.1839807236624658
E02000104,1243,4391.38305973,1.2989659464221432
E02000105,2384,324.0880332081747,-1.8455901290888455
E02000106,2544,597.6279243752559,-1.2980889285537576
E02000108,448,351.63181709305,-0.3073861682546113
E02000110,620,763.64245186,0.17543529115598194
E02000111,2014,1479.302782714051,-0.19832469865969216
E02000112,4928,700.622278059,-1.717995875452588
E02000114,1044,1266.47252062,0.22123487486102067
E02000115,453,1605.5860267284834,1.1835855171321006
E02000119,3645,892.17569058,-1.2159320797557553
E02000120,768,713.0461515156417,-0.07890809509459384
E02000121,3721,655.50116705,-1.5385914194471433
E02000124,1599,3152.8771796373967,0.7514883951467332
E02000126,531,727.56238126,0.26263441045062896
E02000131,2533,927.9140589089072,-0.8595107478982597
E02000135,1469,389.994179518,-1.240477330676867
E02000167,761,2510.087821992,1.173492810335659
E02000168,1249,4822.395688909478,1.3873965734503622
E02000171,954,923.593221982,-0.012287864520569049
E02000172,928,1415.1688094183182,0.4337204574365927
E02000173,1366,831.7001917380614,-0.4289622078796634
E02000175,2212,7375.92633455588,1.3092287016403494
E02000176,537,1709.1395233340002,1.0972093293174146
E02000177,1164,2971.318703978,0.969779590309764
E02000182,1292,2314.4144736811363,0.6316316516037438
E02000184,1385,2315.029217587301,0.5712638527887529
E02000185,1099,250.5938395612,-1.4236531890327568
E02000186,4515,10075.824826152051,0.9952225900844647
E02000187,6697,36328.01859835022,1.920145823845649
E02000188,1572,20915.438993048712,2.638531198541733
E02000191,6297,20615.563674700374,1.4132796826589962
E02000193,13269,27299.85405545,1.0406090676478574
E02000201,1517,810.2745504251973,-0.5462183857987029
E02000213,9136,1519.203433014,-1.4916146111153872
E02000241,2347,911.14869607,-0.8109866384270351
E02000243,3429,790.8772639944084,-1.2817446512974529
E02000244,2224,378.651586185246,-1.6314314017140978
E02000248,1474,760.5278949177716,-0.5837545785874385
E02000252,4869,2564.652274922316,-0.42442328480906594
E02000255,798,753.42742854,-0.0578766782098051
E02000257,8850,5175.715416466507,-0.2512972503894344
E02000258,490,182.0284393478068,-1.0343928533530284
E02000259,879,498.36703624,-0.5504846934780308
E02000262,2723,513.18217323,-1.5079001138736097
E02000264,1018,523.1255156889704,-0.6306179205439312
E02000266,2444,1926.5195744975,-0.10593459846478392
E02000269,1652,1044.7571671752642,-0.36934583798211934
E02000270,1801,1261.902833803,-0.25797833554817134
E02000278,712,268.1745050997,-0.9783274004150565
E02000284,2152,540.9250857295413,-1.2505517334189817
E02000287,348,315.7376606,-0.19368405442635536
E02000291,2579,365.4014902246813,-1.7958065257781242
E02000292,1327,354.362048822,-1.2463581598405378
E02000296,3529,1245.5389821600002,-0.857839043159422
E02000303,628,737.1877977125,0.12941857240286087
E02000306,3426,1004.11353879802,-1.0450164346334214
E02000308,1648,692.930968319214,-0.7730808353981824
E02000315,1997,2743.8462225501403,0.4201145511561896
E02000316,12405,5751.450170162567,-0.44168367265851427
E02000345,1121,287.2084482589135,-1.3064873566230693
E02000346,1157,1540.8608867958824,0.32552828100092873
E02000350,699,438.3389615,-0.4774588855162316
E02000353,1227,661.8633386800001,-0.5610847155751669
E02000360,1360,874.22391697484,-0.37583531667851744
E02000361,4430,2152.5469918406743,-0.5152310929269062
E02000362,1308,1496.7756021000002,0.18982812026544468
E02000363,1811,1267.729367,-0.25825411453225045
E02000365,3141,6165.53996026386,0.8259082993024275
E02000367,2155,570.28440042,-1.1995576652793112
E02000371,7236,1986.9469954000003,-1.0226512913947534
E02000372,3119,9494.262199638692,1.2591985272113961
E02000375,10833,12440.18684291517,0.4399372043562652
E02000376,1541,599.91856225,-0.8569307333035197
E02000382,846,906.2013409375,0.07368071754423988
E02000383,1246,1108.737936,-0.06454739154287395
E02000384,7846,16393.2871780077,0.9945507669901429
E02000385,501,3214.0662268374003,1.7823608974544687
E02000388,1053,2727.5837200421456,0.9725162537344111
E02000392,1189,1809.252125182615,0.46053699750258287
E02000394,1257,1590.51335710244,0.2845900596201647
E02000395,1503,1673.1872209982323,0.17879611661706876
E02000400,1200,855.637823288875,-0.2879037866336984
E02000403,1266,2297.21765876,0.6419863985189059
E02000407,1553,321.18158124800004,-1.480545594195273
E02000411,2554,3565.08019818129,0.4644719677842119
E02000415,1704,1864.354655058,0.17629585968145964
E02000421,2850,4454.779278260694,0.5891979032976624
E02000426,711,975.7052015697004,0.29829132637029243
E02000427,840,832.5097831103889,-0.00394971457706145
E02000433,1394,648.5327773,-0.6924929529743521
E02000434,1056,462.527630185,-0.7841630018883154
E02000438,837,159.1866352451397,-1.6329479632698403
E02000445,2248,1205.9833642705603,-0.496225006899788
E02000447,448,134.199380357018,-1.2560693277656871
E02000448,1115,389.3002352393271,-1.0017346253683028
E02000451,827,238.2888238075,-1.2253193287582733
E02000455,6525,2021.1299175047284,-0.9155087535171487
E02000456,292,246.76530456094676,-0.2840427693426045
E02000457,808,683.5024474501719,-0.16498728768447118
E02000459,1173,528.933439156322,-0.7433141672449067
E02000461,1049,390.544633852396,-0.9453705116503655
E02000470,1892,956.369271895,-0.5750760368099814
E02000475,1019,759.9794925540001,-0.2624848242279159
E02000476,9769,3890.2920115028,-0.6199848619962973
E02000478,108,60.647788685,-0.7974219881434478
E02000482,724,936.2445400060002,0.24168601505032308
E02000485,779,141.28072691088715,-1.687640433544516
E02000486,812,356.4649568093047,-0.8121772633053492
E02000489,1000,558.9675660026205,-0.5496021293120437
E02000495,1853,682.4638344093377,-0.8904072804542188
E02000500,1508,550.419050231303,-0.9231151908739101
E02000501,470,392.01061355854057,-0.24186035412042067
E02000502,668,334.494014389188,-0.7047754893622875
E02000503,437,145.9870499262493,-1.1516946065862221
E02000504,496,154.73775047992785,-1.2047806093361482
E02000506,523,282.1973967107,-0.6592207794085962
E02000508,3542,1558.0969134000002,-0.6396436662124863
E02000515,1893,988.551045718,-0.5428194329239329
E02000523,2835,2145.67455085469,-0.12886870171426604
E02000524,27128,14620.648090973322,-0.20152402725445787
E02000526,1379,2285.2485905197937,0.5622439489507896
E02000531,2876,287.14356755800003,-2.128686038067635
E02000537,1259,332.075551366256,-1.2645680555854977
E02000540,3786,665.197786297075,-1.5391950108807746
E02000542,3900,618.9341918712754,-1.636308076053935
E02000543,6937,667.31377597066,-2.0645593617475773
E02000554,736,433.013516094,-0.5344895252804295
E02000557,2311,2876.8644855699013,0.33952740322748964
E02000558,1286,7072.89772318021,1.7408757908072034
E02000559,697,521.63538195175,-0.30315772550942
E02000564,1603,1587.69787535,0.07073716285503445
E02000566,1625,7024.1087546280005,1.5299294577200975
E02000567,660,799.0756918370495,0.16577090373145675
E02000568,1557,2049.432588427148,0.3486142889515047
E02000575,5112,35611.149452594,2.136132763493787
E02000576,3953,12034.2016052838,1.2869800118754697
E02000579,878,1799.2237726300002,0.7194690445044954
E02000581,484,982.86548161,0.6406603148403772
E02000582,813,4726.425249194,1.7419391604016188
E02000585,611,895.4708792700001,0.34557879202679465
E02000586,1334,4693.8378947182,1.3032358221588038
E02000589,1109,5748.88684278,1.6649564818896418
E02000590,1685,13700.591894204,2.1593579048146254
E02000592,977,5230.508122268,1.6819775948543467
E02000593,514,2163.693345413333,1.3685961982325077
E02000594,1096,7168.153568780001,1.8935486268411201
E02000619,867,1655.30159913,0.648006477377643
