MSOA11CD,total_flow,linked_flow,shiftwork_linked_share,std_residual,linked_share_quartile,transport_storage_share,shiftwork_heavy
E02000001,44997,2302.0,0.05115896615329911,1.1083553872105714,Q2,0.014862031354599518,False
E02000002,810,716.0,0.8839506172839506,-0.3093700917591302,Q4_high,0.06589700058371233,True
E02000003,1500,1448.0,0.9653333333333334,0.2545067726186832,Q4_high,0.07696188679511375,True
E02000004,598,514.0,0.8595317725752508,-0.771484393158651,Q4_high,0.07572785722709192,True
E02000005,1048,913.0,0.8711832061068703,-0.260818752745832,Q4_high,0.07379827101764248,True
E02000007,1690,1578.0,0.9337278106508876,-0.1925358519409544,Q4_high,0.07345798308840862,True
E02000008,1516,1490.0,0.9828496042216359,-0.1570592357585253,Q4_high,0.08581613015051283,True
E02000009,1262,1160.0,0.919175911251981,-0.0204532748646076,Q4_high,0.08807454082352772,True
E02000010,391,373.0,0.9539641943734015,0.1693299041491169,Q4_high,0.07166450821935823,True
E02000011,1272,1180.0,0.9276729559748428,0.3127976643112765,Q4_high,0.0945219746452991,True
E02000012,446,446.0,1.0,1.424139990517946,Q4_high,0.08847276838000985,True
E02000013,956,956.0,1.0,0.742302754434298,Q4_high,0.07018527504504773,True
E02000014,1617,1576.0,0.9746444032158318,1.1326298219415962,Q4_high,0.0827865382706745,True
E02000015,997,987.0,0.9899699097291875,-0.6013924537559487,Q4_high,0.08306877201821362,True
E02000016,6680,6196.0,0.9275449101796407,0.1417946241115604,Q4_high,0.06542645719679098,True
E02000017,743,671.0,0.9030955585464334,2.822956705133384,Q4_high,0.07318133230045921,True
E02000018,792,636.0,0.803030303030303,-0.2256229484330314,Q4_high,0.08295826427162573,True
E02000019,2461,2378.0,0.9662738724095896,-1.2812794237221827,Q4_high,0.0798793063647841,True
E02000020,1432,1303.0,0.9099162011173184,0.2609683202104534,Q4_high,0.07779875135590776,True
E02000021,1153,1142.0,0.9904596704249783,-0.0204006503178205,Q4_high,0.08112647457041343,True
E02000022,675,589.0,0.8725925925925926,-1.3046164430094356,Q4_high,0.076322943727347,True
E02000023,490,439.0,0.8959183673469387,1.3840489582437714,Q4_high,0.08926943951285539,True
E02000024,1981,15.0,0.00757193336698637,0.5089117262969481,Q1_low,0.02725463325017735,False
E02000025,569,0.0,0.0,-0.1515396490496304,Q1_low,0.03589924103844934,False
