MSOA11CD,od_origin_total,origin_total,std_residual,dominant_lnwc
E02000550,3110,110.83164,-3.604211346988408,5
E02000181,312,15.523559999999998,-2.7395265815143977,2
E02000118,1767,135.73254,-2.6440143935982876,5
E02000850,3757,367.1422,-2.5243873521672517,5
E02000626,775,58.29733,-2.5006920170286695,3
E02000819,1835,162.92545,-2.491325195998992,3
E02000145,1085,91.93684,-2.438602644750981,6
E02006788,512,42.93199,-2.2951104482021725,6
E02000449,968,92.28984,-2.285824205098054,5
E02000514,1800,208.51952,-2.193115576058025,5
E02000863,380,33.407779999999995,-2.179389000350686,7
E02000074,674,67.73653,-2.154565670711953,5
E02000719,671,67.60394,-2.1509094960352133,4
E02000373,854,91.11882,-2.136765054704503,3
E02000151,570,60.34576,-2.0631068516569857,7
E02000211,687,75.39789,-2.0618154044658263,6
E02006789,669,74.72319,-2.037137605965618,7
E02000653,2150,303.14699,-2.0097662539208994,3
E02000214,838,103.03801,-1.9767242719265734,6
E02000952,615,79.13768999999999,-1.8645628554720461,3
