LSOA21CD,MSOA21CD,LAD22CD,LAD22NM,MSOA11CD,CHNGIND
E01000001,E02000001,E09000001,City of London,E02000001,U
E01000002,E02000001,E09000001,City of London,E02000001,U
E01000003,E02000001,E09000001,City of London,E02000001,U
E01000005,E02000001,E09000001,City of London,E02000001,U
E01000006,E02000017,E09000002,Barking and Dagenham,E02000017,U
E01000007,E02000016,E09000002,Barking and Dagenham,E02000016,U
E01000008,E02000016,E09000002,Barking and Dagenham,E02000016,U
E01000009,E02000017,E09000002,Barking and Dagenham,E02000017,U
E01000011,E02000017,E09000002,Barking and Dagenham,E02000017,U
E01000012,E02000016,E09000002,Barking and Dagenham,E02000016,U
E01000013,E02000014,E09000002,Barking and Dagenham,E02000014,U
E01000014,E02000014,E09000002,Barking and Dagenham,E02000014,U
E01000015,E02000010,E09000002,Barking and Dagenham,E02000010,U
E01000016,E02000010,E09000002,Barking and Dagenham,E02000010,U
E01000017,E02000010,E09000002,Barking and Dagenham,E02000010,U
E01000018,E02000010,E09000002,Barking and Dagenham,E02000010,U
E01000019,E02006799,E09000002,Barking and Dagenham,E02006799,U
E01000020,E02006799,E09000002,Barking and Dagenham,E02006799,U
E01000021,E02000009,E09000002,Barking and Dagenham,E02000009,U
E01000022,E02000009,E09000002,Barking and Dagenham,E02000009,U
E01000024,E02000009,E09000002,Barking and Dagenham,E02000009,U
E01000025,E02000009,E09000002,Barking and Dagenham,E02000009,U
E01000027,E02000002,E09000002,Barking and Dagenham,E02000002,U
E01000028,E02000002,E09000002,Barking and Dagenham,E02000002,U
E01000029,E02000002,E09000002,Barking and Dagenham,E02000002,U
E01000030,E02000002,E09000002,Barking and Dagenham,E02000002,U
E01000031,E02000003,E09000002,Barking and Dagenham,E02000003,U
E01000032,E02000003,E09000002,Barking and Dagenham,E02000003,U
E01000033,E02000007,E09000002,Barking and Dagenham,E02000007,U
E01000034,E02000004,E09000002,Barking and Dagenham,E02000004,U
E01000035,E02000011,E09000002,Barking and Dagenham,E02000011,U
E01000036,E02000011,E09000002,Barking and Dagenham,E02000011,U
E01000037,E02000004,E09000002,Barking and Dagenham,E02000004,U
E01000038,E02000004,E09000002,Barking and Dagenham,E02000004,U
E01000039,E02000004,E09000002,Barking and Dagenham,E02000004,U
E01000040,E02000020,E09000002,Barking and Dagenham,E02000020,U
E01000041,E02000018,E09000002,Barking and Dagenham,E02000018,U
E01000042,E02000018,E09000002,Barking and Dagenham,E02000018,U
E01000043,E02000020,E09000002,Barking and Dagenham,E02000020,U
E01000044,E02000017,E09000002,Barking and Dagenham,E02000017,U
E01000045,E02000018,E09000002,Barking and Dagenham,E02000018,U
E01000046,E02000018,E09000002,Barking and Dagenham,E02000018,U
E01000049,E02000022,E09000002,Barking and Dagenham,E02000022,U
E01000050,E02000020,E09000002,Barking and Dagenham,E02000020,U
E01000051,E02000022,E09000002,Barking and Dagenham,E02000022,U
E01000052,E02000020,E09000002,Barking and Dagenham,E02000020,U
E01000053,E02000021,E09000002,Barking and Dagenham,E02000021,U
E01000054,E02000019,E09000002,Barking and Dagenham,E02000019,U
E01000055,E02000019,E09000002,Barking and Dagenham,E02000019,U
E01000056,E02000019,E09000002,Barking and Dagenham,E02000019,U
E01000057,E02000013,E09000002,Barking and Dagenham,E02000013,U
E01000058,E02000019,E09000002,Barking and Dagenham,E02000019,U
E01000059,E02000014,E09000002,Barking and Dagenham,E02000014,U
E01000060,E02000007,E09000002,Barking and Dagenham,E02000007,U
E01000061,E02000007,E09000002,Barking and Dagenham,E02000007,U
E01000062,E02000007,E09000002,Barking and Dagenham,E02000007,U
E01000063,E02000005,E09000002,Barking and Dagenham,E02000005,U
E01000064,E02000007,E09000002,Barking and Dagenham,E02000007,U
E01000065,E02000008,E09000002,Barking and Dagenham,E02000008,U
E01000066,E02000012,E09000002,Barking and Dagenham,E02000012,U
E01000067,E02000012,E09000002,Barking and Dagenham,E02000012,U
E01000068,E02000017,E09000002,Barking and Dagenham,E02000017,U
E01000069,E02000012,E09000002,Barking and Dagenham,E02000012,U
E01000070,E02000012,E09000002,Barking and Dagenham,E02000012,U
E01000071,E02000012,E09000002,Barking and Dagenham,E02000012,U
E01000072,E02000018,E09000002,Barking and Dagenham,E02000018,U
E01000073,E02000013,E09000002,Barking and Dagenham,E02000013,U
E01000074,E02000013,E09000002,Barking and Dagenham,E02000013,U
E01000075,E02000013,E09000002,Barking and Dagenham,E02000013,U
E01000076,E02000013,E09000002,Barking and Dagenham,E02000013,U
E01000077,E02000009,E09000002,Barking and Dagenham,E02000009,U
E01000078,E02000008,E09000002,Barking and Dagenham,E02000008,U
E01000079,E02000010,E09000002,Barking and Dagenham,E02000010,U
E01000080,E02000008,E09000002,Barking and Dagenham,E02000008,U
E01000081,E02000008,E09000002,Barking and Dagenham,E02000008,U
E01000082,E02000008,E09000002,Barking and Dagenham,E02000008,U
E01000083,E02000008,E09000002,Barking and Dagenham,E02000008,U
E01000084,E02000014,E09000002,Barking and Dagenham,E02000014,U
E01000085,E02000014,E09000002,Barking and Dagenham,E02000014,U
E01000086,E02000014,E09000002,Barking and Dagenham,E02000014,U
E01000087,E02000021,E09000002,Barking and Dagenham,E02000021,U
E01000088,E02000021,E09000002,Barking and Dagenham,E02000021,U
E01000089,E02000021,E09000002,Barking and Dagenham,E02000021,U
E01000090,E02000021,E09000002,Barking and Dagenham,E02000021,U
E01000091,E02000023,E09000002,Barking and Dagenham,E02000023,U
E01000093,E02000023,E09000002,Barking and Dagenham,E02000023,U
E01000094,E02000023,E09000002,Barking and Dagenham,E02000023,U
E01000095,E02000019,E09000002,Barking and Dagenham,E02000019,U
