MSOA11CD,od_destination_total,destination_total,std_residual,dominant_lnwc
E02000550,3182,106.34617,-3.5089193386464212,5
E02000373,942,33.335829999999994,-3.3488635802209625,3
E02000181,509,27.60271,-2.86570318916247,2
E02000719,1137,77.88915,-2.702770861303701,4
E02000952,722,54.23363,-2.572943491667291,3
E02000449,1297,136.39252,-2.278615945956399,5
E02006788,720,75.42974,-2.237650646248471,6
E02000850,4196,500.95686,-2.2324437982424286,5
E02000145,1261,142.49739,-2.203478933021648,6
E02000882,945,105.0854,-2.1983160320690365,2
E02000214,1055,118.34758,-2.1977248515492036,6
E02000118,1833,214.87867,-2.193173195059098,5
E02000819,1843,227.79392,-2.1396589538722397,3
E02000626,1160,138.94732,-2.138172116790182,3
E02000032,719,86.07016,-2.102796281939465,5
E02000514,2076,271.59689,-2.090167269510874,5
E02000499,688,90.43313,-2.004801284452924,5
E02000271,630,82.58112,-2.000796830517658,4
E02000863,620,82.11944,-1.9890488074602652,7
E02000807,1834,278.77724,-1.9285246206989088,5
