MSOA11CD,od_origin_total,od_destination_total
E02000001,44997,33281
E02000002,810,1113
E02000003,1500,1420
E02000004,598,836
E02000005,1048,1250
E02000007,1690,1805
E02000008,1516,2023
E02000009,1262,1361
E02000010,391,384
E02000011,1272,774
E02000012,446,698
E02000013,956,889
E02000014,1617,1814
E02000015,997,1017
E02000016,6680,5041
E02000017,743,659
E02000018,792,1105
E02000019,2461,1897
E02000020,1432,1639
E02000021,1153,1439
E02000022,675,934
E02000023,490,583
E02000024,1981,1705
E02000025,569,813
E02000026,115,144
E02000027,640,1115
E02000028,416,592
E02000029,1929,1556
E02000030,454,390
E02000031,855,851
E02000032,449,719
E02000033,850,1228
E02000034,762,1131
E02000035,578,596
E02000036,1121,1515
E02000037,787,816
E02000038,908,1180
E02000039,1695,1511
E02000040,575,698
E02000041,3944,3204
E02000042,2554,2138
E02000043,326,312
E02000044,738,1159
E02000045,944,1354
E02000046,2285,1903
E02000047,2729,2590
E02000048,753,900
E02000049,940,1808
E02000050,1192,1754
E02000051,1606,1457
E02000052,3062,2998
E02000053,3236,3180
E02000054,885,995
E02000055,3209,3195
E02000056,605,639
E02000057,746,622
E02000058,851,1225
E02000059,2216,2392
E02000060,1242,1131
E02000061,3505,2594
E02000062,5133,3943
E02000063,413,1027
E02000064,687,674
E02000065,1223,1778
E02000066,1693,2188
E02000067,2122,2094
E02000068,2386,2407
E02000069,587,666
E02000070,579,929
E02000071,465,609
E02000072,1504,1771
E02000073,979,1280
E02000074,674,1001
E02000075,489,480
E02000077,301,378
E02000078,809,672
E02000079,4480,2985
E02000080,2158,2048
E02000081,678,811
E02000082,461,673
E02000083,1975,1757
E02000084,488,562
E02000085,576,638
E02000086,186,339
E02000087,696,552
E02000088,592,518
E02000089,566,717
E02000090,3142,3619
E02000091,1112,909
E02000092,540,737
E02000093,2284,2022
E02000094,2831,2932
E02000095,3352,2612
E02000096,1305,1297
E02000097,963,1708
E02000098,893,1642
E02000099,1464,1805
E02000100,1685,1188
E02000101,3284,3245
E02000102,1138,1151
E02000103,1323,1877
E02000104,1243,1468
E02000105,2384,3068
E02000106,2544,2371
E02000107,1163,1105
E02000108,448,640
E02000109,5716,4523
E02000110,620,718
E02000111,2014,2154
E02000112,4928,4804
E02000113,2242,2779
E02000114,1044,838
E02000115,453,473
E02000116,2118,2093
E02000117,1997,2510
E02000118,1767,1833
E02000119,3645,3417
E02000120,768,979
E02000121,3721,3694
E02000122,334,698
E02000123,5551,5223
E02000124,1599,1373
E02000125,604,646
E02000126,531,683
E02000127,1283,1836
E02000128,1088,1453
E02000130,2318,2293
E02000131,2533,2225
E02000132,3109,2857
E02000133,1054,879
E02000134,4416,4229
E02000135,1469,2484
E02000136,786,833
E02000137,543,992
E02000138,556,717
E02000139,724,592
E02000140,1099,926
E02000141,957,1217
E02000142,646,1127
E02000144,8369,5803
E02000145,1085,1261
E02000146,1049,999
E02000147,659,1054
E02000148,1572,1358
E02000149,697,1005
E02000150,1153,1201
E02000151,570,550
E02000152,882,1463
E02000153,710,1068
E02000154,4582,3257
E02000155,424,664
E02000156,1910,1872
E02000157,627,823
E02000158,593,1125
E02000159,1267,1135
E02000160,1276,1185
E02000161,727,1128
E02000162,1002,1382
E02000163,1143,1149
E02000165,631,899
E02000166,950,1307
E02000167,761,567
E02000168,1249,1139
E02000169,34,128
E02000170,845,1123
E02000171,954,680
E02000172,928,1013
E02000173,1366,974
E02000174,486,728
E02000175,2212,1849
E02000176,537,420
E02000177,1164,1406
E02000178,870,703
E02000179,567,501
E02000180,329,591
E02000181,312,509
E02000182,1292,1018
E02000183,1223,887
E02000184,1385,1785
E02000185,1099,1129
E02000186,4515,3862
E02000187,6697,6428
E02000188,1572,2712
E02000189,644,980
E02000190,1148,1138
E02000191,6297,4571
E02000192,1960,1396
E02000193,13269,10538
E02000194,2530,2478
E02000195,1086,1493
E02000196,1070,1326
E02000197,1576,1436
E02000198,1237,1834
E02000199,998,1223
E02000200,2575,2944
E02000201,1517,1946
E02000202,1039,1178
E02000203,4568,3676
E02000204,2028,2032
E02000206,2219,2376
E02000207,950,1446
E02000208,2014,2552
E02000209,1208,1630
E02000210,855,1345
E02000211,687,1019
E02000212,2805,2537
E02000213,9136,7471
E02000214,838,1055
E02000215,4108,4084
E02000216,534,1020
E02000217,4661,3193
E02000218,684,1179
E02000219,1139,1709
E02000220,15403,11013
E02000221,2691,3112
E02000222,964,1230
E02000223,1002,1217
E02000224,946,1226
E02000225,857,1093
E02000226,1670,1652
E02000227,1612,2125
E02000228,486,660
E02000229,1386,1185
E02000230,2987,2790
E02000231,471,566
E02000232,171,413
E02000233,534,1260
E02000234,1754,1528
E02000235,401,485
E02000236,244,345
E02000237,741,1002
E02000238,1495,2188
E02000239,1245,1447
E02000240,1295,1671
E02000241,2347,1860
E02000242,1216,1532
E02000243,3429,2846
E02000244,2224,2110
E02000245,890,1384
E02000246,2394,2359
E02000247,1584,1977
E02000248,1474,1521
E02000249,3641,3261
E02000250,776,810
E02000251,833,1122
E02000252,4869,4730
E02000253,1350,1768
E02000254,866,1560
E02000255,798,1285
E02000256,923,1090
E02000257,8850,6041
E02000258,490,706
E02000259,879,1076
