MSOA11CD,hour,rail_entry,rail_exit,bus_alighting,bus_boarding
E02000001,0,2950.7527395381107,1291.695667435068,517.1214,1022.12228
E02000001,1,141.8289568512269,120.53005508089244,378.6978399999999,679.3748899999999
E02000001,2,0.0,0.0,373.68038,459.26554
E02000001,3,0.0,0.0,591.9328,437.93292999999994
E02000001,4,1.5269228,0.0,1338.52836,484.48459
E02000001,5,1125.8549163376272,3148.550566530121,1891.13603,683.3519
E02000001,18,56782.86851478289,23764.431436043506,3851.87054,5659.57072
E02000001,19,30473.47594124585,12399.61469143535,2326.59913,3859.54069
E02000001,20,20173.03795278957,7310.471655575274,1623.81432,2981.55423
E02000001,21,17298.575859142296,6232.985295835111,1316.4936300000002,2658.29667
E02000001,22,14764.693821669853,6001.7796170228585,1216.08892,2271.85408
E02000001,23,9566.42997962606,3767.6214460409433,897.28792,1782.96719
E02000002,0,0.0,0.0,27.65966,2.6622999999999997
E02000002,1,0.0,0.0,5.2017,0.0
E02000002,4,0.0,0.0,0.0,10.057120000000001
E02000002,5,0.0,0.0,9.16413,110.70177000000001
E02000002,18,0.0,0.0,325.29633,115.82487
E02000002,19,0.0,0.0,219.62651999999997,78.55718
E02000002,20,0.0,0.0,140.37517,50.32776
E02000002,21,0.0,0.0,108.66794,31.84729
E02000002,22,0.0,0.0,80.10683,29.79975
E02000002,23,0.0,0.0,66.04291,16.48105
E02000003,0,0.0,0.0,31.45817,20.401490000000003
E02000003,1,0.0,0.0,10.28077,8.29753
E02000003,2,0.0,0.0,3.4788699999999997,4.01404
E02000003,3,0.0,0.0,3.3234599999999994,5.69664
E02000003,4,0.0,0.0,8.67269,19.16414
E02000003,5,0.0,0.0,108.11028999999999,112.07677000000001
E02000003,18,0.0,0.0,453.20913,487.95889999999997
E02000003,19,0.0,0.0,320.33056,334.06482
E02000003,20,0.0,0.0,226.79342000000003,221.74759
E02000003,21,0.0,0.0,143.25024,141.69323
E02000003,22,0.0,0.0,102.61132,97.73058
E02000003,23,0.0,0.0,80.67335,72.53821
E02000004,0,0.0,0.0,8.95882,1.52317
E02000004,1,0.0,0.0,0.4392699999999998,0.27148000000000005
E02000004,5,0.0,0.0,1.9832299999999996,51.046319999999994
E02000004,18,0.0,0.0,105.77873000000001,57.597590000000004
E02000004,19,0.0,0.0,67.99822,42.559189999999994
E02000004,20,0.0,0.0,43.81084,27.78629
E02000004,21,0.0,0.0,33.515299999999996,18.9134
E02000004,22,0.0,0.0,22.34957,4.5845899999999995
E02000004,23,0.0,0.0,18.06004,1.7997299999999998
E02000005,0,0.0,0.0,24.41527,10.9749
E02000005,1,0.0,0.0,10.455960000000001,7.59659
E02000005,2,0.0,0.0,6.09709,3.95789
