MSOA11CD,rail_entry_total,rail_exit_total,bus_alighting_total,bus_boarding_total,origin_total,destination_total
E02000001,153279.0456047835,64037.68043099912,16323.25127,22980.31571,176259.36131478348,80360.93170099912
E02000002,0.0,0.0,982.1411899999999,446.25909,446.25909,982.1411899999999
E02000003,0.0,0.0,1492.19227,1525.38394,1525.38394,1492.19227
E02000004,0.0,0.0,302.89402,206.08176,206.08176,302.89402
E02000005,0.0,0.0,916.51401,630.48957,630.48957,916.51401
E02000007,0.0,0.0,1640.79991,1173.44701,1173.44701,1640.79991
E02000008,0.0,0.0,1864.6259,1066.71728,1066.71728,1864.6259
E02000009,0.0,0.0,1567.23628,973.03285,973.03285,1567.23628
E02000010,0.0,0.0,472.168,292.52103,292.52103,472.168
E02000011,692.9193934554526,1698.7201278922,642.24674,632.32679,1325.2461834554524,2340.9668678922
E02000012,541.554163492362,1428.9978069464303,663.21168,514.40182,1055.955983492362,2092.2094869464304
E02000013,687.2120209258818,1930.0301066728,580.05443,708.5465,1395.7585209258818,2510.0845366728
E02000014,1263.100631606123,3133.104608378,1648.89496,2404.43482,3667.535451606123,4781.999568378
E02000015,0.0,0.0,609.4040200000001,437.65512,437.65512,609.4040200000001
E02000016,4987.582760284724,11943.682753656081,2138.05878,2936.62693,7924.209690284724,14081.74153365608
E02000017,0.0,0.0,5249.80689,6744.17595,6744.17595,5249.80689
E02000018,0.0,0.0,684.09491,468.70418,468.70418,684.09491
E02000019,0.0,0.0,662.2385899999999,684.52859,684.52859,662.2385899999999
E02000020,0.0,0.0,2274.85448,1453.14683,1453.14683,2274.85448
E02000021,0.0,0.0,1402.93817,875.385,875.385,1402.93817
E02000022,0.0,0.0,185.83668,146.77616,146.77616,185.83668
E02000023,282.1488546,754.2264260000001,1661.20128,854.89209,1137.0409446,2415.427706
E02000024,677.5503569230981,2654.252948494,1764.7106899999999,1977.88868,2655.4390369230982,4418.963638494
E02000025,0.0,0.0,484.22102,340.04962,340.04962,484.22102
E02000026,0.0,0.0,58.37274,32.213589999999996,32.213589999999996,58.37274
E02000027,0.0,0.0,297.89017,127.00417,127.00417,297.89017
E02000028,0.0,0.0,661.15484,464.98591,464.98591,661.15484
E02000029,0.0,0.0,827.95403,663.61406,663.61406,827.95403
E02000030,0.0,0.0,306.71084,210.77769,210.77769,306.71084
E02000031,309.257650227,1758.8216379972002,1213.65445,1218.53563,1527.7932802270002,2972.4760879972
E02000032,0.0,0.0,86.07016,82.92027999999999,82.92027999999999,86.07016
E02000033,0.0,0.0,561.3443,275.17156,275.17156,561.3443
E02000034,0.0,0.0,636.56232,264.42971,264.42971,636.56232
E02000035,695.8307524400001,2122.7251382162003,429.85403,355.11345,1050.94420244,2552.5791682162003
E02000036,0.0,0.0,777.32921,453.86268,453.86268,777.32921
E02000037,0.0,0.0,677.4771,255.93717999999998,255.93717999999998,677.4771
E02000038,0.0,0.0,1202.30766,780.57438,780.57438,1202.30766
E02000039,0.0,0.0,1313.19662,1297.59807,1297.59807,1313.19662
E02000040,236.11966371,1173.0103808796,675.99269,702.71784,938.83750371,1849.0030708796
E02000041,769.3539771200001,2776.132644036,3702.09353,3446.50195,4215.85592712,6478.226174036
E02000042,0.0,0.0,3324.24338,3024.50479,3024.50479,3324.24338
E02000043,216.96991195520002,1122.5586201268072,143.07644,111.36375,328.3336619552,1265.6350601268073
E02000044,0.0,0.0,849.98655,382.95616,382.95616,849.98655
E02000045,0.0,0.0,1559.17287,705.51955,705.51955,1559.17287
E02000046,1275.6399958491108,4095.4444680320003,1273.1601,1605.6438899999998,2881.2838858491104,5368.604568032
E02000047,673.0560175740001,2162.8161642398,1949.07296,1828.80447,2501.860487574,4111.8891242398
E02000048,0.0,0.0,452.02698,218.376,218.376,452.02698
E02000049,0.0,0.0,898.74574,570.86159,570.86159,898.74574
E02000050,0.0,0.0,964.705,687.48001,687.48001,964.705
E02000051,0.0,0.0,1424.10532,1212.35655,1212.35655,1424.10532
