K,BIC,best_seed,silhouette,calinski_harabasz,davies_bouldin,seed_ari_mean,seeds_reaching_best_basin,n_seeds,bootstrap_ari_mean,bootstrap_min_jaccard_mean,min_cluster_n,night_group_jaccard_mean
2,-1886346.2616478638,999,0.29300111942222,55.584147821740586,2.303793282894738,0.7921944271678472,3,5,0.6775704930252456,0.6812044397179242,80,0.14283783783783782
3,-1895126.8676781598,999,0.15110185788212677,61.15875295239562,2.0569389117810832,0.9954268682144841,4,5,0.5816702009886062,0.46385472030590663,59,0.27920792079207923
4,-1898365.5647114275,123,0.11518636994890542,51.22563028931808,2.1484858495229155,0.8478628645556702,1,5,0.45137800732760014,0.2500876288806239,25,0.40880691259554675
5,-1900159.5158318065,2026,0.10163868188959159,44.757308972459825,2.2158820183977825,0.963994990797757,1,5,0.5098751810345948,0.30051878139351923,29,0.9875
6,-1900063.4816688616,2026,0.0872984376601182,35.92603397990646,2.5530548618462015,0.4863345906603301,1,5,0.44896049139710187,0.1349839004590774,11,0.7892972350230416
7,-1898546.2628816462,123,0.09441180814113982,38.59962883875918,2.3359205088913697,0.46942370027248054,1,5,0.44188548935567423,0.1161198440318827,12,0.468832502542387
8,-1897422.5467076232,7,0.10913028830464368,43.415870663459366,2.066928066977142,0.6092334463899888,1,5,0.4334316375052078,0.08473497427159137,21,0.472056342780027
9,-1896193.3873776046,123,0.09662943330871049,38.290365978185314,2.1617025836554715,0.5711996308667471,1,5,0.4203226322460939,0.07116754484698101,11,0.45021454418935375
10,-1894540.2428081909,999,0.10062586589613191,37.59653182145589,2.075508255013204,0.5629492405012417,1,5,0.4355898395038819,0.03292789087591853,11,0.44244482173174876
11,-1891318.411537245,999,0.10478820697347706,37.38602917511134,1.9135298283153512,0.564261353307113,1,5,0.45252989190074344,0.022497341701574743,4,0.473258619582149
12,-1888701.1360106086,2026,0.08932757604967115,36.37777458676361,1.8468142746603684,0.5115781301878017,1,5,0.43382492611002815,0.009347826086956522,1,0.44212988482937543
