variable,"C0 low activity, weak night-persistence","C1 relatively high activity, stronger night-persistence","C2 moderate activity and persistence, transitional",C3 moderate activity with destination characteristics
imd_education,0.028446833943877183,0.10790769907817242,-0.13814723273466278,0.014114884264939391
imd_health,-0.17358587865480216,0.26917872900697404,-0.13219175557410262,-0.10258649527377145
deprived_1plus_share,-0.03592317646834968,0.1844337777713665,-0.16318368177293557,-0.022581509705865227
social_rented_share,-0.17124397510494024,0.2298673548336583,-0.07756743488739178,-0.12902540195028184
no_car_household_share,-0.5976538361783381,0.6140822930020119,-0.11508808644430449,-0.36867576181181055
age_20_34_share,-0.47899334721423675,0.5000608855479584,-0.1058841077602694,-0.28570651267058483
dependent_children_share,0.3744019182757473,-0.2930546679943845,-0.026448401819885635,0.23343502849399217
private_rented_share,-0.4988452918717387,0.4946440141403492,-0.06539518696106746,-0.3293685779222979
asian_share,0.040900690233886254,0.10575729197102345,-0.13204495823620846,-0.006035982017189206
black_share,-0.03355276502925014,0.17676421233010356,-0.1447148655871199,-0.04424401977784488
unemployed_share,-0.2193830123506802,0.3016617389955279,-0.0997016897326321,-0.17881244138356345
accom_food_share,-0.38351431669124164,0.42590136401781287,-0.10691586225262346,-0.23791049091429742
transport_storage_share,0.18269283349340648,-0.06381510332930983,-0.07713808008150111,0.07722302665372265
admin_support_share,-0.007029031667020833,0.17023221205860717,-0.15792603411080924,-0.03467858139431433
wholesale_retail_share,0.1275210845193344,0.00737654980785089,-0.1262686400648515,0.08609971128046008
health_social_share,0.1534011911303404,-0.049077581987907085,-0.08813805450912617,0.09933895625315534
manufacturing_share,0.11015047372147475,-0.09553390952994398,-0.011295968197410156,0.09354159250385012
log1p_poi_count,-0.4174416989242937,0.5407724109691976,-0.17756144361921142,-0.2973749039233664
shannon_group,-0.35818963100109036,0.27806374118264404,-0.02524161936856199,-0.1249903719990645
population_density,-0.23467199819814583,0.19096840950440483,-0.003718876517043654,-0.12298751817638019
