K,replicate,ARI,min_matched_cluster_jaccard
2,1,0.2820779290566047,0.5989847715736041
2,2,0.28271706303130345,0.5994923857868021
2,3,0.2820779290566047,0.5989847715736041
2,4,0.28271706303130345,0.5994923857868021
2,5,0.2833568721754022,0.6
2,6,0.3737458195544722,0.667005076142132
2,7,0.2820779290566047,0.5989847715736041
2,8,0.28271706303130345,0.5994923857868021
2,9,0.2859228607802078,0.6020304568527919
2,10,0.36576293239688307,0.6614213197969543
2,11,0.2820779290566047,0.5989847715736041
2,12,0.38107418394916986,0.6720812182741117
2,13,0.9030778522566304,0.9435862995298858
2,14,0.8477595102794823,0.9131561892417369
2,15,0.28271706303130345,0.5994923857868021
2,16,0.2833568721754022,0.6
2,17,0.2820779290566047,0.5989847715736041
2,18,0.2917358391492459,0.6065989847715736
2,19,0.42414196559564266,0.701015228426396
2,20,0.28271706303130345,0.5994923857868021
3,1,0.8741064929708747,0.8893249607535322
3,2,0.9195839668853388,0.9278096800656276
3,3,0.9250026907214934,0.9294926913155632
3,4,0.8995706678411561,0.9110576923076923
3,5,0.8825065092432854,0.8961965134706814
3,6,0.7445769676208867,0.7513597513597513
3,7,0.8969882778812959,0.9086538461538461
3,8,0.8118757865613092,0.8292496171516079
3,9,0.7638687147361052,0.7791916167664671
3,10,0.7975451371149626,0.8195631528964862
3,11,0.8766309109869839,0.8917647058823529
3,12,0.7373984848690767,0.7653874004344677
3,13,0.8987050608376403,0.909967845659164
3,14,0.9237101824397329,0.9359267734553776
3,15,0.8691230884079905,0.8856031128404669
3,16,0.7729678581771531,0.782708492731446
3,17,0.909086331726195,0.9185667752442996
3,18,0.7138124393245192,0.7369565217391304
3,19,0.8869559021110006,0.9017926734216679
3,20,0.7818659756274484,0.7901614142966948
4,1,0.7277517087281704,0.2934609250398724
4,2,0.7757450244024465,0.2929936305732484
4,3,0.7909717255431131,0.2980769230769231
4,4,0.7803043133579923,0.2816
4,5,0.8029284399838774,0.3604060913705584
4,6,0.7702477293675654,0.26570048309178745
4,7,0.7791856260084877,0.28278041074249605
4,8,0.7846584325828697,0.2763578274760383
4,9,0.801185075698611,0.30781758957654726
4,10,0.7916309376740479,0.2904238618524333
4,11,0.7676275019785544,0.5714285714285714
4,12,0.7754495417402585,0.2672811059907834
4,13,0.8183572011377709,0.3704974271012007
4,14,0.781530019155246,0.3701188455008489
4,15,0.8051708886036874,0.30048465266558966
4,16,0.8055188929797457,0.28711256117455136
4,17,0.7864244497068129,0.2857142857142857
4,18,0.7678759246149391,0.28708133971291866
4,19,0.7855356684430367,0.2558922558922559
4,20,0.8083282050310997,0.36689419795221845
5,1,0.6323709923660916,0.004519774011299435
5,2,0.6416157158884424,0.0
5,3,0.9009692396634631,0.7663551401869159
5,4,0.9050526155491962,0.7642276422764228
5,5,0.9060282092058368,0.4318181818181818
5,6,0.8227310132970347,0.01834862385321101
5,7,0.8086009835279448,0.006756756756756757
