lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01000001,True,848.25751,retained,0
E01000002,False,20.0913,at_least_one_direction_below_36,-1
E01000005,True,5818.1283,retained,0
E01000007,False,28.53832,at_least_one_direction_below_36,-1
E01000008,True,87.66761,retained,3
E01000009,True,12043.68535,retained,0
E01000011,True,183.51076,retained,2
E01000013,True,2948.13232,retained,0
E01000017,True,492.95451,retained,0
E01000019,True,71.65642,retained,3
E01000020,False,30.1968,at_least_one_direction_below_36,-1
E01000021,True,219.06466,retained,3
E01000024,True,879.8379199999999,retained,0
E01000027,True,607.7230000000001,retained,3
E01000029,True,240.51676,retained,3
E01000030,True,124.5355,retained,3
E01000031,True,117.31279,retained,3
E01000032,True,481.82026,retained,0
E01000034,True,279.92898,retained,3
E01000035,True,628.38371,retained,0
E01000036,True,567.85177,retained,0
E01000038,True,40.01843,retained,3
E01000039,False,8.96028,at_least_one_direction_below_36,-1
E01000040,True,290.55586,retained,0
E01000041,True,123.06615,retained,3
E01000042,True,185.79436,retained,3
E01000043,True,103.54773,retained,3
E01000045,True,547.10684,retained,0
E01000049,True,65.16989,retained,3
E01000050,True,1030.01112,retained,0
E01000052,True,272.95798,retained,1
E01000057,True,167.75599,retained,3
E01000058,True,113.32689,retained,3
E01000060,True,1608.00038,retained,0
E01000061,True,621.50667,retained,0
E01000062,True,53.86195,retained,3
E01000063,True,73.68533,retained,4
E01000064,True,315.548,retained,3
E01000065,True,92.63884,retained,3
E01000067,True,366.36064,retained,2
E01000068,True,163.92042,retained,1
E01000070,True,834.41099,retained,0
E01000071,True,68.00044,retained,3
E01000072,True,185.43703,retained,3
E01000073,True,71.2012,retained,3
E01000074,True,96.46039,retained,3
E01000075,True,1096.53498,retained,0
E01000077,True,75.42492,retained,3
E01000078,True,385.31067,retained,0
E01000079,True,74.09518,retained,3
E01000080,True,59.65978,retained,3
E01000082,True,515.97509,retained,0
E01000083,True,1300.50704,retained,0
E01000084,True,168.39713,retained,1
E01000085,True,114.30333,retained,3
E01000086,True,170.3199,retained,3
E01000087,True,1473.09786,retained,0
E01000088,True,181.29112,retained,1
E01000090,True,168.62313,retained,3
E01000091,True,326.52248,retained,0
E01000093,True,605.86632,retained,0
E01000094,True,637.45267,retained,1
E01000095,True,1200.18412,retained,0
E01000096,True,293.67354,retained,3
E01000097,True,74.25260999999999,retained,3
E01000098,True,373.1421,retained,3
E01000099,True,401.98473,retained,0
E01000101,True,276.01677,retained,1
E01000103,False,29.76932,at_least_one_direction_below_36,-1
E01000104,True,362.40026,retained,0
E01000105,True,471.66248,retained,3
E01000106,True,144.72735,retained,3
E01000108,False,25.0059,at_least_one_direction_below_36,-1
E01000110,True,134.70783,retained,1
E01000111,True,375.89677,retained,3
E01000112,True,663.2286,retained,0
E01000113,True,975.53563,retained,0
E01000114,True,696.23434,retained,0
E01000115,False,15.27762,at_least_one_direction_below_36,-1
E01000116,False,7.40416,at_least_one_direction_below_36,-1
E01000117,False,29.27451,at_least_one_direction_below_36,-1
E01000118,True,424.99556,retained,0
E01000120,True,185.7432,retained,3
E01000121,True,46.52724,retained,3
E01000123,True,48.3948,retained,3
E01000124,True,130.95991999999998,retained,3
E01000126,True,212.28986,retained,0
E01000127,True,125.08355,retained,1
E01000128,True,45.95268,retained,3
E01000129,True,3893.27822,retained,0
E01000130,True,323.31029,retained,0
E01000131,True,311.97749,retained,2
E01000133,True,156.3964,retained,3
E01000134,True,43.18635,retained,3
E01000135,True,91.14012,retained,1
E01000136,True,320.46322,retained,1
E01000138,True,237.46763,retained,1
E01000139,True,1051.14862,retained,0
E01000140,True,999.54561,retained,0
E01000141,True,5565.17974,retained,0
E01000143,True,314.0505,retained,3
E01000144,True,585.01847,retained,0
E01000146,True,4891.29149,retained,0
E01000147,False,16.589199999999998,at_least_one_direction_below_36,-1
E01000150,True,427.22435,retained,1
E01000151,True,413.93746,retained,0
E01000152,True,46.15899,retained,3
E01000154,True,560.0421,retained,0
E01000156,True,657.35552,retained,0
E01000159,True,33.86768,retained,3
E01000160,True,334.78515,retained,3
E01000161,True,391.32318,retained,0
E01000162,True,1026.81618,retained,0
E01000164,True,1032.91827,retained,0
E01000166,False,3.1482099999999997,at_least_one_direction_below_36,-1
E01000167,True,33.0873,retained,3
E01000168,False,0.05513,at_least_one_direction_below_36,-1
E01000169,False,1.10183,at_least_one_direction_below_36,-1
E01000170,True,172.33009,retained,3
E01000171,True,891.40003,retained,0
E01000172,True,46.4333,retained,3
E01000173,True,54.58805,retained,3
E01000174,True,294.91561,retained,3
E01000175,True,41.694,retained,3
E01000176,True,86.65189,retained,3
E01000178,True,221.293,retained,0
E01000180,True,36.84873,retained,4
E01000181,True,206.55377,retained,2
E01000182,True,804.48414,retained,0
E01000183,True,213.0397,retained,1
E01000184,True,123.52874,retained,3
E01000185,True,143.37718,retained,2
E01000186,True,224.73401,retained,1
E01000187,False,1.5418999999999996,at_least_one_direction_below_36,-1
E01000188,True,80.65402,retained,3
E01000189,False,24.64457,at_least_one_direction_below_36,-1
E01000191,True,187.73755,retained,3
E01000192,True,145.05705,retained,3
E01000193,True,6495.32162,retained,0
E01000194,True,1175.74814,retained,0
E01000195,False,0.0,at_least_one_direction_below_36,-1
E01000196,True,1462.37181,retained,0
E01000197,True,156.11011,retained,1
E01000198,True,130.2561,retained,3
E01000199,False,32.43853,at_least_one_direction_below_36,-1
E01000200,True,137.18244,retained,3
E01000201,True,205.12221,retained,3
E01000202,True,150.35034000000002,retained,1
E01000203,True,798.7195399999999,retained,0
E01000204,False,14.26606,at_least_one_direction_below_36,-1
E01000205,True,78.00919,retained,1
E01000206,True,109.12325,retained,2
E01000207,False,29.13371,at_least_one_direction_below_36,-1
E01000208,True,1710.51534,retained,0
E01000209,False,22.96617,at_least_one_direction_below_36,-1
E01000210,True,510.06888,retained,0
E01000211,True,1528.75999,retained,0
E01000212,False,15.315639999999998,at_least_one_direction_below_36,-1
E01000213,True,55.04992,retained,3
E01000214,True,4813.98443,retained,0
E01000215,True,420.08865,retained,0
E01000218,True,813.3513399999999,retained,0
E01000219,True,324.71408,retained,2
E01000221,True,982.63726,retained,0
E01000222,True,332.92061,retained,0
E01000223,True,2081.13931,retained,0
E01000224,True,70.21989,retained,3
E01000226,True,122.78438,retained,3
E01000227,True,138.61377,retained,3
E01000228,True,75.17707,retained,3
E01000229,True,132.65771,retained,1
E01000230,False,15.87135,at_least_one_direction_below_36,-1
E01000231,True,213.48157,retained,1
E01000232,True,173.59917,retained,3
E01000233,True,360.78151,retained,3
E01000234,True,84.10584,retained,3
E01000235,True,296.46989,retained,3
E01000236,True,493.51939,retained,0
E01000237,True,2508.15023,retained,0
E01000238,False,31.11698,at_least_one_direction_below_36,-1
E01000239,True,482.76793,retained,0
E01000240,True,192.34702,retained,1
E01000242,True,148.74905,retained,3
E01000243,True,1116.96952,retained,0
E01000244,True,736.11425,retained,0
E01000246,True,40.18854,retained,3
E01000247,False,22.65695,at_least_one_direction_below_36,-1
E01000248,True,1041.1173,retained,2
E01000250,True,3043.01961,retained,0
E01000251,True,692.2125,retained,0
E01000252,True,39.86447,retained,3
E01000253,True,86.09701999999999,retained,3
E01000255,True,194.89113,retained,3
