lsoa,cluster,area_km2,distance_centre_km,poi_count,shannon_group,shannon_category,group_richness,category_richness,poi_count_no_transport,shannon_group_no_transport,shannon_category_no_transport,group_richness_no_transport,category_richness_no_transport,log1p_poi_count,poi_density_km2,log1p_poi_count_no_transport,poi_density_km2_no_transport
E01000001,1,0.15780087004170498,2.3797048735499833,299,1.6517241303619175,3.124445357080569,9,35,278,1.5030450623474354,2.997979658924376,8,31,5.703782474656201,1894.7931017172318,5.631211781821365,1761.713987549801
E01000005,1,0.2127080355865026,3.549148304810311,535,1.5386230154247418,2.9091693416678366,9,41,518,1.4436339884213152,2.8204109093746843,8,37,6.284134161070802,2515.18471563539,6.251903883165888,2435.262958316135
E01000008,0,0.16920008668715358,14.10307637833426,85,1.5339998993527229,2.9963528039447724,8,26,77,1.349002395577622,2.826052916942942,7,22,4.454347296253507,502.3638088150789,4.356708826689592,455.082509161895
E01000009,1,0.1390961928506657,15.020524651212993,136,1.6638123660829913,2.6286159393160036,9,27,128,1.53010018314323,2.5552039797033057,8,26,4.919980925828125,977.7406355471584,4.859812404361672,920.2264805149725
E01000011,2,0.09377813318318416,14.901101881798308,35,1.7375111592179302,2.6545747138655975,7,17,31,1.5604673936779734,2.4617042107524476,6,14,3.58351893845611,373.22133435554497,3.4657359027997265,330.5674675720541
E01000013,3,0.22850986615450122,19.338684230284482,104,1.6864837682726956,2.663657102669529,7,23,92,1.5021857312567966,2.512712497962889,6,20,4.653960350157523,455.1225807015396,4.532599493153256,402.60843677443887
E01000017,3,0.1840739577062919,19.476830722430932,14,1.4327570529970877,1.5691529462031188,5,6,9,1.2148896539491205,1.4270610433807247,4,5,2.70805020110221,76.05638610942661,2.302585092994046,48.89339107034568
E01000019,0,0.20415105499725536,18.06251311656905,28,1.4884229622788607,2.3264184804685155,5,13,23,1.2407683994540581,2.2609368563805945,4,12,3.367295829986474,137.1533446171828,3.1780538303479458,112.661675935543
E01000021,0,0.20770854448027395,17.617999687174674,72,1.7354343766162343,2.754934833348616,8,24,67,1.5939240240086288,2.652163139934607,7,22,4.290459441148391,346.63956738109937,4.219507705176107,322.56737520185635
E01000024,1,0.13508605916828317,17.83508358659168,9,1.2148896539491203,1.2148896539491203,4,4,5,0.9502705392332347,0.9502705392332347,3,3,2.302585092994046,66.62419538635196,1.791759469228055,37.01344188130665
E01000027,3,1.5116610794143104,20.76919447596808,92,2.0343129156859616,2.7538086749487873,9,23,79,1.8947210271707777,2.7326148227679927,8,22,4.532599493153256,60.86020289392196,4.382026634673881,52.26039161543299
E01000029,3,0.2906709821720819,19.847153710527262,27,1.726772032057034,2.095539886392402,7,11,22,1.5311533190671127,1.8700042258563858,6,9,3.332204510175204,92.88852914810589,3.1354942159291497,75.68694967623443
E01000030,3,0.18923203062889857,20.188025946282625,22,1.7704034040001457,2.326543253194114,8,13,19,1.5887430728572083,2.2326944771870663,7,12,3.1354942159291497,116.259387625259,2.995732273553991,100.40583476726913
E01000031,0,0.847254873466884,20.38485872181116,39,1.8969233789647069,2.483369658362241,8,16,34,1.7366045582260985,2.3357043458382427,7,14,3.6888794541139363,46.03101288802957,3.5553480614894135,40.12960097930783
E01000032,2,0.37579682796177144,19.544468558787,85,1.8747891939856098,2.892705817125918,9,27,82,1.7851041442533297,2.8169745157416433,8,25,4.454347296253507,226.18604968280033,4.418840607796598,218.2030126351721
E01000034,3,0.5256195343656545,21.452211638347162,31,1.565868908994781,2.273163627340656,6,13,23,1.3408796582438178,2.1631394399251493,5,11,3.4657359027997265,58.978021122088705,3.1780538303479458,43.75788663896904
E01000035,3,0.43235510056622134,20.565084363389555,172,1.8288527289085095,2.9770095152083944,8,31,158,1.683736944260912,2.8972897213972564,7,29,5.153291594497779,397.82114233125776,5.0689042022202315,365.44035167638793
E01000036,0,0.30738088071652686,20.755228891801828,59,1.7165090778670105,2.909316281405163,8,25,53,1.5448180120254138,2.758161397317997,7,22,4.0943445622221,191.94427403053427,3.9889840465642745,172.424517349463
E01000038,3,0.2009664205616498,21.673169371168616,26,1.7256029482694475,2.5045745716425505,7,14,22,1.5319671856731643,2.3503272597288665,6,12,3.295836866004329,129.37484743638586,3.1354942159291497,109.47102475386495
E01000040,0,0.1880709538514502,15.889024144776881,30,1.7405483661307894,2.116341864768552,6,11,26,1.55523911411912,1.9888469971626928,5,10,3.4339872044851463,159.5142651517353,3.295836866004329,138.24569646483727
E01000041,0,0.15013729239742762,17.215210067401742,8,0.6615632381579821,0.6615632381579821,2,2,5,-0.0,-0.0,1,1,2.1972245773362196,53.2845628974262,1.791759469228055,33.30285181089137
E01000042,0,0.23639761503866194,16.50423952630859,16,1.4013926466081226,1.6286198303328179,5,7,12,1.1187433359857524,1.2342678660790767,4,5,2.833213344056216,67.68257792018443,2.5649493574615367,50.76193344013832
E01000043,0,0.21983242507967146,15.996168528862157,56,1.517386838085266,2.659820566808205,7,20,50,1.3181135067676435,2.465805808297162,6,17,4.04305126783455,254.73949068116104,3.9318256327243257,227.44597382246522
E01000045,0,0.327285854866407,16.75738181462156,58,1.8892591760931619,2.5896832591562937,8,18,47,1.732023891124806,2.4351195335592397,7,16,4.07753744390572,177.21511375331116,3.871201010907891,143.60535080009697
E01000049,0,0.17336635373598674,14.97169539084246,39,1.795808848614755,2.399271356550661,7,16,34,1.620620244001154,2.1730815708639235,6,13,3.6888794541139363,224.95714514127505,3.5553480614894135,196.11648550777824
E01000050,1,0.16845978219481358,15.043827404418236,52,1.8170073837276561,2.8751453046732154,9,21,47,1.6600816474499394,2.7775531319494737,8,19,3.970291913552122,308.6790171666323,3.871201010907891,278.9983424390715
