mode,variable,n,kw_h,p_value,epsilon_squared,distance_band_conditional_p,q_value_bh
Bus,log1p_poi_count,3383,518.1647585224349,5.520292030187978e-112,0.15246071575094255,0.001,1.1040584060375956e-111
Bus,poi_density_km2,3383,778.3098263198954,2.1889802986587955e-168,0.22944948988455027,0.001,1.7511842389270364e-167
Bus,shannon_group,3383,163.0294429686697,4.0674213513015885e-35,0.04736000087856458,0.001,4.0674213513015885e-35
Bus,shannon_category,3383,324.07298825312574,6.124070436373283e-70,0.0950201208206942,0.001,8.16542724849771e-70
Bus,log1p_poi_count_no_transport,3383,533.1471723504834,3.124197111175164e-115,0.15689469439197495,0.001,8.331192296467104e-115
Bus,poi_density_km2_no_transport,3383,752.4318471189399,8.958804955106957e-163,0.2217910172000414,0.001,3.583521982042783e-162
Bus,shannon_group_no_transport,3383,218.53345202699256,4.1661673456693963e-47,0.06378616514560301,0.001,4.761334109336453e-47
Bus,shannon_category_no_transport,3383,337.55777759049664,7.373182179421908e-73,0.09901088416410081,0.001,1.1797091487075052e-72
Rail,log1p_poi_count,387,33.6520937932499,8.782046357648378e-07,0.07762328218128245,0.114,1.170939514353117e-06
Rail,poi_density_km2,387,116.6316336570294,2.79854992579499e-24,0.29484720852625496,0.001,2.238839940635992e-23
Rail,shannon_group,387,41.933029465803656,1.722342438765666e-08,0.09930112425603052,0.001,4.592913170041776e-08
Rail,shannon_category,387,18.881886342437838,0.0008290681068508929,0.03895781765036083,0.001,0.0009475064078295919
Rail,log1p_poi_count_no_transport,387,36.20377026873001,2.627407306432741e-07,0.08430306353070684,0.101,4.203851690292386e-07
Rail,poi_density_km2_no_transport,387,113.4414256462801,1.3422675686978818e-23,0.2864958786551835,0.001,5.369070274791527e-23
Rail,shannon_group_no_transport,387,36.81991347855569,1.9619229320552372e-07,0.08591600387056464,0.001,3.9238458641104744e-07
Rail,shannon_category_no_transport,387,14.942538529276362,0.0048218919217252534,0.02864538882009519,0.085,0.0048218919217252534
