LSOA21CD,n_oas,loac_dominant_supergroup,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share
E01000001,7,D,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0,0.0,0.0
E01000002,5,D,0.4,0.0,0.0,0.6,0.0,0.0,0.0
E01000003,7,D,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0
E01000005,4,E,0.0,0.0,0.0,0.25,0.75,0.0,0.0
E01000006,5,C,0.0,0.0,0.8,0.0,0.2,0.0,0.0
E01000007,8,E,0.0,0.0,0.125,0.125,0.5,0.25,0.0
E01000008,4,E,0.0,0.0,0.0,0.0,0.75,0.25,0.0
E01000009,5,C,0.0,0.0,0.8,0.0,0.2,0.0,0.0
E01000011,4,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E01000012,6,E,0.0,0.0,0.3333333333333333,0.0,0.5,0.16666666666666666,0.0
E01000013,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000014,6,F,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0
E01000015,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000016,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000017,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000018,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000019,4,C,0.0,0.0,0.5,0.0,0.0,0.5,0.0
E01000020,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000021,5,C,0.0,0.0,0.8,0.0,0.0,0.2,0.0
E01000022,4,F,0.0,0.0,0.25,0.0,0.0,0.75,0.0
E01000024,4,C,0.0,0.0,0.5,0.0,0.0,0.5,0.0
E01000025,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000027,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000028,5,F,0.0,0.0,0.0,0.0,0.2,0.8,0.0
E01000029,6,C,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.16666666666666666
E01000030,6,F,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
E01000031,5,C,0.0,0.0,0.8,0.0,0.0,0.2,0.0
E01000032,5,C,0.0,0.0,0.8,0.0,0.0,0.2,0.0
E01000033,4,F,0.0,0.0,0.0,0.0,0.25,0.75,0.0
E01000034,4,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000035,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000036,4,C,0.0,0.0,0.5,0.0,0.0,0.5,0.0
E01000037,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000038,5,F,0.0,0.0,0.2,0.0,0.0,0.6,0.2
E01000039,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000040,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000041,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000042,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000043,4,C,0.0,0.0,0.5,0.0,0.0,0.5,0.0
E01000044,5,C,0.0,0.0,0.8,0.0,0.0,0.2,0.0
E01000045,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000046,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000049,5,E,0.0,0.0,0.2,0.0,0.6,0.2,0.0
E01000050,5,F,0.0,0.0,0.4,0.0,0.0,0.6,0.0
E01000051,4,E,0.0,0.0,0.0,0.0,0.75,0.25,0.0
E01000052,6,C,0.0,0.0,0.5,0.0,0.0,0.5,0.0
E01000053,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000054,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000055,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000056,4,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000057,4,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000058,6,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000059,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000060,6,F,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
E01000061,5,E,0.0,0.0,0.0,0.0,0.8,0.2,0.0
E01000062,6,F,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0
E01000063,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000064,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000065,6,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000066,5,C,0.0,0.0,0.6,0.0,0.0,0.4,0.0
E01000067,5,C,0.0,0.0,0.8,0.0,0.2,0.0,0.0
E01000068,4,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E01000069,5,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E01000070,5,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E01000071,6,C,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0
E01000072,7,F,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0
E01000073,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000074,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000075,5,F,0.0,0.0,0.2,0.0,0.0,0.8,0.0
E01000076,6,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000077,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000078,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
