OA21CD,LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,LAD22CD,LAD22NM
E00000028,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London
E00000072,E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham
E00000123,E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham
E00000029,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London
E00000030,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London
E00000031,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London
E00000032,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London
E00166755,E01032739,City of London 001F,E02000001,City of London 001,E09000001,City of London
E00166756,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London
E00166757,E01032739,City of London 001F,E02000001,City of London 001,E09000001,City of London
E00190348,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London
E00190349,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London
E00190405,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London
E00190407,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London
E00190426,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London
E00190429,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London
E00190433,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London
E00190437,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London
E00190440,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London
E00190445,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London
E00190449,E01032739,City of London 001F,E02000001,City of London 001,E09000001,City of London
E00190458,E01032739,City of London 001F,E02000001,City of London 001,E09000001,City of London
E00000037,E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000038,E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000039,E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000040,E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000041,E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000042,E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000043,E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000045,E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000046,E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000048,E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000049,E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000050,E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000051,E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000052,E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000053,E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000054,E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000055,E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000056,E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000057,E01034474,Barking and Dagenham 015F,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham
E00000059,E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
E00000060,E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham
