unit,cluster,max_posterior,entropy,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source,total_activity,catchment_area_m2,station_in_loac_extent,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share,covered_area_m2,loac_coverage_ratio,analysis_eligible,dominant_loac_supergroup
1022,4,0.9999969312740878,4.202388681987167e-05,Haggerston,LO,False,533561.0,183929.0,-0.07559,51.53847,Haggerston Station,naptan_rse_tmu,14249.31575820897,1144452.1406100574,True,0.08045977011494253,0.26436781609195403,0.0,0.22988505747126436,0.367816091954023,0.05747126436781609,0.0,1144452.1406100676,1.0000000000000089,True,E
1023,2,1.0,6.138095922205369e-41,Hoxton,LO,False,533569.5,183101.0,-0.07578,51.531025,Hoxton Station,naptan_rse_tmu,16113.756692924951,1059073.9659792758,True,0.04225352112676056,0.09859154929577466,0.0,0.2112676056338028,0.647887323943662,0.0,0.0,1059073.9659792655,0.9999999999999903,True,E
1024,1,0.9999999999972716,7.872733804589341e-11,Shoreditch High Street,LO,False,533616.0,182263.0,-0.07543,51.52348,Shoreditch High Street Station,naptan_rse_tmu,34606.0384818957,839364.5049703388,True,0.0,0.08333333333333333,0.0,0.5416666666666666,0.3333333333333333,0.041666666666666664,0.0,839364.5049703317,0.9999999999999916,True,D
1039,4,1.0,4.1383383992143957e-16,Rotherhithe,LO,False,535302.0,179778.0,-0.05209,51.50075,Rotherhithe Station,naptan_rse_tmu,7131.286811770686,545926.1818814558,True,0.0967741935483871,0.29032258064516125,0.0,0.25806451612903225,0.25806451612903225,0.0967741935483871,0.0,488130.01385762333,0.8941318992530339,True,B
1082,4,0.9999965763417494,4.680925271407033e-05,Shadwell LO,"DLR,LO",False,534988.5,180957.5,-0.056155,51.511425,Shadwell Rail Station,naptan_rse_tmu,40721.21456349135,973385.8524278519,True,0.0,0.08955223880597014,0.014925373134328358,0.14925373134328357,0.6716417910447761,0.07462686567164178,0.0,969705.7235963658,0.9962192497227004,True,E
1083,4,1.0,3.436502197717903e-50,Surrey Quays,LO,False,535603.0,178978.5,-0.048065,51.493495,Surrey Quays Station,naptan_rse_tmu,19957.45389117266,1375565.5588426914,True,0.04838709677419355,0.2096774193548387,0.0,0.3064516129032258,0.3548387096774194,0.08064516129032258,0.0,1375565.5588426758,0.9999999999999887,True,E
1085,4,1.0,3.976218387797603e-20,Wapping,LO,False,535021.0,180174.0,-0.05599,51.50438,Wapping Station,naptan_rse_tmu,9919.66663519668,776590.3554386089,True,0.0975609756097561,0.1951219512195122,0.0,0.5365853658536586,0.17073170731707318,0.0,0.0,451152.4586395855,0.5809400741073845,True,D
1335,0,1.0,8.634111408922085e-18,Barking Riverside,LO,False,546928.5,182180.5,0.116295,51.51944,Barking Riverside Station,naptan_rse_tmu,3835.110786540001,2007391.0339494327,True,0.0,0.058823529411764705,0.1764705882352941,0.058823529411764705,0.11764705882352941,0.5882352941176471,0.0,1425152.7953074714,0.7099527551956635,True,F
1398,2,1.0,2.6278284343097997e-28,Hatch End,LO,False,513048.0,191312.0,-0.36885,51.6093,Hatch End,naptan_rse_tmu,2795.666298217535,1816850.2758380428,True,0.0,0.0,0.32,0.0,0.0,0.04,0.64,1816850.2758380477,1.0000000000000027,True,G
1404,2,0.9856100550722882,0.0849922481218473,Acton Central,LO,False,520639.0,180301.5,-0.263055,51.50877,Acton Central Station,naptan_rse_tmu,5540.579386109401,1490018.1584319144,True,0.078125,0.59375,0.03125,0.046875,0.21875,0.015625,0.015625,1490018.158431908,0.9999999999999958,True,B
1409,2,1.0,1.257726358902054e-16,Gospel Oak,LO,False,528285.0,185645.0,-0.151,51.55511,Gospel Oak Station,naptan_rse_tmu,8294.590337967784,1095919.6320113528,True,0.37037037037037035,0.18518518518518517,0.0,0.037037037037037035,0.38888888888888884,0.018518518518518517,0.0,1095919.632011338,0.9999999999999865,True,E
1413,2,1.0,1.3277916330781726e-33,Hampstead Heath,LO,False,527263.0,185652.0,-0.16573,51.55541,Hampstead Heath Station,naptan_rse_tmu,9045.7145170258,973586.3432940474,True,0.6857142857142857,0.11428571428571428,0.0,0.11428571428571428,0.08571428571428572,0.0,0.0,973586.3432940867,1.0000000000000404,True,A
1415,2,0.9999999999949978,1.3618037528866942e-10,Kilburn High Road,LO,False,525448.0,183602.0,-0.19262,51.53739,Kilburn High Road Station,naptan_rse_tmu,2944.236364429399,662845.4826482318,True,0.0819672131147541,0.22950819672131148,0.0,0.21311475409836067,0.4754098360655738,0.0,0.0,662845.4826482292,0.9999999999999961,True,E
