mode,metric,n_canonical,k_canonical,epsilon2_canonical,p_bh_canonical,n_sensitivity,k_sensitivity,epsilon2_sensitivity,p_bh_sensitivity,epsilon2_delta,clustering_canonical,clustering_sensitivity
bus,deep_night_share,4100.0,3.0,0.1986494054177106,1.0301656039729474e-177,3383.0,4.0,0.5731622730057709,0.0,0.37451286758806035,"original hub-first min36 raw_share, K=3 (pre-StopArea)","StopArea CLR, K=4 (adopted 2026-07-29)"
bus,direction_balance,4100.0,3.0,0.0092192512591662,2.3108828381636235e-09,3383.0,4.0,0.0605645181977715,9.388512408247089e-45,0.0513452669386053,"original hub-first min36 raw_share, K=3 (pre-StopArea)","StopArea CLR, K=4 (adopted 2026-07-29)"
bus,log_total_activity,4100.0,3.0,0.5183444148916072,0.0,3383.0,4.0,0.6009214095103502,0.0,0.08257699461874302,"original hub-first min36 raw_share, K=3 (pre-StopArea)","StopArea CLR, K=4 (adopted 2026-07-29)"
bus,post_2300_share,,,,,3383.0,4.0,0.3027400539403989,6.308562909739153e-222,,"original hub-first min36 raw_share, K=3 (pre-StopArea)","StopArea CLR, K=4 (adopted 2026-07-29)"
bus,post_midnight_persistence,4099.0,3.0,0.2960621369678288,5.185261783265792e-264,3383.0,4.0,0.5699815251430851,0.0,0.2739193881752563,"original hub-first min36 raw_share, K=3 (pre-StopArea)","StopArea CLR, K=4 (adopted 2026-07-29)"
bus,post_midnight_share,4100.0,3.0,0.2895943327254801,1.6923372893034698e-258,,,,,,"original hub-first min36 raw_share, K=3 (pre-StopArea)","StopArea CLR, K=4 (adopted 2026-07-29)"
bus,weekend_ratio,4100.0,3.0,0.0408681114820739,1.934102948620053e-37,3383.0,4.0,0.0762024821684009,4.230404544797386e-56,0.035334370686327006,"original hub-first min36 raw_share, K=3 (pre-StopArea)","StopArea CLR, K=4 (adopted 2026-07-29)"
rail,common_window_persistence,270.0,5.0,0.2501507570436864,2.3657036254582823e-14,,,,,,Underground-only (270 st.),"all-modes merged, NaPTAN-matched refit (403 st.)"
rail,direction_balance,270.0,5.0,0.6510969564841513,2.4747650250835827e-36,403.0,5.0,0.6343970067124708,1.0408209903106355e-53,-0.016699949771680545,Underground-only (270 st.),"all-modes merged, NaPTAN-matched refit (403 st.)"
rail,log_total_activity,270.0,5.0,0.3958155047069786,2.5089551453735755e-22,403.0,5.0,0.218056073754937,8.963045741350297e-19,-0.17775943095204164,Underground-only (270 st.),"all-modes merged, NaPTAN-matched refit (403 st.)"
rail,midnight_share_common_window,270.0,5.0,0.2939870303102684,1.0305593717708691e-16,,,,,,Underground-only (270 st.),"all-modes merged, NaPTAN-matched refit (403 st.)"
rail,night_tube_extension_share,270.0,5.0,0.1094907257328318,1.1860399296598633e-06,,,,,,Underground-only (270 st.),"all-modes merged, NaPTAN-matched refit (403 st.)"
rail,post_2300_share,,,,,403.0,5.0,0.4124833732048009,5.17104822480691e-35,,Underground-only (270 st.),"all-modes merged, NaPTAN-matched refit (403 st.)"
rail,weekend_common_ratio,270.0,5.0,0.4669025067247846,3.573495721896608e-26,403.0,5.0,0.2800830511297917,6.594651432812308e-24,-0.1868194555949929,Underground-only (270 st.),"all-modes merged, NaPTAN-matched refit (403 st.)"
