lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster,LSOA21CD,COA,ACS,OPS,WIC,WAL,GRQ,URB,DIS,DRN,CRN,DUN,LOU,DIU,REU,MEU,HDU,OUT,n_lsoa11_sources,signature_dominant_code,signature_dominant_type,distance_centre_km,signature_dominant_collapsed
E01000001,True,848.25751,retained,1,E01000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,DIU,Concentrated urbanity,2.3797048735499833,OTHER_RARE
E01000005,True,5818.1283,retained,1,E01000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35972703967622743,0.06551043748937264,0.5747625228344,0.0,0.0,1,MEU,Metropolitan urbanity,3.549148304810311,MEU
E01000008,True,87.66761,retained,0,E01000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,14.10307637833426,DUN
E01000009,True,12043.68535,retained,1,E01000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,15.020524651212993,DUN
E01000011,True,183.51076,retained,2,E01000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10412195765166783,0.8958780423483322,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,14.901101881798308,DUN
E01000013,True,2948.13232,retained,3,E01000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028545948272640334,0.8580691361257368,0.14164540439153675,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods,19.338684230284482,CRN
E01000017,True,492.95451,retained,3,E01000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07162152278649953,0.9283784772135004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods,19.476830722430932,CRN
E01000019,True,71.65642,retained,0,E01000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04216306843914213,0.9578369315608579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods,18.06251311656905,CRN
E01000021,True,219.06466,retained,0,E01000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods,17.617999687174674,CRN
E01000024,True,879.8379199999999,retained,1,E01000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods,17.83508358659168,CRN
E01000027,True,607.7230000000001,retained,3,E01000027,0.0,0.0,0.0,0.0,0.9772563590210004,0.0,0.0,0.0,0.022743640978999672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAL,Warehouse/Park land,20.76919447596808,WAL
E01000029,True,240.51676,retained,3,E01000029,0.0,0.0,3.0213534828621217e-05,0.0,0.049194655999467374,0.0,0.0,0.0,0.9507751304657039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods,19.847153710527262,DRN
E01000030,True,124.5355,retained,3,E01000030,0.0,0.0,0.0,0.0,0.4277417725504959,0.0,0.0,0.0,0.572258227449504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods,20.188025946282625,DRN
E01000031,True,117.31279,retained,0,E01000031,0.0,0.0,0.3115318117475688,0.0,0.4466713443654415,0.0,0.0,0.0,0.24179684388698983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAL,Warehouse/Park land,20.38485872181116,WAL
E01000032,True,481.82026,retained,2,E01000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods,19.544468558787,DRN
E01000034,True,279.92898,retained,3,E01000034,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl,21.452211638347162,OPS
E01000035,True,628.38371,retained,3,E01000035,0.0,0.0,0.5159820023811321,0.0,0.048558269188187377,0.0,0.0,0.0,0.43545972843068037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl,20.565084363389555,OPS
E01000036,True,567.85177,retained,0,E01000036,0.0,0.0,0.6921697597282137,0.0,0.018947912136560045,0.0,0.0,0.01877967674953486,0.27010265138569156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl,20.755228891801828,OPS
E01000038,True,40.01843,retained,3,E01000038,0.0,0.009157398398228501,0.7654017263885767,0.0,0.0017535247311194668,0.0,0.0,0.0,0.22368735048207533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl,21.673169371168616,OPS
E01000040,True,290.55586,retained,0,E01000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2575434725354867,0.0,0.7424565274645133,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,15.889024144776881,DUN
