lsoa,cluster
E01000001,1
E01000005,1
E01000008,3
E01000009,1
E01000011,4
E01000013,2
E01000017,2
E01000019,3
E01000021,3
E01000024,1
E01000027,0
E01000029,0
E01000030,0
E01000031,3
E01000032,4
E01000034,0
E01000035,0
E01000036,3
E01000038,0
E01000040,3
E01000041,3
E01000042,3
E01000043,3
E01000045,3
E01000049,3
E01000050,1
E01000052,4
E01000057,3
E01000058,3
E01000060,1
E01000061,1
E01000062,0
E01000063,4
E01000064,0
E01000065,3
E01000067,1
E01000068,4
E01000070,1
E01000071,3
E01000072,3
E01000073,3
E01000074,3
E01000075,3
E01000077,3
E01000078,3
E01000079,3
E01000080,3
E01000082,1
E01000083,1
E01000084,2
E01000085,3
E01000086,2
E01000087,2
E01000088,2
E01000090,3
E01000091,1
E01000093,1
E01000094,1
E01000095,3
E01000096,3
E01000097,3
E01000098,4
E01000099,1
E01000101,1
E01000104,3
E01000105,3
E01000106,3
E01000110,4
E01000111,3
E01000112,1
E01000113,4
E01000114,1
E01000118,0
E01000120,0
E01000121,3
E01000123,3
E01000124,0
E01000126,4
E01000127,4
E01000128,4
E01000129,1
E01000130,4
E01000131,4
E01000133,0
E01000134,3
E01000135,4
E01000136,4
E01000138,4
E01000139,1
E01000140,1
E01000141,1
E01000143,3
E01000144,4
E01000146,1
E01000150,1
E01000151,1
E01000152,3
E01000154,1
E01000156,1
E01000160,0
E01000161,4
E01000162,4
E01000164,1
E01000170,3
E01000171,0
E01000172,0
E01000173,0
E01000174,0
E01000175,3
E01000176,3
E01000178,4
E01000180,4
E01000181,4
E01000182,1
E01000183,4
E01000184,4
E01000185,4
E01000186,4
E01000188,3
E01000191,4
E01000192,4
E01000193,1
E01000194,1
E01000196,1
E01000197,4
E01000198,3
E01000200,3
E01000201,4
E01000202,4
E01000203,4
E01000205,4
E01000206,3
E01000208,1
E01000210,4
E01000211,1
E01000213,3
E01000214,1
E01000215,4
E01000218,1
E01000219,4
E01000221,1
E01000222,4
E01000223,1
E01000224,0
E01000226,3
E01000227,3
E01000228,3
E01000229,4
E01000231,4
E01000232,4
E01000233,0
E01000234,3
E01000235,0
E01000236,1
E01000237,1
E01000239,1
E01000240,4
E01000242,0
E01000243,0
E01000244,0
E01000246,3
E01000248,4
E01000250,1
E01000251,0
E01000252,3
E01000253,3
E01000255,3
E01000256,4
E01000257,0
E01000258,4
E01000259,3
E01000260,4
E01000261,0
E01000263,4
E01000264,4
E01000265,2
E01000266,3
E01000268,1
E01000269,4
E01000271,4
E01000273,4
E01000274,2
E01000278,3
E01000279,3
E01000281,1
E01000282,3
E01000284,4
E01000285,0
E01000286,0
E01000288,4
E01000289,0
E01000290,3
E01000292,0
E01000296,1
E01000297,3
E01000298,1
E01000299,1
E01000301,3
E01000302,4
E01000305,1
E01000307,1
E01000309,4
E01000310,1
E01000313,1
E01000314,1
E01000315,3
E01000316,1
E01000318,4
E01000321,4
E01000323,1
E01000324,4
E01000325,2
E01000326,2
E01000327,4
E01000329,3
E01000330,4
E01000331,4
E01000332,0
E01000333,0
E01000334,0
E01000335,0
E01000336,3
E01000338,0
E01000340,4
E01000343,4
E01000344,0
E01000345,2
E01000347,4
E01000349,4
E01000350,2
E01000352,4
E01000353,3
E01000354,2
E01000356,2
E01000358,3
E01000359,3
E01000360,1
E01000362,1
E01000363,3
E01000367,4
E01000369,4
E01000370,4
E01000374,3
E01000375,2
E01000383,3
E01000384,4
E01000385,3
E01000386,1
E01000389,4
E01000392,4
E01000394,4
E01000398,2
E01000399,4
E01000400,2
E01000402,0
E01000403,1
E01000404,0
E01000405,0
E01000406,0
E01000407,0
E01000408,0
E01000409,2
E01000412,0
E01000413,2
E01000414,1
E01000416,1
E01000417,0
E01000418,4
E01000420,0
E01000421,2
E01000422,1
E01000423,4
E01000426,4
E01000427,4
E01000428,4
E01000429,4
E01000430,4
E01000431,3
E01000433,4
E01000434,1
E01000436,0
E01000439,4
E01000441,4
E01000442,2
E01000443,3
E01000444,3
E01000445,3
E01000447,1
E01000448,4
E01000450,2
E01000451,2
E01000454,2
E01000455,3
E01000457,4
E01000459,4
E01000461,3
E01000462,2
E01000463,2
E01000465,0
E01000466,0
E01000467,1
E01000469,4
E01000470,1
E01000472,1
E01000473,1
E01000475,1
E01000476,0
E01000477,0
E01000478,0
E01000479,1
E01000480,3
E01000481,1
E01000483,1
E01000485,0
E01000487,0
E01000489,4
E01000491,3
E01000493,1
E01000494,1
E01000495,4
E01000497,4
E01000498,2
E01000499,0
E01000501,3
E01000502,3
E01000506,4
E01000507,0
E01000508,1
E01000510,1
E01000511,4
E01000512,0
E01000513,1
E01000515,1
E01000516,1
E01000518,1
E01000519,1
E01000520,3
E01000521,1
E01000523,1
E01000524,1
E01000525,4
E01000526,1
E01000528,4
E01000530,0
E01000531,4
E01000532,4
E01000533,1
E01000535,1
E01000541,0
E01000543,1
E01000544,4
E01000545,1
E01000547,4
E01000548,1
E01000550,1
E01000551,4
E01000552,4
E01000553,4
E01000554,4
E01000555,0
E01000556,1
E01000557,4
E01000563,4
E01000564,0
E01000565,1
E01000568,1
E01000571,0
E01000574,3
E01000575,0
E01000576,0
E01000577,0
E01000578,1
E01000580,4
E01000581,4
E01000583,1
E01000586,1
E01000587,3
E01000589,4
E01000590,3
E01000591,4
E01000592,4
E01000594,1
E01000595,3
E01000596,3
E01000599,1
E01000601,3
E01000602,2
E01000603,2
E01000604,3
E01000605,4
E01000606,3
E01000608,1
E01000609,3
E01000612,1
E01000615,3
E01000616,1
E01000620,1
E01000621,1
E01000622,3
E01000623,1
E01000625,1
E01000626,1
E01000627,1
E01000628,1
E01000633,1
E01000634,1
E01000636,1
E01000638,1
E01000640,1
E01000642,1
E01000643,1
E01000646,3
E01000648,3
E01000649,0
E01000650,3
E01000651,3
E01000653,3
E01000656,3
E01000657,3
E01000659,3
E01000661,4
E01000662,4
E01000663,4
E01000665,2
E01000666,3
E01000667,2
E01000668,1
E01000670,4
E01000671,4
E01000672,4
E01000673,3
E01000674,4
E01000676,1
E01000677,2
E01000678,4
E01000679,3
E01000682,2
E01000683,3
E01000684,3
E01000685,3
E01000686,2
E01000687,3
E01000690,3
E01000691,4
E01000692,4
E01000693,0
E01000694,3
E01000696,4
E01000697,0
E01000698,3
E01000699,2
E01000700,3
E01000702,4
E01000703,4
E01000704,3
E01000705,2
E01000706,0
E01000707,3
E01000708,2
E01000710,0
E01000712,2
E01000714,1
E01000715,3
E01000716,3
E01000717,3
E01000718,2
E01000719,3
E01000722,1
E01000727,4
E01000728,4
E01000730,4
E01000732,3
E01000735,0
E01000736,3
E01000737,3
E01000738,2
E01000741,1
E01000742,3
E01000743,1
E01000744,4
E01000745,4
E01000747,3
E01000751,2
E01000752,2
E01000753,3
E01000754,4
E01000755,4
E01000756,2
E01000757,4
E01000760,4
E01000761,3
E01000762,0
E01000763,4
E01000765,4
E01000766,3
E01000767,4
E01000769,3
E01000770,4
E01000771,2
E01000772,4
E01000773,3
E01000774,2
E01000775,2
E01000777,3
E01000778,0
E01000779,0
E01000780,2
E01000781,4
E01000782,4
E01000784,0
E01000785,3
E01000787,3
E01000788,4
E01000789,3
E01000790,1
E01000791,3
E01000794,3
E01000795,3
E01000797,4
E01000798,4
E01000799,1
E01000801,4
E01000802,2
E01000805,0
E01000806,1
E01000807,4
E01000809,0
E01000813,4
E01000819,2
E01000820,3
E01000824,4
E01000827,4
E01000828,0
E01000832,3
E01000834,3
E01000835,4
E01000838,4
E01000841,4
E01000843,3
E01000846,4
E01000847,4
E01000848,4
E01000849,1
E01000850,1
E01000855,1
E01000856,1
E01000858,1
E01000861,1
E01000862,3
E01000863,1
E01000867,1
E01000868,4
E01000869,1
E01000871,4
E01000872,1
E01000873,3
E01000874,4
E01000875,4
E01000876,1
E01000877,4
E01000879,3
E01000880,4
E01000881,4
E01000883,1
E01000884,4
E01000886,3
E01000887,4
E01000888,4
E01000890,4
E01000895,4
E01000896,4
E01000898,1
E01000899,4
E01000900,4
E01000902,3
E01000904,1
E01000905,4
E01000906,1
E01000908,3
E01000909,4
E01000912,1
E01000913,4
E01000914,1
E01000916,4
E01000917,4
E01000918,1
E01000919,1
E01000920,2
E01000921,1
E01000922,1
E01000924,4
E01000926,1
E01000927,1
E01000928,1
E01000929,1
E01000930,1
E01000931,1
E01000932,4
E01000933,1
E01000934,4
E01000935,4
E01000938,4
E01000939,1
E01000942,1
E01000946,1
E01000947,1
E01000948,4
E01000954,4
E01000956,1
E01000958,4
E01000959,4
E01000960,1
E01000963,1
E01000969,1
E01000972,4
E01000973,1
E01000974,1
E01000975,2
E01000976,2
E01000977,0
E01000978,4
E01000979,0
E01000980,3
E01000981,2
E01000982,0
E01000983,2
E01000984,2
E01000985,3
E01000992,2
E01000993,3
E01000994,3
E01000995,4
E01000997,4
E01000998,3
E01001000,1
E01001003,3
E01001004,3
E01001006,1
E01001008,4
E01001010,4
E01001011,1
E01001013,1
E01001015,4
E01001016,3
E01001018,4
E01001019,0
E01001020,4
E01001021,4
E01001023,1
E01001025,3
E01001026,3
E01001027,3
E01001029,4
E01001032,3
E01001033,1
E01001034,3
E01001035,4
E01001036,4
E01001037,4
E01001038,4
E01001040,4
E01001041,1
E01001042,1
E01001044,4
E01001047,3
E01001049,4
E01001050,1
E01001051,4
E01001052,4
E01001053,4
E01001054,4
E01001055,4
E01001058,3
E01001059,3
E01001060,3
E01001061,4
E01001062,4
E01001063,4
E01001064,4
E01001065,4
E01001066,4
E01001068,0
E01001070,2
E01001071,0
E01001074,4
E01001075,0
E01001076,4
E01001078,4
E01001079,4
E01001080,4
E01001081,4
E01001083,4
E01001084,1
E01001085,1
E01001087,1
E01001089,4
E01001091,4
E01001092,3
E01001093,4
E01001094,3
E01001095,4
E01001097,1
E01001099,3
E01001102,3
E01001103,3
E01001104,3
E01001105,3
E01001106,3
E01001107,3
E01001108,3
E01001109,2
E01001110,1
E01001111,1
E01001112,2
E01001114,1
E01001115,3
