K,seed,adopted_night_jaccard,adopted_night_host_cluster,adopted_night_host_n,metric_night_jaccard,metric_night_host_cluster,metric_night_host_n
2,42,0.7923875432525952,0,1445,0.4114441416893733,0,1445
2,7,0.7923875432525952,0,1445,0.4114441416893733,0,1445
2,123,0.7923875432525952,0,1445,0.4114441416893733,0,1445
2,2026,0.7923875432525952,1,1445,0.4114441416893733,1,1445
2,999,0.7923875432525952,1,1445,0.4114441416893733,1,1445
3,42,0.9447194719471947,0,1212,0.40130796670630203,0,1212
3,7,0.9447194719471947,1,1212,0.40130796670630203,1,1212
3,123,0.9447194719471947,1,1212,0.40130796670630203,1,1212
3,2026,0.9447194719471947,0,1212,0.40130796670630203,0,1212
3,999,0.9447194719471947,0,1212,0.40130796670630203,0,1212
4,42,1.0,1,1145,0.40404659717964436,1,1145
4,7,0.9860262008733625,1,1129,0.40197287299630086,1,1129
4,123,0.9903930131004367,0,1134,0.4015990159901599,0,1134
4,2026,1.0,1,1145,0.40404659717964436,1,1145
4,999,1.0,1,1145,0.40404659717964436,1,1145
5,42,0.9868995633187773,1,1130,0.4017252002464572,1,1130
5,7,0.9868995633187773,0,1130,0.4017252002464572,0,1130
5,123,0.9868995633187773,0,1130,0.4017252002464572,0,1130
5,2026,0.9729257641921397,4,1114,0.3978960396039604,4,1114
5,999,0.988646288209607,0,1132,0.4020935960591133,0,1132
6,42,0.9799126637554585,0,1122,0.3993827160493827,0,1122
6,7,0.8279475982532751,3,948,0.39347536617842876,3,948
6,123,0.8445414847161572,5,967,0.39313984168865435,5,967
6,2026,0.8096069868995633,4,927,0.3924731182795699,4,927
6,999,0.9737991266375546,0,1115,0.3976499690785405,0,1115
7,42,0.8323144104803494,3,953,0.3839050131926121,3,953
7,7,0.8358078602620087,2,957,0.3847167325428195,2,957
7,123,0.834061135371179,2,955,0.3962765957446808,2,955
7,2026,0.8637554585152838,1,989,0.3884189980481457,1,989
7,999,0.8358078602620087,0,957,0.3838051349572087,0,957
